Time	Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P
0	10.0	280.0	90.0	10.0	10.0	10.0	280.0	10.0
20	8.71021	280.012	71.2642	11.8575	8.13013	28.7358	277.411	13.8792
40	12.8015	279.667	51.974	13.1953	7.13743	48.026	267.121	20.0773
60	22.4801	276.391	34.1267	15.5743	8.03503	65.8733	249.3	28.2199
80	37.5598	267.755	21.0614	20.1063	12.1388	78.9386	225.277	37.1633
100	56.6475	251.69	14.2049	27.0276	21.2823	85.7951	197.611	45.7411
120	77.8717	226.844	11.968	35.6935	37.4625	88.032	168.831	53.2969
140	99.8292	192.682	12.2676	45.0883	62.2299	87.7324	140.571	59.5997
160	121.664	149.453	13.9086	54.1385	96.4081	86.0914	113.765	64.5708
180	142.84	98.4661	16.3233	61.4075	140.126	83.6767	89.0358	68.1242
200	162.987	43.9399	19.2241	63.2815	192.779	80.7759	66.9154	70.0978
220	181.821	5.25351	22.4438	43.3151	251.431	77.5562	47.957	70.222
240	199.104	0.609175	25.85	5.43811	293.953	74.15	32.756	68.1397
260	214.634	0.138369	29.275	1.52071	298.341	70.725	21.7863	63.5801
280	228.227	0.11353	32.6494	1.38165	298.505	67.3506	14.9825	56.7905
300	239.708	0.102085	35.9736	1.3055	298.592	64.0264	11.4337	48.8584
320	248.958	0.0940791	39.2498	1.24999	298.656	60.7502	9.82183	41.2201
340	255.978	0.0885723	42.4789	1.21067	298.701	57.5211	9.14794	34.8739
360	260.909	0.0849423	45.6611	1.18424	298.731	54.3389	8.9074	30.1833
380	264.007	0.0827254	48.796	1.16793	298.749	51.204	8.9138	27.0793
400	265.576	0.0815737	51.8823	1.15947	298.759	48.1177	9.12579	25.2979
420	265.905	0.0812363	54.9179	1.15712	298.762	45.0821	9.55217	24.5424
440	265.224	0.0815462	57.9003	1.15967	298.759	42.0997	10.2134	24.5629
460	263.692	0.082404	60.8262	1.16634	298.751	39.1738	11.1321	25.1759
480	261.412	0.0837631	63.6914	1.17676	298.739	36.3086	12.3344	26.254
500	258.44	0.085617	66.4912	1.19081	298.724	33.5088	13.852	27.7083
520	254.802	0.0879912	69.2197	1.20857	298.703	30.7803	15.7243	29.4736
540	250.507	0.0909385	71.8702	1.23032	298.679	28.1298	17.997	31.4964
560	245.55	0.0945374	74.4348	1.25646	298.649	25.5652	20.7213	33.7285
580	239.927	0.0988934	76.9046	1.28754	298.614	23.0954	23.9499	36.1228
600	233.634	0.104142	79.2694	1.32422	298.572	20.7306	27.7342	38.632
620	226.672	0.110457	81.5178	1.36732	298.522	18.4822	32.1191	41.2093
640	219.051	0.118055	83.6374	1.41783	298.464	16.3626	37.1395	43.8096
660	210.792	0.127212	85.615	1.47695	298.396	14.385	42.8165	46.3914
680	201.927	0.138283	87.4375	1.54612	298.316	12.5625	49.1554	48.918
700	192.497	0.151721	89.0925	1.6271	298.221	10.9075	56.1441	51.3588
720	182.557	0.168118	90.5696	1.72207	298.11	9.43039	63.7541	53.6892
740	172.168	0.188255	91.8622	1.83373	297.978	8.13779	71.9418	55.8899
760	161.401	0.213172	92.9688	1.96553	297.821	7.03118	80.6523	57.9465
780	150.33	0.244281	93.8942	2.12187	297.634	6.1058	89.8225	59.8476
800	139.031	0.283529	94.6496	2.30851	297.408	5.35044	99.3857	61.5837
820	127.579	0.33365	95.2516	2.5331	297.133	4.74836	109.276	63.145
840	116.048	0.398559	95.7209	2.80593	296.796	4.27914	119.432	64.5201
860	104.508	0.483977	96.0791	3.14112	296.375	3.92094	129.798	65.6939
880	93.0281	0.598434	96.3474	3.55822	295.843	3.65262	140.326	66.6459
900	81.6788	0.7549	96.5448	4.0845	295.161	3.45523	150.974	67.3471
920	70.535	0.973455	96.6872	4.758	294.269	3.3128	161.708	67.7574
940	59.6837	1.28563	96.7873	5.63106	293.083	3.21266	172.495	67.821
960	49.2311	1.74124	96.8548	6.77276	291.486	3.14521	183.309	67.4596
980	39.3152	2.41846	96.8963	8.26664	289.315	3.10366	194.121	66.5637
1000	30.1192	3.43614	96.9163	10.1959	286.368	3.08369	204.9	64.981
