Time	TGFbR	CoSmad	Smad_P	Smad_P_N	I_Smad_mRNA1	I_Smad_mRNA2	TGFb_TGFbR	Smad_P_Smad_P	Smad_P_CoSmad	Smad_P_Smad_P_N	I_Smad	TGFb	CoSmad_N	Smad	TGFb_TGFbR_P	Smad_N	Smad_P_CoSmad_N	I_Smad_TGFb_TGFbR_P	k13	k12	k11	k10	k17	k16	k15	k14	h	k19	k18	k3	k2	k1	k7	k6	k5	k4	k9	k8
0	1010.0	12000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	460	135000	7000.0	0.0	82000.0	0.0	0.0	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
80	940.169	11416.2	150.986	22.9132	1.21664	0.542482	0.738118	0.118154	8.94325	0.00271796	1.46691e-06	460	136306	6570.45	68.5486	82580.5	16.1947	0.544118	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
160	876.93	11009.8	496.399	154.004	1.47909	1.54919	1.38163	1.27862	28.3724	0.122994	2.23803e-06	460	137103	6023.92	128.313	82768.3	109.578	3.376	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
240	819.586	10727.7	909.75	434.096	1.53495	2.65219	1.93111	4.29627	50.6754	0.977782	2.74138e-06	460	137500	5464.51	179.343	82557.0	309.856	9.13964	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
320	767.5	10531.1	1313.96	857.03	1.5487	3.77625	2.39191	8.96388	71.8561	3.8123	3.1514e-06	460	137601	4952.85	222.139	82002.9	612.284	17.9699	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
400	720.092	10392.1	1671.03	1393.85	1.55324	4.90571	2.76987	14.4993	90.1819	10.0855	3.53547e-06	460	137496	4515.26	257.24	81188.3	995.121	29.8979	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
480	676.838	10291.4	1967.8	2008.74	1.5554	6.03696	3.07049	20.1081	105.173	20.949	3.92495e-06	460	137256	4156.54	285.159	80197.3	1431.7	44.9324	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
560	637.263	10216.0	2204.43	2667.7	1.55672	7.16894	3.29879	25.2361	116.958	36.951	4.33853e-06	460	136937	3870.52	306.362	79103.9	1897.03	63.0766	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
640	600.937	10157.1	2386.9	3342.22	1.55765	8.30125	3.45934	29.5877	125.912	58.0024	4.79083e-06	460	136578	3646.99	321.272	77967.6	2370.52	84.3319	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
720	567.471	10109.3	2522.82	4010.02	1.55835	9.43366	3.55626	33.0541	132.457	83.5002	5.29621e-06	460	136207	3475.5	330.274	76833.6	2836.5	108.699	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
