[TGFbR]_0	[CoSmad]_0	[Smad_P]_0	[Smad_P_N]_0	[I_Smad_mRNA1]_0	[I_Smad_mRNA2]_0	[TGFb_TGFbR]_0	[Smad_P_Smad_P]_0	[Smad_P_CoSmad]_0	[Smad_P_Smad_P_N]_0	[I_Smad]_0	[TGFb]_0	[CoSmad_N]_0	[Smad]_0	[TGFb_TGFbR_P]_0	[Smad_N]_0	[Smad_P_CoSmad_N]_0	[I_Smad_TGFb_TGFbR_P]_0	Values[k13].InitialValue	Values[k12].InitialValue	Values[k11].InitialValue	Values[k10].InitialValue	Values[k17].InitialValue	Values[k16].InitialValue	Values[k15].InitialValue	Values[k14].InitialValue	Values[h].InitialValue	Values[k19].InitialValue	Values[k18].InitialValue	Values[k3].InitialValue	Values[k2].InitialValue	Values[k1].InitialValue	Values[k7].InitialValue	Values[k6].InitialValue	Values[k5].InitialValue	Values[k4].InitialValue	Values[k9].InitialValue	Values[k8].InitialValue	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	8.90958e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	7.9434e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	7.58856e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.97066e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	1.23687e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	9.89453e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	9.25881e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	9.13511e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	8.4392e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	7.79647e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	6.97347e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	6.85873e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	6.63928e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	6.52836e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	6.42121e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.47631e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.29244e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	4.93583e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	4.89003e-06

1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	8.90958e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	7.55775e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	4.34856e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	1.19282e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	1.05375e-05
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	7.71288e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	6.70382e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	6.54477e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	6.18527e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	5.12246e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	4.85201e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	4.22869e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	4.09556e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	4.09489e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	4.02154e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	3.80101e-06
1010	12000	0	0	0	0	0	0	0	0	0	460	135000	7000	0	82000	0	0	0.00164	0.0513	0.00923	5.12e-08	8.05e-05	0.0214	28.52	0.038	2.06	0.000412	0.0434	0.324	4.39e-06	0.00446	9.35e-06	1.29e-05	0.000549	0.00192	0.00075	0.0104	3.54306e-06

