Time	TGFbR	CoSmad	Smad_P	Smad_P_N	I_Smad_mRNA1	I_Smad_mRNA2	TGFb_TGFbR	Smad_P_Smad_P	Smad_P_CoSmad	Smad_P_Smad_P_N	I_Smad	TGFb	CoSmad_N	Smad	TGFb_TGFbR_P	Smad_N	Smad_P_CoSmad_N	I_Smad_TGFb_TGFbR_P
0	989.60522473	11738.7820603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	456.09995143	136494.87227	7232.36641038	0.0	83183.3701226	0.0	0.0
80	935.535511248	11885.1986049	134.826399915	33.9280850716	0.0055887662646	0.000398353994302	2.77863577556	0.0143275783817	1.84615804808	0.000697006588211	0.00010459123021	466.145403285	137687.012773	6432.2442069	62.1057097269	83873.0547744	4.0999181928	2.44898182479e-05
160	841.501536233	10856.5149719	466.277202243	213.885053777	0.653871946273	0.159022695912	3.14927758537	0.310193602998	10.4652717557	0.0555683361484	0.0631537810628	466.308453661	138735.61603	5937.37199882	124.779654301	82018.48314	49.3635273135	0.0744299073069
240	808.394571429	10753.4574294	853.405038078	577.020208131	1.55071133297	1.01917576062	3.42429192488	1.54904232864	27.6110209302	0.575327592524	0.374618702812	438.304490647	142767.31983	5544.77513047	183.001252945	81953.4477982	179.946479511	1.62945985161
320	728.838140844	10674.1124583	1317.56514088	1125.49932107	1.77852709848	2.16325528378	3.27009824262	4.4863758479	46.620821244	2.41981573319	0.705014074229	467.640152443	138462.082327	4788.10784302	238.770310043	81037.8122258	418.204345558	7.01358665739
400	705.473912495	9747.14669741	1653.81701068	1752.46198896	1.75668532215	3.38460531504	3.47784063467	8.19948765995	63.8269323417	7.30956794371	0.950927407602	465.297548316	137208.624745	4250.8679584	261.697101118	84742.3553748	803.61309308	16.6139072684
480	640.300009946	9715.30868044	1932.10322588	2290.13631341	1.68538350582	4.99021982912	3.6545159475	13.7546409079	82.9973793961	16.659126723	1.19928712626	459.304773925	134780.276349	4060.83921117	294.17740916	82737.789921	1189.34626227	29.5019743516
560	606.298782277	9977.14392977	2169.82512376	3093.22040679	1.76600724574	6.20255955216	3.52121806546	19.0766365793	105.121373911	31.7514892367	1.47700981866	442.586842926	142534.271174	3647.64684422	347.774389976	77774.3221504	1620.47089165	50.4306701642
640	594.791159955	9561.58093406	2309.68484857	3913.27984687	1.77471484907	7.38294857585	3.51593854875	23.0157229108	114.879531961	49.0557496088	1.66927855292	472.732814461	132737.337325	3592.63309145	368.891430727	81604.2109107	2225.20199393	71.8449251759
720	548.688567495	9963.28621951	2457.67175619	4259.26892885	1.86337092652	9.02509738891	3.62757058737	28.6351917842	120.765927951	78.5094199648	1.93537507117	467.192006281	138350.331341	3279.20931445	377.563322489	77775.3588521	2740.10671714	101.802170821
800	503.982570719	10341.9217086	2660.43708974	4971.52725139	1.83856155314	10.1628233346	3.60267325002	32.3968908757	130.073111648	105.405168147	2.10325110472	440.706493853	140587.873168	3332.319101	378.416423423	73385.414259	3077.7999293	126.064596541
