Time	TGFbR	CoSmad	Smad_P	Smad_P_N	I_Smad_mRNA1	I_Smad_mRNA2	TGFb_TGFbR	Smad_P_Smad_P	Smad_P_CoSmad	Smad_P_Smad_P_N	I_Smad	TGFb	CoSmad_N	Smad	TGFb_TGFbR_P	Smad_N	Smad_P_CoSmad_N	I_Smad_TGFb_TGFbR_P
0	1010.0	12000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	460	135000	7000.0	0.0	82000.0	0.0	0.0
100	926.271	11201.1	210.329	61.9532	0.0353353	0.00352427	2.94054	0.0409557	3.3671	0.00299998	0.00106182	460	136820	6404.66	80.788	82806.1	9.51884	0.000387965
200	849.721	10718.7	676.396	371.045	1.17186	0.498463	3.18021	0.802722	18.1692	0.198422	0.200939	460	137801	5699.22	156.631	82915.3	103.898	0.467504
300	779.699	10421.8	1193.81	939.491	1.68217	1.88302	3.3764	3.54271	41.0906	1.78874	0.637031	460	138179	5024.96	221.903	82386.8	356.154	5.02118
400	715.635	10234.7	1653.32	1692.09	1.7616	3.47483	3.5154	8.54935	65.9654	7.27969	0.978996	460	138136	4456.69	274.598	81376.9	772.384	16.2516
500	657.002	10111.9	2017.62	2544.09	1.77319	5.08642	3.59669	14.9533	88.5564	19.3665	1.26094	460	137825	4012.43	314.899	80061.5	1314.07	34.5023
600	603.32	10026.3	2287.28	3427.91	1.77506	6.68995	3.622	21.5661	106.998	39.7128	1.52696	460	137364	3680.33	343.32	78592.5	1929.42	59.7377
700	554.15	9961.97	2475.81	4296.27	1.77545	8.28148	3.59313	27.4846	120.962	68.5067	1.80423	460	136838	3440.03	360.373	77084.0	2571.65	91.8844
800	509.088	9910.04	2597.91	5117.77	1.77556	9.86045	3.51179	32.221	130.834	104.654	2.11416	460	136301	3272.81	366.533	75616.0	3205.15	130.866
900	467.769	9865.85	2665.35	5871.84	1.77561	11.4268	3.3796	35.5991	137.205	146.208	2.47974	460	135788	3164.71	362.247	74242.0	3805.23	176.604
1000	429.856	9827.13	2686.31	6544.78	1.77564	12.9807	3.19814	37.6154	140.626	190.776	2.93177	460	135319	3106.63	347.936	72997.8	4355.63	229.01
