[monophosphorylated PER]_0	[total PER]_0	[PER mRNA]_0	[nuclear PER]_0	[EmptySet]_0	[unphosphorylated PER]_0	[biphosphorylated PER]_0	(degradation of PER).Kd	(degradation of PER mRNA).Vm	(first phosphorylation of PER).K1	(removal of the first PER phosphate).V2	(transcription of PER).KI	(transcription of PER).Vs	(removal of the second PER phosphate).V4	(second phosphorylation of PER).V3	(transcription of PER).n	(removal of the second PER phosphate).K4	(removal of the first PER phosphate).K2	(translocation of PER to the cytoplasm).k2	(first phosphorylation of PER).V1	(translation of PER).ks	(second phosphorylation of PER).K3	(translocation of PER to the nucleus).k1	(degradation of PER).Vd	(degradation of PER mRNA).Km	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
9.25302e-006	1455.21	1.554	1340.65	0	0.00419335	114.551	0.423651	0.0171059	1.91469	0.0192595	1.71085e-005	1.09108e-005	122415	14.089	10.1796	0.00303372	2.66647e-006	0.000556006	104.628	0.00704159	0.0680233	0.0175217	186731	10.7517	1.20084
2.06746e-005	0.000216427	2.63244	1.79616e-006	0	9.63648e-006	0.000184319	0.015669	0.268133	2.15497	0.0116449	1.67825e-005	7.14389e-006	330.392	3.03953e-005	0.0140268	14106.9	1.9492e-006	0.000407549	105.415	0.00508835	0.0911844	0.0145522	6399.17	14.9125	3.62041e-006
1.2869	1.29	0.623843	0.00309286	0	6.1547e-006	1.65694e-006	0.000748238	103.709	1.61523e-005	0.000780581	93.8571	0.00434641	644068	19.133	2.73902e-005	4.52044e-006	55.2775	0.000625588	392856	0.253247	0.0595116	39.8301	4835.38	4.22971	3.73321e-006
1.33568	1.33906	0.44408	0.00330557	0	6.50426e-005	8.34561e-006	0.000716538	94.3733	0.00220385	0.000894525	354617	0.00414816	659365	18.3284	0.00774218	1269.3	57.2343	0.000479278	240216	0.391452	0.0694379	566.616	0.415813	5.45099	3.64355e-006
0.253469	3.51436	4.79746e-005	0.0628426	0	0.00176601	3.19629	0.0107219	2.18234e-006	0.053542	1.38928e-006	0.429655	1.85614e-006	0.0775445	0.000113844	0.00243757	21.7689	16.4691	0.000760538	226180	0.458457	0.0873483	1.72535	8.14078	9.50403	3.56424e-006
0.00230674	0.635761	2.80066e-005	0.171829	0	5.22496e-005	0.461574	0.0172857	1.42456e-006	3.00149	1.29807e-006	5.15964e-005	1.91245e-006	8338.39	145220	1.82123	10.9719	1.32358e-005	0.00637179	400029	0.503472	0.0869998	17200.1	621.198	2.71196	4.34545e-006
0.00156796	0.79538	2.4555e-005	0.197649	0	4.44822e-005	0.596119	213328	956.45	1.68385	1.53981e-006	6.20158e-005	1.53498e-006	5405.86	87575.7	1.21896	14.683	1.63436e-005	0.0103948	285729	0.522854	0.10969	19359.3	617.531	3.15083	3.64437e-006
0.00574605	21.8302	2.92048e-005	1.00506	0	17.6726	3.14681	0.00195554	434.587	0.00773451	1.85174e-005	2.32996e-006	5327.5	0.0120553	143.89	208.159	3412.73	190956	5.16431e-006	16.2829	3.25361e-005	3.856e-006	851.612	3777.14	0.288501	8.2578e-006
0.210878	0.268297	36.5428	3.75943e-006	0	0.00135571	0.0560597	0.0438271	2989.96	0.00102827	0.000212613	0.0124558	0.00368483	0.0146479	5419.08	23.3128	38617.9	298.553	6.85344	1.27002	4.11909e-005	0.102414	628431	1.32506	0.390077	9.3745e-006
0.237509	0.266531	0.000760833	3.00273e-006	0	1.66414e-005	0.029002	18937.2	0.19242	3.37545e-005	5.53002e-006	0.886553	0.00584459	3.44414	4.52182e-005	0.0015731	38670.1	390.243	9.09316	25882.3	5.68234e-005	1295.78	0.000534765	1.26179	4436.16	3.48353e-006
3.75851e-006	0.000407113	0.000456092	0.000372316	0	2.03154e-005	1.07226e-005	18102.5	0.199987	0.00121288	6.78949e-006	3.65375e-006	0.00492713	3.59187	3.53016e-005	0.00122348	16.9551	208.383	0.0724476	13058.1	0.000772947	205.395	12.9872	1234.2	3955.54	3.59853e-006
8.22991e-005	0.0144226	0.349057	1.6191e-005	0	8.12472e-005	0.0142429	16.3082	662016	16728.5	0.0518712	0.000997885	42.9251	0.000233428	6.15327e-005	23.2385	1.68393e-006	4.28673e-005	2.36567e-005	0.00987211	1.0783e-006	3.82562e-005	0.0270285	0.000179358	26.4172	4.53498e-006
0.00417407	2.83589	0.00669311	0.423585	0	7.32635e-005	2.40805	3176.23	143367	0.045544	2.87692	0.0144747	3.09964e-006	0.817861	0.0394619	0.00143491	2.98663	0.138299	0.000435087	0.00012474	0.0123377	0.000160881	2.22675	151111	9.21485e-006	4.07973e-006
5.75551e-006	3.2519	1.79582e-006	0.544992	0	6.34252e-005	2.70683	25.9757	7.47428	8.7656	0.0113487	0.0149321	2.32651e-006	0.0264143	0.0244225	0.00106478	27740	0.00468757	0.000564908	0.907544	0.000345198	7.88993e-005	1.61845e-005	2.66384	0.0868475	4.12416e-006
0.209756	0.679697	0.439154	0.469766	0	5.08093e-005	0.000123989	42.617	154150	0.00036312	551.49	0.0167029	1.36257e-006	0.0710485	0.0243113	7.89185e-005	20515.1	0.0052966	0.000680513	5226.9	2.7051e-005	0.00588234	8591.1	6339.2	6.3981e-006	3.70746e-006
1.26619e-006	1.31519	0.419657	0.653193	0	0.661976	2.33126e-005	6864.91	7.08651e-006	6.9916	4.53606	0.00121371	1.27396e-006	0.000772614	0.0207794	0.000138558	0.0199973	1114.08	0.267703	0.00207749	1.28348e-006	3850.92	6839.99	1.3372	123.046	2.69194e-006
6.58209e-005	1.57602	0.611918	1.07041	0	0.505341	0.000209967	0.0128702	0.175339	98.3697	0.00187927	0.000127547	2.01142e-006	340628	138.136	0.000717802	11.2487	9.13887e-005	0.209398	0.0107656	0.0116661	0.00857087	26846.4	0.98791	25.0297	2.78538e-006
3.39371e-005	0.638274	0.835918	5.69032e-005	0	0.638	0.000182429	158.742	279012	3.279e-005	2.99016e-006	6.27535e-005	2.73015e-006	276918	197.549	0.879619	113.75	0.0255945	11350.5	0.00735293	0.0144547	1.47903e-006	1.37357e-006	0.00950596	29.2372	3.52779e-006
3.75048e-005	1.95031	0.862275	1.37972	0	0.570359	0.000191321	0.074701	104798	0.00255926	327048	0.000101619	2.41974e-006	336106	221.302	0.958654	109.163	4.15572	3.10752e-005	0.0097213	0.0153049	33.6389	0.000111957	2.44054	0.146585	3.10711e-006
