Time	monophosphorylated PER	total PER	PER mRNA	nuclear PER	EmptySet	unphosphorylated PER	biphosphorylated PER
0	0.25	1.0	0.1	0.25	0	0.25	0.25
20	0.87338	4.32258	0.913324	1.46851	0	0.996334	0.984354
40	1.04443	4.93346	2.21083	1.24493	0	1.73979	0.904315
60	0.8605	3.98158	2.89156	0.819552	0	1.68123	0.620299
80	0.578201	2.55765	2.53674	0.471357	0	1.14778	0.360312
100	0.35718	1.57068	1.74231	0.335657	0	0.653131	0.224708
120	0.338403	1.76308	0.785854	0.672279	0	0.384964	0.367438
140	0.690402	3.52178	0.656627	1.29609	0	0.706996	0.828296
160	1.0149	4.83096	1.67957	1.36863	0	1.48036	0.967067
180	0.969407	4.54186	2.71135	1.0139	0	1.80327	0.755285
200	0.706198	3.19263	2.79222	0.61198	0	1.40617	0.468281
220	0.44564	1.93795	2.13503	0.362024	0	0.863205	0.267083
240	0.304801	1.45032	1.22908	0.436234	0	0.462555	0.246732
260	0.494357	2.62631	0.518875	1.04389	0	0.468983	0.619087
280	0.905482	4.4021	1.13789	1.41354	0	1.12078	0.962303
300	1.03319	4.87286	2.30818	1.20279	0	1.75936	0.877524
320	0.83736	3.86256	2.89367	0.785735	0	1.64357	0.595896
340	0.557133	2.45605	2.48207	0.451213	0	1.10355	0.344149
360	0.345226	1.52808	1.67015	0.340059	0	0.620668	0.222123
380	0.353756	1.86153	0.72091	0.724687	0	0.383998	0.399092
400	0.725308	3.66967	0.709922	1.32622	0	0.761251	0.856897
420	1.02494	4.86878	1.77617	1.35038	0	1.53418	0.959287
440	0.952912	4.45718	2.75997	0.97982	0	1.79231	0.732145
460	0.683502	3.07829	2.75651	0.585101	0	1.36165	0.448042
480	0.428453	1.86222	2.07025	0.352245	0	0.82455	0.256973
500	0.304362	1.47316	1.14994	0.467048	0	0.44196	0.259786
520	0.5258	2.77948	0.519362	1.09529	0	0.499668	0.658721
540	0.93032	4.50041	1.22653	1.41425	0	1.18598	0.969858
560	1.0267	4.83776	2.3901	1.17207	0	1.78049	0.858509
580	0.815202	3.74864	2.89127	0.753847	0	1.60673	0.572864
600	0.536628	2.35804	2.42617	0.432296	0	1.06034	0.32878
620	0.334465	1.49271	1.59686	0.347542	0	0.589522	0.221183
640	0.371939	1.97174	0.663079	0.77904	0	0.387412	0.433348
660	0.759599	3.81263	0.770315	1.3519	0	0.818548	0.882585
680	1.03235	4.8956	1.87226	1.32963	0	1.58423	0.949383
700	0.935171	4.36603	2.80132	0.945701	0	1.77644	0.708724
720	0.660977	2.96547	2.7167	0.559255	0	1.31681	0.42843
740	0.411983	1.79117	2.00418	0.34443	0	0.786829	0.24793
760	0.306338	1.50857	1.07076	0.502286	0	0.423957	0.27599
780	0.558667	2.93498	0.530154	1.14395	0	0.534913	0.697448
800	0.952797	4.58901	1.31792	1.41116	0	1.25061	0.97444
820	1.01816	4.79286	2.46759	1.14033	0	1.79593	0.838447
840	0.792717	3.63325	2.88199	0.72267	0	1.56768	0.550179
860	0.51661	2.26338	2.36843	0.414757	0	1.01778	0.314237
880	0.325077	1.46553	1.52233	0.358508	0	0.559805	0.222138
900	0.392874	2.09273	0.613772	0.834633	0	0.395419	0.469802
920	0.792934	3.94969	0.837152	1.37309	0	0.878456	0.905211
940	1.03718	4.9114	1.96728	1.30664	0	1.63007	0.93752
960	0.916334	4.26915	2.83514	0.911693	0	1.75599	0.685138
980	0.638691	2.85457	2.67326	0.5345	0	1.27189	0.409486
1000	0.396294	1.72516	1.93687	0.338742	0	0.750098	0.240028
