Time	Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P
0	10.0	280.0	90	10.0	10.0	10.0	280.0	10.0
20	9.94373	281.753	100	1.86017e-10	18.2472	2.51162e-06	279.986	10.0707
40	9.88749	281.753	100	1.84967e-10	18.2472	2.51162e-06	279.985	10.1277
60	9.83129	281.753	100	1.83917e-10	18.2472	2.51162e-06	279.984	10.1847
80	9.77513	281.753	100	1.82868e-10	18.2473	2.51162e-06	279.983	10.2416
100	9.719	281.753	100	1.81819e-10	18.2473	2.51162e-06	279.983	10.2984
120	9.66291	281.753	100	1.80771e-10	18.2473	2.51162e-06	279.982	10.3553
140	9.60685	281.753	100	1.79724e-10	18.2473	2.51162e-06	279.981	10.4121
160	9.55083	281.753	100	1.78678e-10	18.2474	2.51162e-06	279.98	10.4689
180	9.49485	281.753	100	1.77632e-10	18.2474	2.51162e-06	279.98	10.5256
200	9.43891	281.753	100	1.76587e-10	18.2474	2.51162e-06	279.979	10.5823
220	9.383	281.753	100	1.75542e-10	18.2474	2.51162e-06	279.978	10.6389
240	9.32713	281.753	100	1.74499e-10	18.2475	2.51162e-06	279.977	10.6955
260	9.27131	281.752	100	1.73456e-10	18.2475	2.51162e-06	279.977	10.7521
280	9.21552	281.752	100	1.72413e-10	18.2475	2.51162e-06	279.976	10.8087
300	9.15977	281.752	100	1.71372e-10	18.2475	2.51162e-06	279.975	10.8652
320	9.10406	281.752	100	1.70331e-10	18.2476	2.51162e-06	279.974	10.9216
340	9.04839	281.752	100	1.69291e-10	18.2476	2.51162e-06	279.974	10.978
360	8.99276	281.752	100	1.68251e-10	18.2476	2.51162e-06	279.973	11.0344
380	8.93717	281.752	100	1.67213e-10	18.2476	2.51162e-06	279.972	11.0907
400	8.88163	281.752	100	1.66175e-10	18.2477	2.51162e-06	279.971	11.147
420	8.82612	281.752	100	1.65138e-10	18.2477	2.51162e-06	279.971	11.2033
440	8.77066	281.752	100	1.64102e-10	18.2477	2.51162e-06	279.97	11.2595
460	8.71524	281.752	100	1.63066e-10	18.2477	2.51162e-06	279.969	11.3157
480	8.65987	281.752	100	1.62031e-10	18.2478	2.51162e-06	279.968	11.3718
500	8.60454	281.752	100	1.60997e-10	18.2478	2.51162e-06	279.968	11.4279
520	8.54925	281.752	100	1.59964e-10	18.2478	2.51162e-06	279.967	11.4839
540	8.49401	281.752	100	1.58932e-10	18.2478	2.51162e-06	279.966	11.5399
560	8.43881	281.752	100	1.579e-10	18.2478	2.51162e-06	279.965	11.5958
580	8.38366	281.752	100	1.5687e-10	18.2479	2.51162e-06	279.965	11.6517
600	8.32856	281.752	100	1.5584e-10	18.2479	2.51162e-06	279.964	11.7076
620	8.2735	281.752	100	1.54811e-10	18.2479	2.51162e-06	279.963	11.7634
640	8.21849	281.752	100	1.53783e-10	18.2479	2.51162e-06	279.962	11.8192
660	8.16353	281.752	100	1.52756e-10	18.2479	2.51162e-06	279.962	11.8749
680	8.10861	281.752	100	1.5173e-10	18.248	2.51162e-06	279.961	11.9305
700	8.05375	281.752	100	1.50704e-10	18.248	2.51162e-06	279.96	11.9861
720	7.99893	281.752	100	1.4968e-10	18.248	2.51162e-06	279.959	12.0417
740	7.94417	281.752	100	1.48656e-10	18.248	2.51162e-06	279.959	12.0972
760	7.88945	281.752	100	1.47633e-10	18.248	2.51162e-06	279.958	12.1527
780	7.83479	281.752	100	1.46612e-10	18.2481	2.51162e-06	279.957	12.2081
800	7.78018	281.752	100	1.45591e-10	18.2481	2.51162e-06	279.956	12.2634
820	7.72562	281.752	100	1.44571e-10	18.2481	2.51162e-06	279.956	12.3187
840	7.67111	281.752	100	1.43552e-10	18.2481	2.51162e-06	279.955	12.374
860	7.61666	281.752	100	1.42535e-10	18.2481	2.51162e-06	279.954	12.4292
880	7.56226	281.752	100	1.41518e-10	18.2481	2.51162e-06	279.953	12.4844
900	7.50791	281.752	100	1.40502e-10	18.2482	2.51162e-06	279.953	12.5394
920	7.45362	281.752	100	1.39487e-10	18.2482	2.51162e-06	279.952	12.5945
940	7.39938	281.752	100	1.38473e-10	18.2482	2.51162e-06	279.951	12.6495
960	7.34521	281.752	100	1.3746e-10	18.2482	2.51162e-06	279.95	12.7044
980	7.29109	281.752	100	1.36449e-10	18.2482	2.51162e-06	279.95	12.7593
1000	7.23702	281.752	100	1.35438e-10	18.2482	2.51162e-06	279.949	12.8141
