Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
10	280	90	10	10	10	280	10	29.6369	3041.73	46033.5	6.83134e-06	0.0172738	0.000170319	0.00116736	88.1199	2.00526e-05	0.00168524	41.3313	715.901	286397.0	7.39701	0.00261787	3.57628e-06	22401.7	0.715127	92.8198	0.0332602	5.53218e-06	0.00350915	1.#INF
10	280	90	10	10	10	280	10	1.96047	29.6369	6.83134e-06	43145.1	0.785669	0.531562	0.000910286	88.1199	3.06986e-05	0.0332602	0.000170319	715.901	2.00962e-05	7.39701	286397.0	0.00530457	46033.5	0.153829	92.8198	0.00261787	0.00168524	0.715127	85263.8
10	280	90	10	10	10	280	10	17.713	0.00128653	6.67097e-06	3.82309e-05	2.56991	0.0836456	58243.6	88.1199	0.00746272	35.555	0.0102003	64.1801	4401.61	7.39701	0.270921	106.098	6.99464e-06	0.0157959	92.8198	634458.0	10174.2	4.43506e-05	5897.63
10	280	90	10	10	10	280	10	140.314	2531.77	0.0958267	0.011738	1856.98	3.82029e-06	40.255	88.1199	1131.69	0.00591189	570.714	0.000377981	112.794	7.39701	0.0101791	380846.0	1136.68	12161.3	92.8198	0.0590102	2.50943e-06	3.14309	3177.97
10	280	90	10	10	10	280	10	49.0491	7.2141	0.0029275	0.00857764	0.0377448	2.05216e-05	31.7539	88.1199	14.1067	0.00275258	0.0697263	1606.34	0.52689	7.39701	1.07238	9.95307e-06	0.0963278	33.9764	92.8198	2335.08	1.30071e-05	23.1662	2145.63
10	280	90	10	10	10	280	10	4088.14	0.00935714	2.04174e-05	0.000774011	67.6077	0.323806	2.86254e-05	88.1199	2.599	0.0113572	6.33729e-05	6056.46	18667.2	7.39701	3.24786e-06	6.58969e-05	19.8065	6.81103e-06	92.8198	9.18164e-05	0.0161888	1614.67	1089.61
10	280	90	10	10	10	280	10	10.2427	193.939	0.000178452	2.28923e-05	0.00102797	7.23184e-05	0.00339956	88.1199	0.595223	37.6796	488.045	328346.0	11.4901	7.39701	0.0030467	0.0534441	0.00415919	0.0425498	92.8198	0.0408282	5.49401	179.053	975.371
10	280	90	10	10	10	280	10	53.2689	100183.0	375619.0	4.12856e-06	9.34445e-06	2.88166	0.0134849	88.1199	0.0560927	0.37992	0.00361228	186.617	24.9221	7.39701	0.000372979	40412.4	0.431974	7.31324e-05	92.8198	3.42647e-06	1.01723	2.00914e-06	659.841
10	280	90	10	10	10	280	10	1406.85	10439.0	294091.0	0.156402	2917.49	2.58239	2.93988	88.1199	20040.0	4.33839	6.47619	0.00367344	0.185299	7.39701	8.84688e-06	0.00141553	22144.6	129.491	92.8198	8.34099e-06	0.00737146	6133.9	578.983
10	280	90	10	10	10	280	10	0.00491853	425791.0	4.7378e-06	86470.3	0.000135123	2.50458e-06	15.1298	88.1199	14.7197	2.86622	0.00026887	0.0726997	0.593488	7.39701	225277.0	336.91	0.0066258	164348.0	92.8198	1206.21	0.00118926	0.00411165	480.812
10	280	90	10	10	10	280	10	0.179792	119913.0	0.00210222	1869.23	1e-06	148.015	409.838	88.1199	0.0464774	522.058	383.089	93454.8	1e-06	7.39701	469.011	1344.13	24.4688	2.88777	92.8198	1e-06	21.4926	1e-06	202.115
10	280	90	10	10	10	280	10	436.72	2182.79	27.8368	20.3093	2.37323	291683.0	32770.5	88.1199	0.314394	24.8091	31250.6	350214.0	14503.5	7.39701	13044.4	0.0514757	624032.0	1e-06	92.8198	1e-06	1.22534	132.907	150.164
10	280	90	10	10	10	280	10	361.484	2052.98	53.9956	36.9802	2.17467	271325.0	54533.9	88.1199	0.405663	31.9599	48955.7	324910.0	20864.9	7.39701	11950.8	0.0859407	759153.0	1e-06	92.8198	0.384735	0.986929	171.945	102.323
10	280	90	10	10	10	280	10	289.047	3626.7	21.018	64.0504	3.71899	614855.0	103196.0	88.1199	0.479886	29.1428	75198.8	405327.0	37978.6	7.39701	24079.2	111.349	1000000.0	3523.18	92.8198	1e-06	1e-06	166.683	59.8909
10	280	90	10	10	10	280	10	836.074	5075.22	1e-06	40.6356	0.653424	369884.0	52057.2	88.1199	0.406925	46.4063	6.05666e-06	348490.0	30252.7	7.39701	20935.4	53.7191	880082.0	4206.45	92.8198	158.645	0.066065	5195.6	59.2713
