Time	Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P
0	10.0	280.0	90.0	10.0	10.0	10.0	280.0	10.0
20	2.9813e-06	278.488	68.8879	11.2692	10.2431	31.1121	274.786	25.2141
40	0.525985	278.575	49.699	11.1781	10.2464	50.301	263.39	36.084
60	9.00875	277.186	32.1995	12.3206	10.4936	67.8005	246.167	44.8244
80	26.9966	270.684	17.281	17.4389	11.8772	82.719	223.227	49.7766
100	52.2615	255.817	7.21656	27.5583	16.625	92.7834	195.58	52.1586
120	81.405	230.426	3.70871	40.7075	28.8661	96.2913	165.573	53.0222
140	111.118	193.693	5.21315	53.2429	53.0636	94.7868	135.806	53.0762
160	139.365	145.835	9.27476	62.5515	91.6139	90.7252	107.958	52.6769
180	165.164	87.6293	14.43	68.1714	144.199	85.57	82.8941	51.9417
200	188.077	20.1523	19.9503	70.9904	208.857	80.0497	61.0724	50.8508
220	207.903	7.94242e-05	25.4718	33.1345	266.865	74.5282	42.8024	49.2949
240	224.548	7.35192e-05	30.7386	10.3869	289.613	69.2614	28.3516	47.1005
260	237.955	6.93414e-05	35.656	2.98062	297.019	64.344	17.9243	44.1203
280	248.095	6.63958e-05	40.2145	0.800636	299.199	59.7855	11.4028	40.502
300	255.099	6.41585e-05	44.4272	0.205196	299.795	55.5728	7.98324	36.9176
320	259.383	6.15031e-05	48.314	0.0510129	299.949	51.686	6.46159	34.1549
340	261.545	5.52514e-05	51.8958	0.0124692	299.987	48.1042	5.92676	32.5281
360	262.153	3.97277e-05	55.1932	0.00303389	299.997	44.8068	5.92292	31.9245
380	261.638	1.86887e-05	58.2259	0.000747024	299.999	41.7741	6.26111	32.1006
400	260.296	6.08199e-06	61.0129	0.000188278	300.0	38.9871	6.86958	32.8347
420	258.314	1.69726e-06	63.5721	4.84274e-05	300.0	36.4279	7.72751	33.9589
440	255.81	4.58197e-07	65.9203	1.26933e-05	300.0	34.0797	8.83898	35.351
460	252.858	1.2555e-07	68.0735	3.4201e-06	300.0	31.9265	10.2218	36.9201
480	249.502	3.64282e-08	70.0465	9.7788e-07	300.0	29.9535	11.9018	38.5961
500	245.769	1.22817e-08	71.8535	3.2468e-07	300.0	28.1465	13.9085	40.3227
520	241.675	5.6717e-09	73.5075	1.47439e-07	300.0	26.4925	16.2721	42.0532
540	237.23	3.88316e-09	75.0207	9.91212e-08	300.0	24.9793	19.0201	43.7495
560	232.444	3.45769e-09	76.4045	8.64885e-08	300.0	23.5955	22.1753	45.3809
580	227.322	3.43512e-09	77.6693	8.40334e-08	300.0	22.3307	25.7537	46.9245
600	221.872	3.54522e-09	78.8249	8.46471e-08	300.0	21.1751	29.7637	48.3642
620	216.103	3.71154e-09	79.8805	8.63137e-08	300.0	20.1195	34.2061	49.6905
640	210.026	3.91367e-09	80.8443	8.84595e-08	300.0	19.1557	39.0744	50.8998
660	203.651	4.1487e-09	81.724	9.09281e-08	300.0	18.276	44.3565	51.9928
680	196.991	4.41912e-09	82.5268	9.36899e-08	300.0	17.4732	50.0352	52.9735
700	190.061	4.73032e-09	83.2592	9.67557e-08	300.0	16.7408	56.0904	53.8486
720	182.875	5.08879e-09	83.9272	1.00154e-07	300.0	16.0728	62.4994	54.6259
740	175.447	5.50361e-09	84.5363	1.03919e-07	300.0	15.4637	69.2392	55.3141
760	167.792	5.98595e-09	85.0917	1.08097e-07	300.0	14.9083	76.2855	55.922
780	159.927	6.54998e-09	85.5979	1.12739e-07	300.0	14.4021	83.6153	56.458
800	151.864	7.21381e-09	86.0593	1.17907e-07	300.0	13.9407	91.2057	56.9304
820	143.618	8.00098e-09	86.4798	1.23674e-07	300.0	13.5202	99.0352	57.3466
840	135.203	8.94236e-09	86.8629	1.30129e-07	300.0	13.1371	107.084	57.7133
860	126.631	1.00792e-08	87.2119	1.37375e-07	300.0	12.7881	115.332	58.0367
880	117.915	1.14669e-08	87.5298	1.45537e-07	300.0	12.4702	123.763	58.3222
900	109.066	1.31828e-08	87.8194	1.54763e-07	300.0	12.1806	132.36	58.5746
920	100.094	1.53349e-08	88.0831	1.65229e-07	300.0	11.9169	141.108	58.7979
940	91.0104	1.80803e-08	88.3232	1.77141e-07	300.0	11.6768	149.994	58.996
960	81.8236	2.16524e-08	88.5419	1.90734e-07	300.0	11.4581	159.005	59.1719
980	72.5422	2.64084e-08	88.7411	2.0626e-07	300.0	11.2589	168.129	59.3286
1000	63.1745	3.29201e-08	88.9223	2.23952e-07	300.0	11.0777	177.357	59.4683
