Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
10	280	90	10	10	10	280	10	15.0	10.0	0.5	0.025	0.025	8.0	0.25	0.025	0.025	15.0	15.0	15.0	15.0	2.5	9.0	15.0	15.0	15.0	0.75	0.5	0.75	1	130.271
10	280	90	10	10	10	280	10	15.0	10.0	0.5	0.025	0.025	8.0	0.25	0.025	0.025	15.6	14.4	15.0	15.0	2.5	9.0	15.6	15.6	15.0	0.75	0.5	0.78	1	126.436
10	280	90	10	10	10	280	10	14.88	10.0	0.5	0.025	0.025	8.0	0.25	0.025	0.025	15.48	14.4	15.12	14.88	2.5	9.0	15.6	15.48	15.12	0.75	0.5	0.744	1	125.413
10	280	90	10	10	10	280	10	14.76	10.08	0.496	0.025	0.025	8.0	0.25	0.025	0.025	15.36	14.4	15.12	14.64	2.5	9.0	15.72	15.24	15.24	0.75	0.496	0.756	1	124.232
10	280	90	10	10	10	280	10	14.52	10.16	0.488	0.025	0.025	8.0	0.25	0.025	0.025	15.12	14.4	15.12	14.4	2.5	9.0	15.84	14.88	15.48	0.75	0.492	0.756	1	123.01
10	280	90	10	10	10	280	10	14.16	10.24	0.48	0.025	0.025	8.0	0.25	0.025	0.025	14.76	14.4	15.0	14.16	2.5	9.0	16.08	14.52	15.72	0.75	0.484	0.756	1	122.33
10	280	90	10	10	10	280	10	13.8	10.24	0.472	0.025	0.025	8.0	0.25	0.025	0.025	14.28	14.4	14.88	13.92	2.5	9.0	16.44	14.04	15.96	0.75	0.472	0.756	1	121.827
10	280	90	10	10	10	280	10	13.824	10.256	0.4712	0.02504	0.02504	8.0128	0.25	0.02496	0.025	14.256	14.376	14.88	13.944	2.5	9.0	16.464	14.016	15.96	0.75	0.4728	0.7488	1	121.164
10	280	90	10	10	10	280	10	13.872	10.256	0.4712	0.02512	0.02512	8.0384	0.25	0.02492	0.02496	14.208	14.328	14.856	13.944	2.504	8.9856	16.512	13.968	15.984	0.75	0.4744	0.7512	1	120.194
10	280	90	10	10	10	280	10	13.944	10.256	0.472	0.02524	0.0252	8.0512	0.25	0.02488	0.02492	14.136	14.304	14.808	13.968	2.508	8.9712	16.584	13.896	16.032	0.75	0.4768	0.7512	1	119.155
10	280	90	10	10	10	280	10	14.04	10.24	0.4728	0.02532	0.02528	8.0512	0.25	0.02484	0.02488	14.04	14.256	14.784	14.016	2.512	8.9568	16.68	13.8	16.104	0.75	0.48	0.7512	1	118.386
10	280	90	10	10	10	280	10	14.16	10.24	0.4744	0.02544	0.02536	8.0384	0.25	0.0248	0.02484	13.92	14.208	14.736	14.04	2.516	8.9424	16.8	13.68	16.2	0.75	0.484	0.7488	1	117.769
10	280	90	10	10	10	280	10	14.28	10.256	0.4752	0.02556	0.02544	8.0128	0.25	0.02476	0.02484	13.824	14.184	14.664	14.088	2.516	8.9424	16.944	13.536	16.296	0.7488	0.4888	0.7464	1	117.103
10	280	90	10	10	10	280	10	14.424	10.288	0.4752	0.02568	0.02552	7.9744	0.25	0.02472	0.0248	13.752	14.136	14.568	14.112	2.516	8.9424	17.112	13.368	16.416	0.7464	0.4936	0.7428	1	116.436
10	280	90	10	10	10	280	10	14.592	10.336	0.4744	0.0258	0.0256	7.9232	0.25	0.02472	0.02476	13.704	14.112	14.448	14.16	2.512	8.9424	17.304	13.224	16.56	0.7428	0.4976	0.738	1	115.318
10	280	90	10	10	10	280	10	14.784	10.368	0.4744	0.02592	0.02568	7.8592	0.25	0.02476	0.02472	13.656	14.064	14.304	14.184	2.508	8.9424	17.52	13.056	16.728	0.7392	0.5024	0.7344	1	114.6
10	280	90	10	10	10	280	10	15.0	10.416	0.4744	0.02604	0.02576	7.7952	0.25	0.02476	0.02468	13.584	13.992	14.184	14.208	2.504	8.9424	17.76	12.912	16.896	0.7356	0.5072	0.7296	1	114.305
10	280	90	10	10	10	280	10	14.9952	10.4192	0.4744	0.026032	0.025768	7.79776	0.25	0.02476	0.02468	13.5792	13.9872	14.1888	14.2128	2.5032	8.94528	17.7648	12.9168	16.9008	0.73584	0.50704	0.72816	1	114.243
10	280	90	10	10	10	280	10	14.9904	10.4192	0.47456	0.026032	0.025776	7.80288	0.24992	0.024752	0.024688	13.5792	13.9776	14.1888	14.2176	2.5016	8.94816	17.7744	12.9264	16.9104	0.73608	0.50672	0.72864	1	114.159
