Time	Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P
0	9.54114517356	281.465162504	92.8877469922	10.0829298635	9.53457758375	9.80108705478	285.990992604	9.77593067705
20	14.1527077001	298.322141264	71.5658405918	4.79780116626	10.0495615356	26.095115057	279.348607378	17.0819605674
40	25.235223311	281.584812408	54.1631115843	8.42841558204	10.887115069	43.9701693997	253.114377092	30.4795935758
60	40.5222380504	261.392770936	42.7268706672	13.1882682363	12.819853424	60.3634816673	220.829500825	44.1941193633
80	60.4534890774	256.642405353	27.4945958816	21.2390190334	16.4929428242	73.4016910605	183.312614314	55.6047657386
100	82.4797843811	255.567507655	13.6808317578	28.2821022515	24.0537353767	87.4655943142	163.857537593	59.9152519209
120	108.408313576	230.268247204	2.77523147456	37.8490069099	39.7644079173	98.2019115615	124.719821237	68.1719672721
140	129.773125777	190.184958117	1.86997956371	50.5351142538	62.8171749506	99.2248378011	108.755488073	63.3810261885
160	147.402914548	139.70894068	8.02826352405	58.3866100053	107.586486756	89.0313612097	87.5283201595	55.2076572709
180	172.891990761	79.1135708713	14.0608110355	66.9237700224	161.67923468	86.7696638354	74.3104240629	51.4891153931
200	192.286482338	11.2393033157	19.5267905738	71.9525616924	216.324170748	78.99313942	64.7914506817	44.6364371911
220	205.485691204	0.664014558652	24.4216595695	32.7316233646	278.304337876	77.9952734109	54.6120187281	40.7509320251
240	213.004026635	0.179378902511	30.1569737145	12.803267085	289.359018614	68.6785061261	51.1285786934	33.0707037425
260	227.205880338	0.0508283935188	35.1193642085	4.43617457498	307.630433931	65.4767010687	47.7766839881	31.1639263677
280	235.354715958	0.0164241503016	36.2040519225	1.49793984326	304.340499899	59.6534925782	41.42563554	27.5356687766
300	241.311516284	0.00556327972256	43.3539417298	0.53063425475	313.444676376	60.8442052445	37.4888186088	26.3598635239
320	245.796763827	0.00170431164195	45.5065945299	0.162972267285	285.429669449	55.954755981	38.0842106534	25.0149502613
340	230.213513976	0.00056861148952	47.3837787934	0.0558659720872	285.294466131	50.6816171255	35.7959627398	25.0556910649
360	234.739020988	0.000175188069832	51.4019164548	0.0170872738593	304.854719586	48.6461770805	32.9523261929	26.1487682239
380	248.413552237	6.08388575944e-05	56.131185326	0.00556561849476	310.394711806	46.837798974	31.9494800231	27.2185836209
400	228.492022738	1.91560741907e-05	56.8635797924	0.00172322906344	293.411437154	44.1102982382	30.5799961096	29.2656736869
420	232.19215871	6.15843170929e-06	62.4294836279	0.000571924688476	285.415537006	39.0888590048	33.6721219219	30.3123294241
