Time	Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P
0	9.8305068464	270.33603581	91.7597908088	9.8874094872	10.2341307848	10.1275292566	284.786205927	9.73225216954
20	8.77419928592	272.017669407	73.3894168163	12.2917755749	7.95597981258	29.6685617414	276.510024268	13.678682948
40	12.624232961	276.855508731	54.2279036244	13.0561367507	6.94524135928	47.4952960547	277.880021604	19.3100872471
60	21.5639309982	283.900461121	33.6118005482	15.4918871388	8.00321971583	64.934540364	238.516928582	26.8873243506
80	35.9525018191	273.796713494	21.614698179	20.0749515885	11.5570552048	77.9242732292	235.393482677	37.877758
100	55.1796348212	254.736598923	14.8006906152	25.7669629661	21.004520967	87.2889593427	205.71409527	43.8058849418
120	77.949964869	228.262791094	11.9615974647	35.7390149146	38.9736286447	86.1222524224	170.800950028	53.0553926791
140	100.53868068	195.709448482	11.7703143429	46.6409735213	60.4530089508	91.03552938	143.381621262	57.9011270742
160	119.384898255	145.813868268	13.4582783306	55.7328078328	96.1831528783	90.1031005218	113.265263258	62.986348775
180	149.175017195	98.364953578	15.9720154534	64.1349156536	133.808882119	81.3837228465	92.3482847195	69.9637491163
200	170.218569009	44.8123803751	19.7028868131	60.9472578958	197.486915201	76.8837458895	69.8943964219	70.3587881818
220	187.704421862	5.11521428578	22.696146594	41.425603583	243.810681786	80.7473609834	47.4430617238	68.5296325939
240	192.146160271	0.611189186147	25.7607300896	5.62678381824	289.201017226	70.9935234634	31.291603985	68.376548713
260	210.509836834	0.135588428934	29.3926715508	1.47375674662	296.984123131	67.6195246742	22.2904745398	62.7435375554
280	223.918087596	0.119070257063	33.4529127317	1.3295919425	295.449706854	68.9921600385	15.5409796668	58.4357007416
300	236.448122533	0.102075445965	36.6067016393	1.24066330424	304.054763412	66.8941982931	11.1632733255	47.1810918979
320	254.254945776	0.0913689040824	41.1655746277	1.24186657401	297.123651317	60.1044264084	9.96357129675	40.705553269
340	264.688175082	0.0858401504033	44.3534156283	1.17932284781	285.33487314	55.2400113263	9.3138054045	35.486792721
360	273.215504376	0.0848344756311	47.8200245612	1.2089172307	311.469908428	52.5798281399	9.01145430486	29.3461482826
380	276.174787366	0.0797425633873	47.3787567512	1.2139909658	297.768672603	49.1833584575	9.23482258269	28.0922825773
400	264.791232621	0.0843061488476	50.0619031454	1.1559360112	307.908237449	47.5381669472	9.56619174122	25.2405500753
420	265.280632769	0.0780508584858	53.3461564699	1.18515866565	284.25611766	46.4782881925	9.35578045351	24.171386699
440	278.337481529	0.0795067149608	59.2362296656	1.17542731327	305.731904718	41.2158442765	10.3394061948	24.2882676721
460	252.312442061	0.085544240525	58.6734606034	1.16047325181	290.947748977	38.5934551635	11.2447289682	24.5288138479
480	273.501762632	0.0859769782478	61.2855373812	1.18255050605	298.099354996	36.322917026	12.236382082	26.5810414436
500	253.385196448	0.0880691909297	67.5119988517	1.21680907629	286.308192974	33.7439560913	13.3586467392	28.3292868128
520	257.326565732	0.0873714463911	71.6640242129	1.15489015925	293.485138123	31.7414288185	15.4593811187	28.3473767512
540	256.757192817	0.0872473924578	72.4965549413	1.1735292453	301.270154766	28.9883810035	18.3633866043	32.7384224014
560	255.001362965	0.0957056800916	75.5890203426	1.27558491919	286.880295346	25.6950735545	21.6962033292	33.044304125
580	241.607102359	0.0948551273922	77.8939563496	1.28349372972	302.454085974	22.4987558907	24.2263969304	35.6567242744
600	239.428684238	0.103595462878	78.1901745689	1.31871608181	285.297975597	21.0198433313	27.9143363251	40.2821425568
620	221.991375913	0.107317840499	83.2804979573	1.4099402476	287.421192823	19.0345873903	30.9470328674	41.8195224334
640	229.373402396	0.121496422206	83.1925007535	1.46000639277	311.620541042	15.7301403302	35.8050800661	43.0134370528
660	212.273341176	0.131760799459	89.7212678497	1.5222275269	311.414251368	14.4099625542	40.9348761083	45.3048512599
680	191.958821609	0.143365439519	89.6507890235	1.53653637332	288.104398521	12.3765676683	47.4809931541	46.9999415605
