Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
10	280	90	10	10	10	280	10	0.0370911	2.60671e-06	0.000113218	0.0158617	3.14561e-06	6622.3	0.00664322	88.1199	0.00552298	4.30543	516348.0	9.80293e-05	4.03748	7.39701	0.0206635	0.0193234	1.45664e-05	2708.19	92.8198	1.11473e-06	4.91919e-05	2666.67	978.252
10	280	90	10	10	10	280	10	2.00986	0.0158984	68.3423	1.26324e-06	2.46463e-06	77.0358	4354.16	88.1199	0.0397988	606.524	0.0192054	1.97769e-06	3.09366e-05	7.39701	54652.6	324807.0	3087.81	8.05053	92.8198	0.231763	9.35089e-06	6.53849e-05	558.372
10	280	90	10	10	10	280	10	0.6515	1.10686e-05	28.2342	384895.0	0.0543759	5.06835	175.449	88.1199	104.34	0.000328195	3.5666e-05	24438.7	1.63435e-05	7.39701	0.0493116	0.360979	79871.4	1.51161e-05	92.8198	3.97442e-06	540.66	4.42077	299.319
10	280	90	10	10	10	280	10	2582.0	1e-06	1e-06	27780.2	2.8898	236048.0	711.375	88.1199	0.030593	478.91	406437.0	1e-06	1e-06	7.39701	0.712298	101846.0	298064.0	32472.0	92.8198	1e-06	0.00180497	3203.92	264.612
10	280	90	10	10	10	280	10	3262.16	922.026	115.622	20282.2	1e-06	164031.0	1234.91	88.1199	0.0335578	589.792	689566.0	0.000752004	0.132454	7.39701	1.30399	60806.7	188544.0	46195.7	92.8198	1e-06	0.108384	6174.92	164.099
10	280	90	10	10	10	280	10	3052.52	323.157	1e-06	38411.1	3.85022	279878.0	656.784	88.1199	1e-06	207.638	279079.0	15842.4	69444.4	7.39701	1e-06	162007.0	340729.0	127680.0	92.8198	1e-06	1e-06	4414.57	146.718
10	280	90	10	10	10	280	10	4018.27	1568.34	102.783	36693.5	3.36037	123677.0	764.663	88.1199	1e-06	331.75	209300.0	12937.0	74538.9	7.39701	1e-06	138100.0	234251.0	147281.0	92.8198	0.0134797	0.175472	3077.84	125.825
10	280	90	10	10	10	280	10	3244.16	53213.6	653.822	17293.9	0.184997	275482.0	644.441	88.1199	0.000748729	128.446	969596.0	0.0111862	0.127271	7.39701	0.558659	235159.0	182203.0	53417.1	92.8198	9.99069e-05	0.0505386	4598.37	49.1609
10	280	90	10	10	10	280	10	14544.5	3702.14	1e-06	26496.4	3.09509	487331.0	1364.4	88.1199	1e-06	55.8641	1e-06	165.227	216117.0	7.39701	0.576112	167032.0	481659.0	168857.0	92.8198	1.9567e-06	0.115256	2512.35	29.5806
10	280	90	10	10	10	280	10	2918.04	73426.7	1051.3	17402.1	0.210617	268914.0	971.511	88.1199	0.00101006	124.493	967967.0	0.0217371	0.125024	7.39701	0.155104	329242.0	164711.0	56601.1	92.8198	8.73391e-05	0.028563	4499.57	26.3262
