(MAPKKK inactivation).V2	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.00829576	16294.1
0.00952481	15009.2
0.0109359	14514.1
0.0125561	13629.1
0.0144164	13735.2
0.0165522	12900.2
0.0190045	12456.6
0.0218201	11379.4
0.0250528	11042.4
0.0287645	10091.7
0.033026	9190.34
0.0379189	8256.2
0.0435368	7298.93
0.0499869	6282.12
0.0573926	5288.1
0.0658956	4189.04
0.0756582	3548.3
0.0868673	3100.36
0.099737	2918.12
0.114513	2795.36
0.131479	2334.91
0.150958	2205.56
0.173323	2058.51
0.199001	1983.61
0.228484	1907.87
0.262335	1855.9
0.301201	1811.69
0.345825	1770.48
0.39706	1750.3
0.455886	1751.86
0.523427	1745.92
0.600975	1819.39
0.690011	1724.78
0.792239	1756.59
0.909612	1697.98
1.04437	1689.3
1.1991	1697.51
1.37675	1691.3
1.58072	1698.75
1.81491	1700.49
2.0838	1696.91
2.39252	1705.05
2.74698	1686.79
3.15396	1688.14
3.62123	1687.74
4.15773	1686.89
4.77371	1687.44
5.48095	1687.89
6.29298	1687.99
7.2253	1688.74
8.29576	1687.74
9.52481	1693.3
10.9359	1692.76
12.5561	1688.1
14.4164	1697.86
16.5522	1689.72
19.0045	1739.11
21.8201	1696.92
25.0528	1710.55
28.7645	3124.18
33.026	1726.44
37.9189	2039.42
43.5368	1914.51
49.9869	1855.76
57.3926	1753.09
65.8956	2656.9
75.6582	2069.9
86.8673	1750.55
99.737	1982.09
114.513	3294.08
131.479	1915.22
150.958	3079.62
173.323	6267.14
199.001	6927.05
228.484	5411.15
262.335	6589.6
301.201	6833.84
345.825	9408.39
397.06	18896.2
455.886	12277.6
523.427	20901.1
600.975	34575.7
690.011	22482.6
792.239	23974.9
909.612	26851.2
1044.37	27520.2
1199.1	28878
1376.75	29357.8
1580.72	30075.4
1814.91	30493.3
2083.8	30197.4
2392.52	31598.3
2746.98	30885.6
3153.96	32201.6
3621.23	47480.7
4157.73	39564.3
4773.71	49778.3
5480.95	50938.9
6292.98	53257.5
7225.3	55530
8295.76	87867
