(dephosphorylation of MAPK-PP).KK9	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
17.4112	1687.74
19.9907	1687.74
22.9524	1687.74
26.3529	1687.74
30.2572	1687.74
34.7399	1687.74
39.8868	1687.73
45.7961	1687.74
52.581	1687.74
60.371	1687.74
69.3152	1687.74
79.5845	1687.74
91.3753	1687.74
104.913	1687.74
120.456	1687.74
138.302	1687.74
158.792	1687.74
182.318	1687.74
209.329	1687.74
240.341	1687.74
275.949	1687.74
316.832	1687.74
363.772	1687.74
417.666	1687.74
479.544	1687.74
550.59	1687.74
632.162	1687.74
725.82	1687.74
833.352	1687.74
956.817	1687.74
1098.57	1687.74
1261.33	1687.74
1448.2	1687.74
1662.76	1687.74
1909.1	1687.74
2191.94	1687.74
2516.68	1687.74
2889.54	1687.74
3317.64	1687.74
3809.16	1687.74
4373.5	1687.74
5021.44	1687.74
5765.39	1687.74
6619.55	1687.74
7600.26	1687.74
8726.27	1687.74
10019.1	1687.74
11503.5	1687.74
13207.7	1687.74
15164.5	1687.74
17411.2	1687.74
19990.7	1687.74
22952.4	1687.74
26352.9	1687.74
30257.2	1687.74
34739.9	1687.74
39886.8	1687.74
45796.1	1687.74
52581	1687.74
60371	1687.74
69315.2	1687.74
79584.5	1687.74
91375.3	1687.74
104913	1687.74
120456	1687.74
138302	1687.74
158792	1687.74
182318	1687.74
209329	1687.74
240341	1687.74
275949	1687.74
316832	1687.74
363772	1687.74
417666	1687.74
479544	1687.74
550590	1687.74
632162	1687.74
725820	1687.74
833352	1687.74
956817	1687.74
1.09857e+06	1687.74
1.26133e+06	1687.74
1.4482e+06	1687.74
1.66276e+06	1687.74
1.9091e+06	1687.74
2.19194e+06	1687.74
2.51668e+06	1687.74
2.88954e+06	1687.74
3.31764e+06	1687.74
3.80916e+06	1687.74
4.3735e+06	1687.74
5.02144e+06	1687.74
5.76539e+06	1687.74
6.61955e+06	1687.74
7.60026e+06	1687.74
8.72627e+06	1687.74
1.00191e+07	1687.74
1.15035e+07	1687.74
1.32077e+07	1687.74
1.51645e+07	1687.74
1.74112e+07	1687.74
