(phosphorylation of MAPKK).KK3	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
640.215	26797.5
735.065	28442.1
843.968	22280.5
969.005	22208.6
1112.57	21200.1
1277.4	19986.6
1466.65	18518.4
1683.94	18240.7
1933.42	18721
2219.86	15407.5
2548.74	14104.4
2926.35	13968.1
3359.9	13405.3
3857.68	11395.2
4429.21	14092.1
5085.41	12381.9
5838.83	11885.8
6703.87	13236.5
7697.08	12360.3
8837.43	12101.2
10146.7	10857.6
11650	10908.2
13376	10730.4
15357.7	11304.4
17633	10819.8
20245.4	10485.5
23244.8	10310.2
26688.6	10180.7
30642.6	10204.6
35182.4	9878.62
40394.8	9889.36
46379.5	9675.76
53250.8	9562.25
61140.1	9865.42
70198.2	9067.28
80598.3	8812.39
92539.2	8452.79
106249	8267.48
121990	7779.92
140064	7210.53
160815	6694
184640	6169.49
211995	5573.44
243403	4900.65
279464	4290.37
320868	3489.94
368405	2909.39
422986	2475.52
485653	2061.06
557604	1773.58
640215	1687.74
735065	1785.87
843968	2111.03
969005	2687.08
1.11257e+06	3511.3
1.2774e+06	4591.7
1.46665e+06	5948.23
1.68394e+06	7563.19
1.93342e+06	9344.15
2.21986e+06	11262.5
2.54874e+06	13138.9
2.92635e+06	15657.5
3.3599e+06	18418.7
3.85768e+06	21811.4
4.42921e+06	25407.5
5.08541e+06	29410.6
5.83883e+06	33828.6
6.70387e+06	38084
7.69708e+06	43096.5
8.83743e+06	47119.9
1.01467e+07	51577.7
1.165e+07	59424.8
1.3376e+07	63648.9
1.53577e+07	67211.2
1.7633e+07	69329.8
2.02454e+07	73264.1
2.32448e+07	76170.7
2.66886e+07	77716.5
3.06426e+07	80478.2
3.51824e+07	84510.9
4.03948e+07	86733.9
4.63795e+07	88921.4
5.32508e+07	89780.9
6.11401e+07	91891
7.01982e+07	91315.1
8.05983e+07	94323.1
9.25392e+07	92339.2
1.06249e+08	92877.6
1.2199e+08	95256.7
1.40064e+08	94348
1.60815e+08	98037
1.8464e+08	98466.7
2.11995e+08	99090.5
2.43403e+08	99206.4
2.79464e+08	100987
3.20868e+08	102234
3.68405e+08	102365
4.22986e+08	102424
4.85653e+08	103000
5.57604e+08	103049
6.40215e+08	103403
