(MAPKKK activation).n	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
240.043	1702.82
275.606	1704.27
316.438	1704.27
363.32	1704.28
417.147	1704.26
478.949	1704.26
549.907	1704.25
631.377	1704.26
724.918	1704.27
832.318	1704.27
955.628	1704.27
1097.21	1704.27
1259.76	1704.25
1446.4	1704.26
1660.69	1704.27
1906.73	1704.27
2189.22	1704.23
2513.56	1704.26
2885.95	1704.25
3313.52	1704.27
3804.43	1704.23
4368.06	1704.28
5015.21	1704.27
5758.23	1704.27
6611.33	1704.27
7590.83	1694.95
8715.43	1704.27
10006.7	1704.24
11489.2	1704.26
13191.3	1704.28
15145.7	1704.25
17389.6	1701.61
19965.9	1704.26
22923.9	1704.26
26320.2	1704.26
30219.6	1704.25
34696.8	1704.26
39837.2	1704.26
45739.3	1704.26
52515.7	1704.28
60296.1	1704.27
69229.2	1704.26
79485.7	1704.26
91261.8	1704.27
104783	1704.27
120306	1704.24
138130	1704.22
158595	1704.27
182091	1704.23
209069	1704.27
240043	1704.24
275606	1704.25
316438	1704.26
363320	1704.26
417147	1704.24
478949	1704.27
549907	1704.25
631377	1704.27
724918	1704.27
832318	1704.23
955628	1704.26
1.09721e+06	1704.27
1.25976e+06	1704.24
1.4464e+06	1704.27
1.66069e+06	1704.27
1.90673e+06	1704.27
2.18922e+06	1704.27
2.51356e+06	1702.46
2.88595e+06	1704.25
3.31352e+06	1704.26
3.80443e+06	1704.27
4.36806e+06	1704.25
5.01521e+06	1704.26
5.75823e+06	1704.27
6.61133e+06	1704.28
7.59083e+06	1704.2
8.71543e+06	1704.26
1.00067e+07	1704.26
1.14892e+07	1704.25
1.31913e+07	1704.28
1.51457e+07	1704.24
1.73896e+07	1704.26
1.99659e+07	1704.27
2.29239e+07	1704.27
2.63202e+07	1704.27
3.02196e+07	1704.27
3.46968e+07	1704.27
3.98372e+07	1704.26
4.57393e+07	1704.26
5.25157e+07	1704.27
6.02961e+07	1704.23
6.92292e+07	1704.27
7.94857e+07	1704.27
9.12618e+07	1704.28
1.04783e+08	1704.24
1.20306e+08	1704.28
1.3813e+08	1704.25
1.58595e+08	1704.27
1.82091e+08	1704.27
2.09069e+08	1704.26
2.40043e+08	1704.26
