(MAPKKK inactivation).KK2	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
20.3927	12107.1
23.414	11222.9
26.8828	11249.6
30.8656	2706.86
35.4385	5868.76
40.6888	10442
46.717	2554.78
53.6383	3115.43
61.585	10180.1
70.709	8038.93
81.1848	2581.1
93.2126	3704.96
107.022	2670.06
122.878	2741.2
141.083	2212.6
161.985	10097.5
185.984	7837.73
213.538	2122.86
245.174	2102.09
281.498	5503.84
323.203	1909.33
371.086	2144.57
426.064	2629.93
489.187	1925.93
561.662	1716.74
644.874	1748.23
740.414	1836.08
850.109	2149.74
976.056	2369.72
1120.66	1719.95
1286.69	1756.24
1477.32	1851.54
1696.19	1710.63
1947.49	1736.57
2236.02	1714.57
2567.29	1737.56
2947.64	1750.75
3384.35	1782.42
3885.75	1704.59
4461.44	1710.81
5122.41	1710.15
5881.32	1724.73
6752.66	1711.37
7753.09	1756.84
8901.74	1714.01
10220.6	1705.56
11734.8	1705.14
13473.3	1705.92
15469.4	1709.37
17761.3	1703.08
20392.7	1704.26
23414	1704.18
26882.8	1705.96
30865.6	1704.63
35438.5	1705.67
40688.8	1703.51
46717	1706.07
53638.3	1705.85
61585	1717.27
70709	1714.89
81184.8	1910.39
93212.6	2648.84
107022	1783.95
122878	2522.19
141083	1870.23
161985	1949.36
185984	3209.91
213538	2070.75
245174	4579.26
281498	7774.05
323203	6149.33
371086	6833.05
426064	11108.5
489187	12181.4
561662	13238.2
644874	13210.2
740414	14222.4
850109	14864.7
976056	14966.4
1.12066e+06	16308.1
1.28669e+06	15878
1.47732e+06	18178.9
1.69619e+06	18898.6
1.94749e+06	17478.6
2.23602e+06	17801.8
2.56729e+06	17900.6
2.94764e+06	17099.2
3.38435e+06	18198.8
3.88575e+06	18540
4.46144e+06	18353
5.12241e+06	18249.4
5.88132e+06	18413.2
6.75266e+06	18390.5
7.75309e+06	18439.8
8.90174e+06	18525.9
1.02206e+07	18581.5
1.17348e+07	18658.9
1.34733e+07	18657.9
1.54694e+07	18676.8
1.77613e+07	18659.2
2.03927e+07	18765.4
