(dephosphorylation of MAPK-P).KK10	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
2.8887	20394.9
3.31667	13406
3.80805	20349.6
4.37222	17889.2
5.01999	8957.32
5.76371	8703.16
6.61763	7843.33
7.59806	6374.37
8.72373	6593.26
10.0162	5882.8
11.5001	5000.84
13.2039	4571.01
15.1601	4159.07
17.4061	3785
19.9849	4292.79
22.9458	3243.51
26.3453	2992.21
30.2484	3189.86
34.7298	2590.42
39.8752	2417.85
45.7828	2366.34
52.5657	2202.32
60.3535	2114.58
69.2951	1948.01
79.5614	1897.87
91.3487	1866.8
104.882	1804.58
120.421	1755.51
138.262	1792.75
158.746	1759.22
182.265	1701.01
209.268	1705.55
240.272	1734.43
275.869	1712.61
316.74	1693.04
363.666	1708.68
417.544	1706.14
479.405	1690.69
550.43	1692.35
631.979	1693.85
725.609	1706.07
833.11	1695.97
956.538	1698.21
1098.25	1698.52
1260.96	1702.06
1447.78	1700.51
1662.27	1702.36
1908.55	1702.85
2191.3	1703.63
2515.95	1704
2888.7	1704.28
3316.67	1705.02
3808.05	1705.63
4372.22	1707.65
5019.99	1707.07
5763.71	1706.91
6617.63	1707.3
7598.06	1709.51
8723.73	1711
10016.2	1708.81
11500.1	1710.98
13203.9	1713.71
15160.1	2753.32
17406.1	1710.47
19984.9	1710.15
22945.8	1712.55
26345.3	1713.59
30248.4	1712.95
34729.8	1716.35
39875.2	1735.43
45782.8	1722.01
52565.7	1718.21
60353.5	1719.56
69295.1	1722.92
79561.4	1723.51
91348.7	1800.06
104882	1737.19
120421	1735.01
138262	1725.67
158746	1797.79
182265	1790.53
209268	59946.1
240272	53834.9
275869	49101.7
316740	52785.9
363666	60042.8
417544	50770.8
479405	52880.8
550430	50983.8
631979	59771.1
725609	60396.5
833110	51338.3
956538	52429.5
1.09825e+06	58402
1.26096e+06	60171.6
1.44778e+06	52169
1.66227e+06	52300.2
1.90855e+06	52268.1
2.1913e+06	52500.4
2.51595e+06	52391.5
2.8887e+06	53966.4
