(dephosphorylation of MAPK-PP).V9	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
1.43594e-06	1704.26
1.64868e-06	1704.27
1.89294e-06	1704.26
2.17338e-06	1704.27
2.49538e-06	1704.24
2.86508e-06	1704.23
3.28955e-06	1704.27
3.77691e-06	1704.28
4.33647e-06	1704.25
4.97893e-06	1704.26
5.71658e-06	1704.27
6.56351e-06	1704.27
7.53592e-06	1704.27
8.65239e-06	1704.27
9.93428e-06	1704.27
1.14061e-05	1704.25
1.30959e-05	1704.23
1.50361e-05	1704.25
1.72638e-05	1704.24
1.98215e-05	1704.27
2.27581e-05	1704.26
2.61298e-05	1704.26
3.0001e-05	1704.25
3.44458e-05	1704.27
3.95491e-05	1704.26
4.54084e-05	1704.26
5.21358e-05	1704.23
5.98599e-05	1704.27
6.87284e-05	1704.25
7.89108e-05	1704.27
9.06017e-05	1704.26
0.000104025	1704.27
0.000119436	1704.27
0.000137131	1704.27
0.000157448	1704.26
0.000180774	1704.27
0.000207556	1704.24
0.000238307	1704.25
0.000273613	1704.26
0.000314149	1704.27
0.000360692	1704.26
0.00041413	1704.15
0.000475484	1704.27
0.000545929	1704.26
0.000626811	1704.27
0.000719675	1704.27
0.000826297	1704.27
0.000948716	1704.28
0.00108927	1704.26
0.00125065	1704.27
0.00143594	1704.22
0.00164868	1704.27
0.00189294	1704.25
0.00217338	1704.27
0.00249538	1704.26
0.00286508	1704.27
0.00328955	1704.27
0.00377691	1704.27
0.00433647	1704.27
0.00497893	1704.24
0.00571658	1704.27
0.00656351	1704.25
0.00753592	1704.2
0.00865239	1704.27
0.00993428	1704.24
0.0114061	1704.27
0.0130959	1704.25
0.0150361	1704.24
0.0172638	1704.28
0.0198215	1704.26
0.0227581	1704.26
0.0261298	1704.28
0.030001	1704.24
0.0344458	1704.26
0.0395491	1704.27
0.0454084	1704.27
0.0521358	1704.27
0.0598599	1704.26
0.0687284	1704.28
0.0789108	1704.26
0.0906017	1704.25
0.104025	1704.27
0.119436	1704.26
0.137131	1704.28
0.157448	1704.28
0.180774	1704.26
0.207556	1704.28
0.238307	1704.26
0.273613	1704.23
0.314149	1704.28
0.360692	1704.27
0.41413	1704.29
0.475484	1704.28
0.545929	1704.28
0.626811	1704.28
0.719675	1704.28
0.826297	1704.29
0.948716	1704.31
1.08927	1704.29
1.25065	1704.32
1.43594	1703.94
