(dephosphorylation of MAPKK-PP).KK5	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
30.621	79559.2
35.1576	85238.8
40.3663	111820
46.3468	114432
53.2132	113255
61.0969	105748
70.1487	94052.5
80.5414	77869.9
92.4739	95187.6
106.174	77441.3
121.904	88660.8
139.965	76958.4
160.701	75708.9
184.51	74749.4
211.846	75595.1
243.231	74846.5
279.267	68902.8
320.641	71331.3
368.145	72407.1
422.687	72530
485.31	69886.3
557.211	70335.5
639.763	50883.7
734.547	64811.9
843.372	50447.8
968.321	57384.3
1111.78	51823.3
1276.5	26121.9
1465.61	11126.4
1682.75	11421.5
1932.05	33258.1
2218.3	15458.7
2546.94	8786.58
2924.28	14381.7
3357.53	9310.09
3854.96	10173.2
4426.08	9255.31
5081.82	8390.38
5834.71	6164.64
6699.14	7914.19
7691.65	9373.5
8831.19	6402.88
10139.6	5505.76
11641.8	4745.47
13366.6	3791.7
15346.9	3551.73
17620.5	2924.39
20231.1	2346.69
23228.4	2003.29
26669.8	1771.49
30621	1704.27
35157.6	1769.94
40366.3	1968.36
46346.8	2246.89
53213.2	2696.99
61096.9	3259.73
70148.7	3834.2
80541.4	4458.92
92473.9	5131.17
106174	5524.22
121904	6386.7
139965	6949.65
160701	7686.27
184510	8080.43
211846	8841.49
243231	9154.63
279267	9675.08
320641	10246.2
368145	10502.7
422687	10867.5
485310	11195.4
557211	11575.6
639763	11724
734547	12059
843372	12108.6
968321	12411.7
1.11178e+06	12584.9
1.2765e+06	12427.3
1.46561e+06	12826.4
1.68275e+06	12876.5
1.93205e+06	12592.8
2.2183e+06	13038.1
2.54694e+06	13228.8
2.92428e+06	13210.9
3.35753e+06	13265.1
3.85496e+06	13287.4
4.42608e+06	13226.4
5.08182e+06	13336.6
5.83471e+06	13419
6.69914e+06	13356.8
7.69165e+06	13264
8.83119e+06	13817.8
1.01396e+07	13827.5
1.16418e+07	14366.1
1.33666e+07	13995.1
1.53469e+07	14377.3
1.76205e+07	14161.8
2.02311e+07	14926
2.32284e+07	14371.6
2.66698e+07	14233.8
3.0621e+07	13633.6
