(phosphorylation of MAPKK-P).k4	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
1.82423e-05	88252.1
2.0945e-05	95077.2
2.4048e-05	92889.1
2.76108e-05	91915.3
3.17015e-05	93397.2
3.63982e-05	101970
4.17907e-05	108485
4.79821e-05	120106
5.50909e-05	78182.4
6.32528e-05	76782.5
7.26239e-05	95998.8
8.33834e-05	90788.4
9.5737e-05	78697.4
0.000109921	76548
0.000126206	76009.5
0.000144904	75141.6
0.000166372	74220.4
0.00019102	74673.5
0.000219321	74173.1
0.000251814	71878.6
0.000289121	71281.3
0.000331955	72243.3
0.000381136	70850.1
0.000437602	68303.1
0.000502435	67663.8
0.000576872	67487.7
0.000662338	65939.2
0.000760466	61959
0.000873131	62150.2
0.00100249	60158.5
0.00115101	59052.2
0.00132154	51934.9
0.00151733	54617.7
0.00174213	47411.4
0.00200023	46135.1
0.00229657	40723.8
0.00263681	36606.7
0.00302747	30873.2
0.003476	27666.3
0.00399098	24584.5
0.00458226	20391.6
0.00526114	17215.2
0.00604059	13995.3
0.00693553	10763.9
0.00796305	7807.61
0.00914281	5390.62
0.0104973	3753.93
0.0120526	2667.02
0.0138382	1990.15
0.0158884	1729.67
0.0182423	1704.27
0.020945	1737.24
0.024048	1746.65
0.0276108	1992.95
0.0317015	2275.35
0.0363982	2319.68
0.0417907	3294.42
0.0479821	4057.8
0.0550909	5371.22
0.0632528	5074.6
0.0726239	5325.87
0.0833834	5263.82
0.095737	6060.84
0.109921	6067.35
0.126206	6224.74
0.144904	6651.01
0.166372	6822.78
0.19102	6505.45
0.219321	6842.16
0.251814	7014.48
0.289121	6808.19
0.331955	6560.33
0.381136	7635.82
0.437602	7327.78
0.502435	7435.74
0.576872	7853.7
0.662338	7570.61
0.760466	7902.24
0.873131	7670.24
1.00249	7614.66
1.15101	8197.05
1.32154	7624.51
1.51733	8635.91
1.74213	8543.25
2.00023	8079.93
2.29657	8627.76
2.63681	9053.9
3.02747	8364.83
3.476	9273.08
3.99098	9915.09
4.58226	9941.78
5.26114	10483.9
6.04059	11200.5
6.93553	11388.9
7.96305	11765.4
9.14281	12244.6
10.4973	12623.7
12.0526	13146.4
13.8382	17749.6
15.8884	19158.2
18.2423	22130.6
