(MAPKKK activation).K1	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.00142383	1864.34
0.00163478	1864.43
0.00187697	1864.36
0.00215505	1864.38
0.00247433	1864.53
0.00284091	1864.56
0.00326181	1864.36
0.00374505	1864.38
0.0042999	1864.35
0.00493694	1864.42
0.00566837	1864.33
0.00650816	1864.43
0.00747237	1864.55
0.00857942	1864.53
0.0098505	1864.32
0.0113099	1864.58
0.0129855	1864.5
0.0149093	1864.43
0.0171182	1864.5
0.0196543	1864.44
0.0225662	1864.38
0.0259094	1864.33
0.029748	1864.29
0.0341553	1864.45
0.0392155	1864.52
0.0450255	1864.53
0.0516961	1864.57
0.0593551	1864.56
0.0681488	1865.01
0.0782453	1864.8
0.0898376	1864.4
0.103147	1864.74
0.118429	1864.93
0.135975	1864.85
0.15612	1864.5
0.17925	1864.98
0.205806	1864.73
0.236297	1864.91
0.271305	1864.96
0.3115	1865.12
0.35765	1865.31
0.410637	1865.37
0.471474	1870.21
0.541325	1875.54
0.621524	1875.97
0.713605	1872.92
0.819329	1865.38
0.940715	1866.55
1.08009	1866
1.2401	1866.32
1.42383	1866.52
1.63478	1867.27
1.87697	1867.89
2.15505	1870.12
2.47433	1870.99
2.84091	1872.73
3.26181	1876.22
3.74505	1879.94
4.2999	1886.9
4.93694	1894.07
5.66837	1904.93
6.50816	1917.83
7.47237	1935.98
8.57942	1956.74
9.8505	1984.02
11.3099	2022.41
12.9855	2061.44
14.9093	2118.11
17.1182	2204.69
19.6543	2261.3
22.5662	2382.32
25.9094	2509.59
29.748	2617.4
34.1553	2770.63
39.2155	3152.64
45.0255	3177.88
51.6961	3433.01
59.3551	3739.11
68.1488	4271.19
78.2453	4702.89
89.8376	4889.07
103.147	5478.82
118.429	6048.25
135.975	6750.46
156.12	7623.34
179.25	8139.63
205.806	9805.64
236.297	10324.8
271.305	10303.7
311.5	12220.4
357.65	15711.4
410.637	12978
471.474	15663.7
541.325	15515.8
621.524	17094.3
713.605	17912.2
819.329	18825.7
940.715	19353.6
1080.09	20540.3
1240.1	21222.2
1423.83	22055.7
