(MAPKKK activation).Ki	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.0464082	19048.9
0.0532837	19121.8
0.0611779	19077.6
0.0702417	19657.9
0.0806482	18947.2
0.0925965	18871.3
0.106315	18952.7
0.122066	18694
0.140151	18627.2
0.160914	19942.7
0.184754	18449.8
0.212126	18332.9
0.243554	18206.5
0.279637	18114.1
0.321066	26557.2
0.368633	17809.2
0.423248	17646.3
0.485954	21537.3
0.557949	26281
0.640611	24696.7
0.73552	16933.2
0.84449	17528.6
0.969605	16765.4
1.11326	16100.9
1.27819	15806.9
1.46756	15443.2
1.68498	15043.8
1.93462	19606.9
2.22124	14244.8
2.55032	15779
2.92816	15077.1
3.36198	11666.5
3.86007	12394.1
4.43195	10347.2
5.08856	10467.2
5.84245	9892.38
6.70803	8406.55
7.70184	8690.5
8.8429	6846.02
10.153	7222.74
11.6572	5798.4
13.3843	2875.59
15.3672	2465.29
17.6439	2249.23
20.2579	2092.74
23.2592	1993.42
26.7051	1924.85
30.6616	1893.73
35.2042	1872.27
40.4199	1864.8
46.4082	1866.5
53.2837	1870.24
61.1779	1875.03
70.2417	1887.68
80.6482	1895.38
92.5965	1905.6
106.315	1942.52
122.066	1974.82
140.151	1994.33
160.914	2108.73
184.754	2184.15
212.126	2204.16
243.554	2243.34
279.637	3313.81
321.066	4469.79
368.633	5327.5
423.248	6158.67
485.954	6923.99
557.949	7918.88
640.611	11091.6
735.52	18102.3
844.49	13705.8
969.605	10590.4
1113.26	13619.4
1278.19	14278.9
1467.56	12190.8
1684.98	12406.7
1934.62	13420.5
2221.24	14258.3
2550.32	13982.5
2928.16	14616.2
3361.98	15707.7
3860.07	16439.4
4431.95	18375.3
5088.56	17678.6
5842.45	17009.6
6708.03	17262.5
7701.84	16519.2
8842.9	18021.6
10153	24813
11657.2	44871
13384.3	20944.5
15367.2	18773
17643.9	28860.1
20257.9	17058.5
23259.2	28113.3
26705.1	24135.3
30661.6	20843.4
35204.2	26357.4
40419.9	18123.7
46408.2	22038.2
