(dephosphorylation of MAPK-P).V10	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.00116565	2336.87
0.00133835	2338.02
0.00153663	2336.79
0.00176428	2335.54
0.00202567	2335.78
0.00232578	2331.2
0.00267035	2333.02
0.00306597	2330.98
0.00352021	2347.49
0.00404174	2324.41
0.00464054	2325.47
0.00532805	2322.8
0.00611742	2318.85
0.00702374	2315.33
0.00806433	2312.4
0.00925909	2306.14
0.0106309	2302.41
0.0122059	2296.18
0.0140142	2289.73
0.0160904	2282
0.0184743	2274.22
0.0212113	2263.61
0.0243539	2253.05
0.027962	2240.9
0.0321047	2225.77
0.0368611	2210.78
0.0423222	2192.66
0.0485924	2173.2
0.0557915	2151.03
0.0640572	2126.97
0.0735475	2100.4
0.0844439	2079.59
0.0969545	2043.3
0.111319	2012.23
0.127811	2005.59
0.146747	1977.39
0.168488	1924.08
0.19345	1902.36
0.22211	1891.17
0.255016	1890.54
0.292798	1890.06
0.336177	1879.91
0.385983	1878.3
0.443168	1875.62
0.508825	1872.22
0.584209	1871.16
0.670762	1869.18
0.770137	1869.45
0.884236	1867.37
1.01524	1867.1
1.16565	1865.42
1.33835	1866.14
1.53663	1866.41
1.76428	1868.55
2.02567	1870
2.32578	1868.54
2.67035	1869.19
3.06597	1875.6
3.52021	1877.71
4.04174	1890.96
4.64054	1874.53
5.32805	1886.53
6.11742	1886.05
7.02374	1914.2
8.06433	1913.98
9.25909	1951.86
10.6309	2020.4
12.2059	2416.26
14.0142	2268.53
16.0904	5160.67
18.4743	5441.71
21.2113	2023.73
24.3539	2728.85
27.962	2011.24
32.1047	2478.82
36.8611	9133.44
42.3222	2259.03
48.5924	2030.43
55.7915	1987.45
64.0572	2023.21
73.5475	8481.81
84.4439	2246.26
96.9545	13155.7
111.319	19696.8
127.811	20902.9
146.747	16499.1
168.488	20978.5
193.45	21348.5
222.11	21784.2
255.016	20510
292.798	21795.6
336.177	21659.4
385.983	22967.8
443.168	20957.2
508.825	22263.4
584.209	22391.8
670.762	22612.9
770.137	22295.4
884.236	22019.3
1015.24	23175.8
1165.65	23606.7
