(dephosphorylation of MAPKK-P).KK6	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
615.366	22944.6
706.535	9615.07
811.21	1893.67
931.394	19621.6
1069.38	15206
1227.82	5972.3
1409.72	5528.63
1618.58	6030.16
1858.38	6099.4
2133.7	1970.01
2449.82	1873.84
2812.77	1872.65
3229.49	1939.2
3707.95	1892.13
4257.29	1901.65
4888.03	4759.96
5612.2	6263.8
6443.67	2013.44
7398.33	1873.48
8494.42	1874.52
9752.89	1869.11
11197.8	1869
12856.8	1867.97
14761.6	1868.17
16948.6	1870.02
19459.6	1867.11
22342.6	1875.15
25652.7	1867.94
29453.3	2322.77
33816.9	2014.51
38827	1988.91
44579.3	1896.82
51183.9	1892.86
58767	2032.57
67473.5	1890.4
77470	1886.47
88947.4	1970.09
102125	2024.09
117256	2017.79
134627	2021.44
154573	1922.91
177473	1892.93
203767	1889.49
233956	1868.92
268617	1873.5
308414	1869.77
354106	1866.44
406568	1865.5
466803	1866.02
535961	1866.45
615366	1866.11
706535	1865.98
811210	1867.03
931394	1867.17
1.06938e+06	1867.12
1.22782e+06	1867.22
1.40972e+06	1866.32
1.61858e+06	1866.53
1.85838e+06	1871.17
2.1337e+06	1868.75
2.44982e+06	1892.28
2.81277e+06	1882.11
3.22949e+06	1875.37
3.70795e+06	3518.96
4.25729e+06	1884.1
4.88803e+06	1885.56
5.6122e+06	2344.99
6.44367e+06	1876.05
7.39833e+06	1876.71
8.49442e+06	4214.98
9.75289e+06	5007.86
1.11978e+07	6063.38
1.28568e+07	5744.25
1.47616e+07	6325.33
1.69486e+07	6361.86
1.94596e+07	2192.18
2.23426e+07	6136.25
2.56527e+07	7520.19
2.94533e+07	2862.11
3.38169e+07	7870.34
3.8827e+07	7588.56
4.45793e+07	6962.32
5.11839e+07	3907.7
5.8767e+07	8001.29
6.74735e+07	8070.2
7.747e+07	2028.54
8.89474e+07	4481.88
1.02125e+08	4163.71
1.17256e+08	8316.86
1.34627e+08	1917.74
1.54573e+08	7905.59
1.77473e+08	8158.38
2.03767e+08	8213.1
2.33956e+08	8390.9
2.68617e+08	8118.87
3.08414e+08	7765.01
3.54106e+08	8439.59
4.06568e+08	8515.91
4.66803e+08	8373.37
5.35961e+08	4458.84
6.15366e+08	8458.12
