(phosphorylation of MAPK).KK7	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
3.09178e-07	3597.84
3.54984e-07	3409.17
4.07576e-07	3087.7
4.6796e-07	3320.35
5.3729e-07	3545.06
6.16891e-07	3542.7
7.08286e-07	3114.19
8.13221e-07	3354.47
9.33703e-07	3465.2
1.07203e-06	3312.4
1.23086e-06	2785.93
1.41322e-06	2651.79
1.62259e-06	3223.23
1.86298e-06	3474.18
2.13899e-06	2318.4
2.45589e-06	3730.99
2.81974e-06	3496.41
3.23749e-06	3319.38
3.71714e-06	3108.82
4.26784e-06	2984.67
4.90014e-06	2944.93
5.62611e-06	3085.64
6.45964e-06	1866.56
7.41666e-06	1866.56
8.51547e-06	1866.55
9.77707e-06	1866.53
1.12256e-05	1866.48
1.28887e-05	1866.5
1.47982e-05	1866.47
1.69906e-05	1866.55
1.95078e-05	1866.36
2.2398e-05	1866.34
2.57163e-05	1866.46
2.95263e-05	1866.51
3.39007e-05	1866.48
3.89232e-05	1866.51
4.46898e-05	1866.47
5.13108e-05	1866.44
5.89127e-05	1866.47
6.76408e-05	1865.84
7.7662e-05	1864.4
8.91679e-05	1866.15
0.000102378	1866.42
0.000117546	1864.94
0.000134961	1864.52
0.000154956	1865.09
0.000177913	1864.54
0.000204272	1865.52
0.000234535	1865.71
0.000269283	1865.62
0.000309178	1865.15
0.000354984	1865.86
0.000407576	1865.68
0.00046796	1866.46
0.00053729	1865.73
0.000616891	1866.08
0.000708286	1865.36
0.000813221	1864.6
0.000933703	1866.52
0.00107203	1864.71
0.00123086	1865.79
0.00141322	1864.99
0.00162259	1865.49
0.00186298	1865.5
0.00213899	1865.34
0.00245589	1865.22
0.00281974	1866.3
0.00323749	1865.25
0.00371714	1865.68
0.00426784	1864.22
0.00490014	1866.3
0.00562611	1864.38
0.00645964	1864.74
0.00741666	1865.09
0.00851547	1864.83
0.00977707	1866.52
0.0112256	1866.58
0.0128887	1865.5
0.0147982	1865.82
0.0169906	1865.06
0.0195078	1864.56
0.022398	1865.22
0.0257163	1865.38
0.0295263	1864.53
0.0339007	1866.66
0.0389232	1865.28
0.0446898	1864.86
0.0513108	1865.14
0.0589127	1864.73
0.0676408	1864.93
0.077662	1866.83
0.0891679	1866.21
0.102378	1865.58
0.117546	1865.21
0.134961	1867.08
0.154956	1865.66
0.177913	1866.17
0.204272	1865.23
0.234535	1867.55
0.269283	1867.73
0.309178	1867.93
