(phosphorylation of MAPK).k7	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
2.07978e-05	154969
2.38791e-05	154671
2.74168e-05	154793
3.14787e-05	153923
3.61424e-05	153935
4.14971e-05	153130
4.7645e-05	152425
5.47038e-05	151907
6.28084e-05	150946
7.21136e-05	150231
8.27975e-05	149070
9.50643e-05	147919
0.000109148	146468
0.000125319	144768
0.000143886	142980
0.000165203	140939
0.000189678	138636
0.00021778	136075
0.000250045	132937
0.00028709	128839
0.000329623	124782
0.000378458	119865
0.000434528	114402
0.000498904	108230
0.000572819	101427
0.000657684	93968.5
0.000755122	85936
0.000866997	77654.7
0.000995445	69249.4
0.00114292	61179.3
0.00131225	53891.4
0.00150667	48852.3
0.00172989	44938.6
0.00198617	39415.6
0.00228043	34072.3
0.00261829	28917.5
0.0030062	25720.5
0.00345158	21759.9
0.00396294	18901.9
0.00455006	15962.9
0.00522417	13378.2
0.00599815	11297
0.0068868	8479.95
0.0079071	6974.38
0.00907857	4682.77
0.0104236	3531.46
0.0119679	2694.73
0.013741	2283.5
0.0157767	1942.73
0.0181141	1888.85
0.0207978	1864.82
0.0238791	1869.67
0.0274168	1878.14
0.0314787	1970.17
0.0361424	1984.77
0.0414971	2050.11
0.047645	2056.07
0.0547038	2362.81
0.0628084	3106.64
0.0721136	2703.98
0.0827975	8243.56
0.0950643	8319.67
0.109148	13329
0.125319	6878.14
0.143886	21290.3
0.165203	20753.6
0.189678	22877.1
0.21778	19506.4
0.250045	33346.9
0.28709	29816.3
0.329623	32498.8
0.378458	39234.7
0.434528	43378.7
0.498904	35720.6
0.572819	37061.9
0.657684	52343.3
0.755122	48401.7
0.866997	42017.1
0.995445	51801.4
1.14292	48504.7
1.31225	65356.8
1.50667	63009.7
1.72989	60512
1.98617	64075.5
2.28043	64086.3
2.61829	61827.8
3.0062	62194.9
3.45158	62254.8
3.96294	60240.5
4.55006	62102.8
5.22417	61325.4
5.99815	63684.3
6.8868	62048.4
7.9071	63019.2
9.07857	62051.5
10.4236	62767.1
11.9679	61887.5
13.741	62521
15.7767	62128.6
18.1141	61792.6
20.7978	61913.9
