(phosphorylation of MAPK-P).KK8	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
5.72707	2459.82
6.57556	6530.21
7.54975	2684.28
8.66827	2470.67
9.95251	2309.26
11.427	2228.2
13.12	2238.33
15.0637	2652.97
17.2955	2368.1
19.8579	2721.18
22.7999	2728.92
26.1778	2416.49
30.0561	2325.86
34.509	2421.02
39.6216	2386.16
45.4917	2403.22
52.2315	2171.6
59.9698	1924.68
68.8545	1914.69
79.0556	1896.11
90.7679	1876.79
104.216	1875.19
119.655	2537.01
137.383	1873.73
157.737	1860.82
181.106	1865.58
207.937	1948.52
238.744	1924.62
274.115	1858.49
314.726	1871.56
361.354	1922.21
414.89	1860.14
476.357	1875.17
546.931	1860.69
627.961	1864.94
720.995	1861.38
827.813	1866.9
950.457	1865.42
1091.27	1862.59
1252.95	1863.9
1438.57	1927.84
1651.71	1864.71
1896.41	1865.91
2177.37	1954.11
2499.96	1865.14
2870.33	1869.53
3295.58	1868.23
3783.84	1866.77
4344.43	1865.82
4988.07	1865.78
5727.07	1864.51
6575.56	1866.94
7549.75	1866.58
8668.27	1866.38
9952.51	1869.05
11427	1867.33
13120	1870.64
15063.7	1870.17
17295.5	1870.25
19857.9	1867.17
22799.9	1903.22
26177.8	1874.98
30056.1	1877.79
34509	2307.5
39621.6	1876.8
45491.7	1981.82
52231.5	3806.07
59969.8	2126.26
68854.5	2970.99
79055.6	2876.79
90767.9	7156.23
104216	64490.5
119655	54284.1
137383	32870.2
157737	28987.3
181106	61891
207937	71350.9
238744	62995.9
274115	79351.1
314726	87729
361354	33414.7
414890	116106
476357	114204
546931	109912
627961	76184.8
720995	92240
827813	124168
950457	145101
1.09127e+06	147052
1.25295e+06	127582
1.43857e+06	156247
1.65171e+06	141472
1.89641e+06	156377
2.17737e+06	154996
2.49996e+06	135647
2.87033e+06	158784
3.29558e+06	158674
3.78384e+06	156174
4.34443e+06	163590
4.98807e+06	165604
5.72707e+06	160915
