(phosphorylation of MAPK-P).k8	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.00130681	50228.8
0.00150042	42913
0.00172271	37906
0.00197794	34184.5
0.00227098	29710.4
0.00260743	27124.5
0.00299373	23989.6
0.00343726	20785.3
0.0039465	23803.2
0.00453119	14153.1
0.0052025	18584.3
0.00597327	12025.3
0.00685824	5784.89
0.00787431	3943.54
0.00904092	3761.83
0.0103804	2797.91
0.0119182	3047.47
0.013684	3202.42
0.0157113	2324.09
0.018039	22721.8
0.0207115	1971.44
0.02378	2048.08
0.0273031	1993.26
0.0313482	1963.28
0.0359925	1927.96
0.041325	1927.84
0.0474474	1898.36
0.0544769	1879.84
0.0625479	1936.89
0.0718146	1864.05
0.0824541	1873.47
0.09467	1865.26
0.108696	1864.45
0.124799	1865.53
0.143289	1883.56
0.164518	1867.95
0.188892	1867.3
0.216876	1864.09
0.249008	1870.6
0.285899	1863.52
0.328256	1865.24
0.376888	1863.9
0.432725	1867.51
0.496835	1865.92
0.570443	1866.78
0.654956	1866.61
0.751991	1866.33
0.863401	1866.18
0.991317	1866.47
1.13818	1866.56
1.30681	1866.52
1.50042	1865.68
1.72271	1865.69
1.97794	1867.63
2.27098	1869.09
2.60743	1866.9
2.99373	1866.81
3.43726	1935.94
3.9465	1867.57
4.53119	1869.06
5.2025	4314.31
5.97327	2496.82
6.85824	1882.93
7.87431	7815.71
9.04092	2329.1
10.3804	6740.29
11.9182	10096.4
13.684	9037.21
15.7113	7272.51
18.039	11900.1
20.7115	15680.1
23.78	15576
27.3031	15567.9
31.3482	10813.7
35.9925	9776.51
41.325	18468.7
47.4474	18068.4
54.4769	19039.3
62.5479	18745.6
71.8146	19383.8
82.4541	19574.3
94.67	19063.7
108.696	20760.6
124.799	19125.9
143.289	19827.5
164.518	21087.4
188.892	20434.7
216.876	22042.9
249.008	21874.1
285.899	21648.8
328.256	22230.4
376.888	22442.3
432.725	22371.4
496.835	22373.5
570.443	22486.1
654.956	22463.6
751.991	22573.4
863.401	22531.6
991.317	22561.7
1138.18	22600.3
1306.81	22557.2
