(phosphorylation of MAPKK-P).KK4	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
62.1532	2017.01
71.3614	1761.38
81.9339	2188.06
94.0727	2692.66
108.01	1963.56
124.012	1848.72
142.385	1842.23
163.48	1900.67
187.7	1898.65
215.508	2614.39
247.436	1960.18
284.095	2005.89
326.185	2373.86
374.51	2314.75
429.995	2222.07
493.7	2262.29
566.844	2250.18
650.824	2130.46
747.246	2412.33
857.953	2224.75
985.062	1858.21
1131	1903.32
1298.56	1866.82
1490.95	1888.57
1711.84	1869.09
1965.46	1876.39
2256.65	1870.37
2590.98	1864.58
2974.84	1867.68
3415.57	1867.95
3921.6	1865.23
4502.6	1874.75
5169.68	1880.95
5935.58	1886.88
6814.96	1885.82
7824.62	1934.89
8983.87	1872.08
10314.9	1867.6
11843	1870.73
13597.6	1876.74
15612.2	1867.12
17925.2	1867.74
20580.9	1869.36
23630	1869.37
27130.9	1867.69
31150.4	1867.15
35765.4	1868.92
41064.2	1870.08
47148	1866.57
54133.2	1869.06
62153.2	1864.71
71361.4	1870.44
81933.9	1867.15
94072.7	1866.66
108010	1872.51
124012	1868.74
142385	1868.55
163480	1907.5
187700	1866.7
215508	1883.13
247436	1948.39
284095	1876.3
326185	1910.97
374510	4006.98
429995	2000.98
493700	1924.98
566844	2098.69
650824	6800.27
747246	6422.53
857953	19362.4
985062	9734.56
1.131e+06	3613.43
1.29856e+06	10641.9
1.49095e+06	25784.4
1.71184e+06	5719.25
1.96546e+06	8517.69
2.25665e+06	15741.1
2.59098e+06	35747.9
2.97484e+06	8818.29
3.41557e+06	16577.9
3.9216e+06	44954.5
4.5026e+06	57518.9
5.16968e+06	11278
5.93558e+06	56017.1
6.81496e+06	70962.8
7.82462e+06	64857.6
8.98387e+06	79722
1.03149e+07	85465.4
1.1843e+07	94373.9
1.35976e+07	98412.8
1.56122e+07	102288
1.79252e+07	103177
2.05809e+07	102735
2.363e+07	103557
2.71309e+07	108757
3.11504e+07	103456
3.57654e+07	104400
4.10642e+07	99614.2
4.7148e+07	103474
5.41332e+07	103477
6.21532e+07	103214
