Time	Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P
0	10.0	280.0	90.0	10.0	10.0	10.0	280.0	10.0
20	3.37538e-06	278.429	68.9356	11.3289	10.2421	31.0644	274.771	25.2287
40	0.525704	278.444	49.7814	11.3109	10.2455	50.2186	263.352	36.1228
60	9.0501	276.976	32.3061	12.5257	10.4982	67.6939	246.104	44.846
80	27.1232	270.376	17.4163	17.7092	11.9148	82.5837	223.139	49.7374
100	52.4771	255.384	7.3901	27.8582	16.7573	92.6099	195.482	52.0404
120	81.6871	229.853	3.87661	40.9684	29.179	96.1234	165.487	52.8257
140	111.441	192.976	5.36464	53.3966	53.6271	94.6354	135.751	52.8084
160	139.691	144.996	9.42321	62.5613	92.4422	90.5768	107.968	52.3414
180	165.45	86.743	14.5714	68.0232	145.234	85.4286	83.0135	51.5364
200	188.281	19.5272	20.0798	70.5397	209.933	79.9202	61.3488	50.3703
220	207.984	0.000157815	25.5862	32.5887	267.411	74.4138	43.2771	48.7385
240	224.472	0.000146178	30.8371	10.1813	289.819	69.1629	29.0374	46.4911
260	237.702	0.000137942	35.7398	2.91426	297.086	64.2602	18.7664	43.5315
280	247.682	0.000132063	40.285	0.781488	299.218	59.715	12.2674	40.051
300	254.579	0.000127291	44.4861	0.200078	299.8	55.5139	8.75018	36.6707
320	258.816	0.00012067	48.3627	0.0497069	299.95	51.6373	7.11113	34.0728
340	260.967	0.000104162	51.9355	0.0121486	299.988	48.0645	6.498	32.5349
360	261.577	6.78724e-05	55.2252	0.00296588	299.997	44.7748	6.45747	31.9653
380	261.066	2.85429e-05	58.2513	0.000739171	299.999	41.7487	6.78834	32.1459
400	259.721	8.85358e-06	61.0326	0.000189594	300.0	38.9674	7.40891	32.8702
420	257.73	2.46634e-06	63.5868	4.97021e-05	300.0	36.4132	8.29201	33.9781
440	255.211	6.76659e-07	65.9309	1.3312e-05	300.0	34.0691	9.43746	35.3514
460	252.239	1.90892e-07	68.0807	3.69814e-06	300.0	31.9193	10.8598	36.9016
480	248.857	5.86727e-08	70.0509	1.12077e-06	300.0	29.9491	12.5821	38.5604
500	245.096	2.22799e-08	71.8556	4.19485e-07	300.0	28.1444	14.6311	40.2729
520	240.971	1.22147e-08	73.5077	2.26425e-07	300.0	26.4923	17.0348	41.9939
540	236.495	9.53362e-09	75.0194	1.7362e-07	300.0	24.9806	19.8185	43.6862
560	231.676	8.9889e-09	76.402	1.60435e-07	300.0	23.598	23.0037	45.3199
580	226.522	9.10142e-09	77.666	1.58855e-07	300.0	22.334	26.6055	46.8721
600	221.041	9.44875e-09	78.821	1.60938e-07	300.0	21.179	30.6321	48.3267
620	215.242	9.91172e-09	79.8762	1.64402e-07	300.0	20.1238	35.0845	49.6734
640	209.135	1.04611e-08	80.8398	1.68596e-07	300.0	19.1602	39.9572	50.9078
660	202.732	1.10956e-08	81.7195	1.7335e-07	300.0	18.2805	45.2389	52.0294
680	196.045	1.18242e-08	82.5224	1.78647e-07	300.0	17.4776	50.9138	53.0413
700	189.088	1.26617e-08	83.255	1.84519e-07	300.0	16.745	56.9628	53.949
720	181.876	1.36272e-08	83.9233	1.91022e-07	300.0	16.0767	63.3645	54.7596
740	174.423	1.47446e-08	84.5328	1.98226e-07	300.0	15.4672	70.0963	55.4809
760	166.743	1.60444e-08	85.0886	2.06215e-07	300.0	14.9114	77.1353	56.1212
780	158.853	1.75648e-08	85.5953	2.15086e-07	300.0	14.4047	84.4586	56.6886
800	150.765	1.93549e-08	86.0572	2.24957e-07	300.0	13.9428	92.0441	57.1908
820	142.494	2.14785e-08	86.4782	2.35964e-07	300.0	13.5218	99.8705	57.6352
840	134.054	2.40189e-08	86.8618	2.48269e-07	300.0	13.1382	107.918	58.0283
860	125.456	2.70873e-08	87.2113	2.62063e-07	300.0	12.7887	116.167	58.3764
880	116.714	3.08346e-08	87.5298	2.77569e-07	300.0	12.4702	124.601	58.6847
900	107.838	3.54672e-08	87.8199	2.95052e-07	300.0	12.1801	133.204	58.9581
920	98.8392	4.12795e-08	88.0841	3.14813e-07	300.0	11.9159	141.96	59.2009
940	89.7276	4.86883e-08	88.3248	3.37193e-07	300.0	11.6752	150.856	59.4168
960	80.5123	5.83184e-08	88.544	3.62549e-07	300.0	11.456	159.879	59.6092
980	71.2021	7.11176e-08	88.7436	3.9121e-07	300.0	11.2564	169.017	59.7808
1000	61.8048	8.85953e-08	88.9254	4.23347e-07	300.0	11.0746	178.261	59.9342
