Time	Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P
0	0.00015081	1.00709e-05	2.39505e-06	2.68908	9.01159	1e-06	0.00468253	1.01608e-06
1	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	4.49135e-14
2	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.39305e-16
3	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38925e-16
4	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38965e-16
5	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.39486e-16
6	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.3898e-16
7	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
8	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
9	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
10	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
11	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
12	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
13	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
14	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
15	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
16	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
17	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
18	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
19	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
20	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
21	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
22	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
23	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
24	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
25	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
26	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
27	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
28	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
29	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
30	0.00015081	1.00814e-05	8.93719e-11	1.91936e-11	11.7007	3.39496e-06	0.00468355	1.38976e-16
