[Mek1-PP]_0	[Erk2]_0	[Mos]_0	[Erk2-P]_0	[Erk2-PP]_0	[Mos-P]_0	[Mek1]_0	[Mek1-P]_0	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
120968	11626.8	98566.7	0.00275067	0.0487785	9.01518	6.41491e-05	0.000738974	8.72179	7.2555	0.575616	49132	396.079	0.863015	0.570787	1.36008e-06	25.6806	0.0175796	1667.25	3.23543e-05	1.01984e-06	7.43335e-06	298419	516466	16.3971	0.00426134	418037	339448	0.000776079	40808.9	2.4375e+13
34039.1	1.65275e-05	22505	1.205e-05	4.34941e-05	1073	126799	0.00862108	695.611	208.381	0.00591463	478381	0.00271172	0.000538237	2.06012e-06	6457.54	29.4323	0.000690154	0.00140484	2.63202	109677	0.000206754	0.000218978	27.4591	0.000375333	765449	945.88	0.716226	10.2569	7.55802	9335.61
0.109108	257775	0.0115286	0.0238066	55.8283	707882	0.0333703	0.0140238	11.4127	8.26972	0.0306646	0.129986	185946	8529.87	0.420817	0.00649127	136.415	0.0905941	82567.1	0.000261164	0.0438332	0.0394079	1.94572e-05	4242.54	0.214058	1003.71	44576.8	25669.6	0.378186	14281	0.125475
0.044977	1e-06	9.51924e-05	0.000240342	1.01322e-06	1.88329e-05	0.0179886	1e-06	0.000182615	0.0011733	28678.8	1e-06	1e-06	1e-06	1e-06	1.27588e-06	1e-06	1.06323e-06	1.07415e-06	1.21921e-06	1.23125e-06	0.199107	1e-06	1.00336e-06	1.06653e-06	1e-06	1.12329	6.6082e-05	0.0205919	0.052439	0.117004
0.18188	0.964165	1.26521e-06	1.1007e-06	1.06331e-06	1.07734e-06	1e-06	0.0756772	2.74977e-05	1.38901e-06	1.08509e-06	87323.3	0.235122	23921	1.97765	3.96279e-06	5.34056e-05	580.258	642.506	0.259187	91166.9	209809	0.169893	0.000722441	0.019792	416960	0.0522877	3.43761e-06	0.00242932	73.2306	0.0774336
1.0073e-06	1.00475e-06	0.000124319	0.00020737	3.59275	2.45468e-05	1e-06	1.21069e-06	0.000153864	1.2462e-05	1.03363e-06	1.11366e-06	1.07458e-06	907857	2.66615e-06	0.957945	0.000296327	0.000509981	1.10385e-06	1.15318e-06	1.0565e-06	1.03133e-06	1.15981e-06	1.06708e-06	0.00570957	1.07204e-06	1.09952e-06	1.02126e-06	1e-06	853.075	0.0720636
1.12353e-06	1.02268e-06	0.000285	1.71189e-06	6.50825	1e-06	1e-06	1.23482e-06	28275.7	1e-06	1.21281e-06	10123.9	1.20091e-06	1e-06	0.66402	1e-06	1.47981e-06	1e-06	1078.38	1.13316	5.24958	3.70882e-05	22370.9	1083	0.00808407	160914	1.00344e-06	1.11862e-06	0.000364573	1e-06	0.0701773
1.09475e-06	1e-06	0.000106594	1.94486e-06	6.36898	2.0445e-05	1e-06	1.13174e-06	0.0157871	1.25961e-05	1.17712e-06	9336.19	1.15645e-06	1.05426e-06	0.589099	1.02414e-06	1.85458e-06	1.0145e-06	1204.13	1.10842	1e-06	1.09596e-06	1e-06	1035.74	0.00781483	168514	1.0741e-06	1e-06	1.16887e-06	0.0480745	0.0551561
1.10245e-06	1.18299e-06	0.000267935	1.12636e-06	7.40394	1e-06	1.08246e-06	1.06534e-06	0.0184815	1.10283e-06	1.06737e-06	0.495876	1009.95	1.12227e-06	1550.39	1e-06	1.08496e-06	1.12369e-06	1e-06	1.16036e-06	1.41447e-06	3071.24	15636	1138.67	1.42738e-06	106080	0.0211534	1.09939e-06	0.000399053	1.17303e-06	0.0500436
0.00102188	0.000105462	0.00190651	0.0500879	4.75596	1.97654e-05	1.35306e-06	1.0136e-06	5.67491e-06	1e-06	1e-06	1.22318e-06	1.05333e-06	1e-06	1661.33	1.17025e-06	0.000358042	1.1106e-06	2205.46	1e-06	0.485781	3727.27	3186.09	6.45917e-05	1.15372e-06	1.0737e-06	0.979671	1e-06	0.000255367	934.591	0.036584
