Time	Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P
0	10.0	280.0	90.0	10.0	10.0	10.0	280.0	10.0
1	9.05102e-07	96.2524	90.0479	193.734	10.0137	9.95215	0.0444099	299.956
2	9.0075e-07	96.2631	90.0955	193.723	10.0135	9.90453	0.0446243	299.955
3	8.9642e-07	96.2739	90.1429	193.713	10.0132	9.85713	0.0448397	299.955
4	8.9211e-07	96.2846	90.19	193.702	10.0129	9.80995	0.0450561	299.955
5	8.87821e-07	96.2953	90.237	193.692	10.0127	9.763	0.0452737	299.955
6	8.83553e-07	96.306	90.2837	193.682	10.0124	9.71627	0.0454923	299.955
7	8.79304e-07	96.3167	90.3302	193.671	10.0122	9.66976	0.0457119	299.954
8	8.75076e-07	96.3275	90.3765	193.661	10.0119	9.62347	0.0459327	299.954
9	8.70869e-07	96.3382	90.4226	193.65	10.0116	9.5774	0.0461545	299.954
10	8.66681e-07	96.3489	90.4685	193.64	10.0114	9.53155	0.0463774	299.954
11	8.62513e-07	96.3596	90.5141	193.629	10.0111	9.48592	0.0466014	299.953
12	8.58366e-07	96.3703	90.5595	193.619	10.0108	9.4405	0.0468265	299.953
13	8.54238e-07	96.3811	90.6047	193.608	10.0106	9.3953	0.0470527	299.953
14	8.5013e-07	96.3918	90.6497	193.598	10.0103	9.35031	0.04728	299.953
15	8.46041e-07	96.4025	90.6945	193.587	10.0101	9.30554	0.0475085	299.952
16	8.41972e-07	96.4133	90.739	193.577	10.0098	9.26097	0.047738	299.952
17	8.37923e-07	96.424	90.7834	193.566	10.0095	9.21662	0.0479687	299.952
18	8.33893e-07	96.4347	90.8275	193.556	10.0093	9.17248	0.0482005	299.952
19	8.29882e-07	96.4454	90.8714	193.546	10.009	9.12855	0.0484334	299.952
20	8.2589e-07	96.4562	90.9152	193.535	10.0087	9.08483	0.0486675	299.951
21	8.21918e-07	96.4669	90.9587	193.525	10.0085	9.04131	0.0489027	299.951
22	8.17964e-07	96.4776	91.002	193.514	10.0082	8.998	0.0491391	299.951
23	8.14029e-07	96.4884	91.0451	193.504	10.008	8.9549	0.0493767	299.951
24	8.10113e-07	96.4991	91.088	193.493	10.0077	8.912	0.0496154	299.95
25	8.06216e-07	96.5098	91.1307	193.483	10.0074	8.8693	0.0498552	299.95
26	8.02338e-07	96.5206	91.1732	193.472	10.0072	8.8268	0.0500963	299.95
27	7.98478e-07	96.5313	91.2155	193.462	10.0069	8.78451	0.0503385	299.95
28	7.94636e-07	96.542	91.2576	193.451	10.0066	8.74242	0.0505819	299.949
29	7.90813e-07	96.5528	91.2995	193.441	10.0064	8.70053	0.0508266	299.949
30	7.87008e-07	96.5635	91.3412	193.43	10.0061	8.65883	0.0510724	299.949
31	7.83221e-07	96.5743	91.3827	193.42	10.0059	8.61734	0.0513194	299.949
32	7.79453e-07	96.585	91.424	193.409	10.0056	8.57604	0.0515676	299.948
33	7.75702e-07	96.5957	91.4651	193.399	10.0053	8.53493	0.0518171	299.948
34	7.7197e-07	96.6065	91.506	193.388	10.0051	8.49403	0.0520678	299.948
35	7.68255e-07	96.6172	91.5467	193.378	10.0048	8.45331	0.0523197	299.948
36	7.64558e-07	96.628	91.5872	193.367	10.0046	8.41279	0.0525728	299.947
37	7.60879e-07	96.6387	91.6275	193.357	10.0043	8.37246	0.0528272	299.947
38	7.57217e-07	96.6494	91.6677	193.347	10.004	8.33233	0.0530828	299.947
39	7.53573e-07	96.6602	91.7076	193.336	10.0038	8.29238	0.0533397	299.947
40	7.49946e-07	96.6709	91.7474	193.326	10.0035	8.25262	0.0535979	299.946
41	7.46337e-07	96.6817	91.7869	193.315	10.0032	8.21306	0.0538573	299.946
42	7.42744e-07	96.6924	91.8263	193.305	10.003	8.17368	0.054118	299.946
43	7.3917e-07	96.7032	91.8655	193.294	10.0027	8.13448	0.05438	299.946
44	7.35612e-07	96.7139	91.9045	193.284	10.0025	8.09548	0.0546432	299.945
45	7.32071e-07	96.7247	91.9433	193.273	10.0022	8.05666	0.0549078	299.945
46	7.28547e-07	96.7354	91.982	193.263	10.0019	8.01802	0.0551736	299.945
47	7.2504e-07	96.7462	92.0204	193.252	10.0017	7.97957	0.0554408	299.945
48	7.2155e-07	96.7569	92.0587	193.242	10.0014	7.9413	0.0557092	299.944
49	7.18077e-07	96.7677	92.0968	193.231	10.0011	7.90321	0.055979	299.944
50	7.1462e-07	96.7784	92.1347	193.221	10.0009	7.8653	0.0562501	299.944
51	7.1118e-07	96.7892	92.1724	193.21	10.0006	7.82757	0.0565225	299.943
52	7.07756e-07	96.7999	92.21	193.2	10.0004	7.79003	0.0567963	299.943
53	7.04348e-07	96.8107	92.2473	193.189	10.0001	7.75266	0.0570714	299.943
54	7.00957e-07	96.8214	92.2845	193.179	9.99983	7.71547	0.0573479	299.943
55	6.97583e-07	96.8322	92.3215	193.168	9.99957	7.67845	0.0576257	299.942
56	6.94224e-07	96.8429	92.3584	193.158	9.99931	7.64161	0.0579049	299.942
57	6.90881e-07	96.8537	92.3951	193.147	9.99905	7.60495	0.0581855	299.942
58	6.87555e-07	96.8644	92.4315	193.137	9.99879	7.56846	0.0584674	299.942
59	6.84244e-07	96.8752	92.4679	193.126	9.99852	7.53214	0.0587508	299.941
60	6.80949e-07	96.886	92.504	193.116	9.99826	7.496	0.0590355	299.941
61	6.7767e-07	96.8967	92.54	193.105	9.998	7.46003	0.0593216	299.941
62	6.74407e-07	96.9075	92.5758	193.095	9.99774	7.42423	0.0596091	299.94
63	6.71159e-07	96.9182	92.6114	193.084	9.99748	7.3886	0.059898	299.94
64	6.67927e-07	96.929	92.6469	193.074	9.99721	7.35314	0.0601884	299.94
65	6.64711e-07	96.9397	92.6821	193.063	9.99695	7.31785	0.0604802	299.94
66	6.61509e-07	96.9505	92.7173	193.053	9.99669	7.28273	0.0607734	299.939
67	6.58324e-07	96.9613	92.7522	193.042	9.99643	7.24777	0.061068	299.939
68	6.55153e-07	96.972	92.787	193.032	9.99617	7.21298	0.0613641	299.939
69	6.51998e-07	96.9828	92.8216	193.021	9.9959	7.17836	0.0616617	299.938
70	6.48857e-07	96.9935	92.8561	193.011	9.99564	7.1439	0.0619607	299.938
71	6.45732e-07	97.0043	92.8904	193.0	9.99538	7.1096	0.0622612	299.938
72	6.42622e-07	97.0151	92.9245	192.99	9.99512	7.07547	0.0625632	299.937
73	6.39527e-07	97.0258	92.9585	192.979	9.99485	7.0415	0.0628666	299.937
