,Kholodenko2000_variant1.cps,Kholodenko2000_variant1.cps,Kholodenko2000_variant1.cps,Kholodenko2000_variant2.cps,Kholodenko2000_variant2.cps,Kholodenko2000_variant2.cps,Kholodenko2000_variant3.cps,Kholodenko2000_variant3.cps,Kholodenko2000_variant3.cps
,RSS,AICc,BIC,RSS,AICc,BIC,RSS,AICc,BIC
RSS Rank,,,,,,,,,
0,6.47936e-10,-5737.09588708,-5667.6369957,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
1,1.05102e-09,-5631.64395172,-5562.18506034,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
2,1.13679e-09,-5614.54242289,-5545.08353151,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
3,1.32472e-09,-5581.19003278,-5511.7311414,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
4,1.40856e-09,-5567.81207265,-5498.35318127,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
5,1.4178e-09,-5566.38668651,-5496.92779513,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
6,1.42454e-09,-5565.35280404,-5495.89391266,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
7,1.43228e-09,-5564.17154367,-5494.71265229,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
8,1.46575e-09,-5559.13585775,-5489.67696637,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
9,1.47976e-09,-5557.06205523,-5487.60316384,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
10,1.50745e-09,-5553.02042916,-5483.56153778,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
11,1.51356e-09,-5552.13861691,-5482.67972553,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
12,1.55359e-09,-5546.44796889,-5476.98907751,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
13,1.56314e-09,-5545.11201325,-5475.65312187,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
14,1.65816e-09,-5532.2474114,-5462.78852002,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
15,1.78474e-09,-5516.21041744,-5446.75152605,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
16,1.80712e-09,-5513.49377306,-5444.03488168,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
17,1.92041e-09,-5500.23843847,-5430.77954709,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
