Time	[Mek1-PP]	[Erk2]	[Mos]	[Erk2-P]	[Erk2-PP]	[Mos-P]	[Mek1]	[Mek1-P]
1000	14.6035	7.33031	87.9252	15.6173	277.052	3.07477	225.391	60.0055
1000	16.3372	6.62817	88.8292	14.7973	278.574	3.0708	222.764	60.8991
1000	18.0633	6.0282	89.7316	14.0522	279.92	3.06842	220.273	61.6633
1000	19.7624	5.5151	90.6326	13.378	281.107	3.06739	217.92	62.3177
1000	21.4212	5.07498	91.5325	12.7695	282.156	3.06751	215.699	62.8798
1000	23.0273	4.69677	92.4314	12.2216	283.082	3.06859	213.609	63.3637
1000	24.5748	4.37027	93.3295	11.7282	283.901	3.07047	211.643	63.7819
1000	26.0591	4.08729	94.227	11.2841	284.629	3.07303	209.796	64.1448
1000	27.4781	3.84092	95.1238	10.8838	285.275	3.07615	208.061	64.4611
1000	28.8307	3.62554	96.0203	10.5226	285.852	3.07973	206.432	64.7377
1000	30.1187	3.4362	96.9163	10.196	286.368	3.08369	204.9	64.981
Time	[Mek1-PP]	[Erk2]	[Mos]	[Erk2-P]	[Erk2-PP]	[Mos-P]	[Mek1]	[Mek1-P]
1000	14.6035	7.33031	87.9252	15.6173	277.052	3.07477	225.391	60.0055
1000	16.3372	6.62817	88.8292	14.7973	278.574	3.0708	222.764	60.8991
1000	18.0633	6.0282	89.7316	14.0522	279.92	3.06842	220.273	61.6633
1000	19.7624	5.5151	90.6326	13.378	281.107	3.06739	217.92	62.3177
1000	21.4212	5.07498	91.5325	12.7695	282.156	3.06751	215.699	62.8798
1000	23.0273	4.69677	92.4314	12.2216	283.082	3.06859	213.609	63.3637
1000	24.5748	4.37027	93.3295	11.7282	283.901	3.07047	211.643	63.7819
1000	26.0591	4.08729	94.227	11.2841	284.629	3.07303	209.796	64.1448
1000	27.4781	3.84092	95.1238	10.8838	285.275	3.07615	208.061	64.4611
1000	28.8307	3.62554	96.0203	10.5226	285.852	3.07973	206.432	64.7377
1000	30.1187	3.4362	96.9163	10.196	286.368	3.08369	204.9	64.981
