Time	[Mek1-PP]	[Erk2]	[Mos]	[Erk2-P]	[Erk2-PP]	[Mos-P]	[Mek1]	[Mek1-P]
0	10	280	90	10	10	10	280	10
100	56.6475	251.69	14.2049	27.0276	21.2823	85.7951	197.611	45.7411
200	162.987	43.9398	19.2241	63.2815	192.779	80.7759	66.9154	70.0978
300	239.708	0.102085	35.9736	1.3055	298.592	64.0264	11.4337	48.8584
400	265.576	0.0815737	51.8823	1.15947	298.759	48.1177	9.12577	25.2979
500	258.44	0.085617	66.4912	1.19081	298.724	33.5088	13.852	27.7083
600	233.634	0.104142	79.2694	1.32422	298.572	20.7306	27.7341	38.6321
700	192.497	0.151721	89.0926	1.6271	298.221	10.9074	56.1442	51.3591
800	139.03	0.283531	94.6496	2.30852	297.408	5.3504	99.3861	61.5839
900	81.6782	0.754908	96.5448	4.08453	295.161	3.45521	150.975	67.3472
1000	30.1187	3.4362	96.9163	10.196	286.368	3.08369	204.9	64.981
