Time	Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P
0	1000.0	0.000796551	0.000138903	13.1313	0.00151817	1.00157e-05	0.00498358	4.67009e-06
1	999.254	1.65038e-05	8.56055e-05	10.0367	3.09693	6.33132e-05	0.00943745	0.741736
2	998.508	1.65152e-05	6.79428e-05	7.66984	5.46376	8.09759e-05	0.022728	1.47463
3	997.761	1.65264e-05	5.76161e-05	5.86082	7.27278	9.13026e-05	0.0447496	2.19879
4	997.015	1.65372e-05	5.04037e-05	4.47849	8.65511	9.8515e-05	0.0753981	2.91433
5	996.269	1.65476e-05	4.49009e-05	3.42237	9.71122	0.000104018	0.114571	3.62134
6	995.523	1.65573e-05	4.0478e-05	2.61554	10.5181	0.000108441	0.162165	4.31993
7	994.777	1.65663e-05	3.68016e-05	1.99914	11.1345	0.000112117	0.218081	5.0102
8	994.031	1.65742e-05	3.36749e-05	1.52821	11.6054	0.000115244	0.282219	5.69225
9	993.284	1.65807e-05	3.09723e-05	1.16839	11.9652	0.000117946	0.354481	6.36617
10	992.538	1.65855e-05	2.86086e-05	0.89344	12.2402	0.00012031	0.43477	7.03207
11	991.792	1.65879e-05	2.65233e-05	0.683308	12.4503	0.000122395	0.522991	7.69003
12	991.046	1.65871e-05	2.46716e-05	0.522691	12.6109	0.000124247	0.619048	8.34016
13	990.3	1.65824e-05	2.30191e-05	0.399903	12.7337	0.0001259	0.722848	8.98254
14	989.553	1.65725e-05	2.15388e-05	0.306017	12.8276	0.00012738	0.834299	9.61727
15	988.807	1.65558e-05	2.0209e-05	0.234217	12.8994	0.00012871	0.953309	10.2444
16	988.061	1.65302e-05	1.90117e-05	0.179299	12.9543	0.000129907	1.07979	10.8642
17	987.315	1.64933e-05	1.79318e-05	0.137284	12.9963	0.000130987	1.21365	11.4765
18	986.569	1.64416e-05	1.69566e-05	0.105135	13.0285	0.000131962	1.3548	12.0815
19	985.822	1.63711e-05	1.60748e-05	0.0805311	13.0531	0.000132844	1.50315	12.6793
20	985.076	1.62764e-05	1.5277e-05	0.0616971	13.0719	0.000133642	1.65863	13.27
21	984.33	1.61511e-05	1.45547e-05	0.0472775	13.0863	0.000134364	1.82114	13.8537
22	983.584	1.59872e-05	1.39003e-05	0.0362352	13.0974	0.000135018	1.9906	14.4304
23	982.838	1.57753e-05	1.33073e-05	0.0277777	13.1058	0.000135611	2.16692	15.0003
24	982.092	1.55042e-05	1.27698e-05	0.0212985	13.1123	0.000136149	2.35003	15.5634
25	981.345	1.51618e-05	1.22823e-05	0.016334	13.1173	0.000136636	2.53985	16.1197
26	980.599	1.47351e-05	1.18402e-05	0.0125294	13.1211	0.000137078	2.73629	16.6695
27	979.853	1.42117e-05	1.14392e-05	0.00961303	13.124	0.000137479	2.93927	17.2127
28	979.107	1.35814e-05	1.10755e-05	0.00737719	13.1262	0.000137843	3.14873	17.7494
29	978.361	1.28385e-05	1.07454e-05	0.00566275	13.1279	0.000138173	3.36457	18.2798
30	977.614	1.19839e-05	1.04459e-05	0.00434787	13.1293	0.000138473	3.58673	18.8038
31	976.868	1.1028e-05	1.01742e-05	0.00333924	13.1303	0.000138745	3.81512	19.3216
32	976.122	9.99097e-06	9.92755e-06	0.00256537	13.131	0.000138991	4.04968	19.8332
33	975.376	8.90249e-06	9.70375e-06	0.0019715	13.1316	0.000139215	4.29033	20.3387
34	974.63	7.79855e-06	9.50064e-06	0.00151565	13.1321	0.000139418	4.537	20.8382
35	973.884	6.71699e-06	9.3163e-06	0.00116564	13.1324	0.000139602	4.78961	21.3318
36	973.137	5.69248e-06	9.149e-06	0.000896804	13.1327	0.00013977	5.0481	21.8195
37	972.391	4.75231e-06	8.99715e-06	0.000690246	13.1329	0.000139922	5.3124	22.3014
38	971.645	3.9142e-06	8.85933e-06	0.00053147	13.1331	0.000140059	5.58243	22.7775
39	970.899	3.18606e-06	8.73424e-06	0.000409372	13.1332	0.000140184	5.85813	23.248
40	970.153	2.56736e-06	8.62071e-06	0.000315439	13.1333	0.000140298	6.13943	23.7129
41	969.406	2.05146e-06	8.51766e-06	0.000243142	13.1334	0.000140401	6.42626	24.1723
42	968.66	1.62794e-06	8.42412e-06	0.000187476	13.1334	0.000140495	6.71857	24.6261
43	967.914	1.28467e-06	8.33922e-06	0.000144598	13.1335	0.000140579	7.01627	25.0746
44	967.168	1.00928e-06	8.26216e-06	0.000111559	13.1335	0.000140657	7.31931	25.5178
45	966.422	7.90155e-07	8.19222e-06	8.60915e-05	13.1335	0.000140726	7.62762	25.9556
46	965.676	6.16917e-07	8.12873e-06	6.64552e-05	13.1335	0.00014079	7.94115	26.3883
47	964.929	4.80647e-07	8.0711e-06	5.13102e-05	13.1336	0.000140848	8.25983	26.8158
48	964.183	3.73879e-07	8.0188e-06	3.96262e-05	13.1336	0.0001409	8.58359	27.2382
49	963.437	2.90476e-07	7.97132e-06	3.06098e-05	13.1336	0.000140947	8.91238	27.6556
50	962.691	2.25476e-07	7.92823e-06	2.36503e-05	13.1336	0.00014099	9.24614	28.068
51	961.945	1.74908e-07	7.88911e-06	1.82771e-05	13.1336	0.00014103	9.58481	28.4756
52	961.198	1.35619e-07	7.8536e-06	1.41278e-05	13.1336	0.000141065	9.92833	28.8782
53	960.452	1.05123e-07	7.82138e-06	1.09228e-05	13.1336	0.000141097	10.2766	29.2761
54	959.706	8.14687e-08	7.79212e-06	8.44671e-06	13.1336	0.000141127	10.6297	29.6692
55	958.96	6.31308e-08	7.76557e-06	6.53333e-06	13.1336	0.000141153	10.9874	30.0577
56	958.214	4.89193e-08	7.74147e-06	5.05445e-06	13.1336	0.000141177	11.3497	30.4415
57	957.468	3.79081e-08	7.71959e-06	3.91119e-06	13.1336	0.000141199	11.7167	30.8208
58	956.721	2.93776e-08	7.69974e-06	3.02718e-06	13.1336	0.000141219	12.0881	31.1956
59	955.975	2.27692e-08	7.68171e-06	2.34349e-06	13.1336	0.000141237	12.464	31.5659
60	955.229	1.76499e-08	7.66535e-06	1.81463e-06	13.1336	0.000141253	12.8443	31.9317
61	954.483	1.36838e-08	7.6505e-06	1.40545e-06	13.1336	0.000141268	13.2289	32.2933
62	953.737	1.0611e-08	7.63702e-06	1.0888e-06	13.1336	0.000141282	13.6179	32.6505
63	952.99	8.23002e-09	7.62479e-06	8.43707e-07	13.1336	0.000141294	14.011	33.0035
64	952.244	6.38481e-09	7.61368e-06	6.53962e-07	13.1336	0.000141305	14.4084	33.3523
65	951.498	4.95463e-09	7.6036e-06	5.07036e-07	13.1336	0.000141315	14.81	33.6969
66	950.752	3.84594e-09	7.59445e-06	3.93244e-07	13.1336	0.000141324	15.2156	34.0375
67	950.006	2.98634e-09	7.58615e-06	3.05096e-07	13.1336	0.000141333	15.6253	34.3739
68	949.26	2.31974e-09	7.57861e-06	2.36798e-07	13.1336	0.00014134	16.039	34.7064
69	948.513	1.80272e-09	7.57177e-06	1.83871e-07	13.1336	0.000141347	16.4567	35.0349
70	947.767	1.40164e-09	7.56556e-06	1.42847e-07	13.1336	0.000141353	16.8783	35.3596
71	947.021	1.09044e-09	7.55992e-06	1.11042e-07	13.1336	0.000141359	17.3037	35.6803
72	946.275	8.48931e-10	7.5548e-06	8.63794e-08	13.1336	0.000141364	17.733	35.9972
73	945.529	6.61475e-10	7.55016e-06	6.7252e-08	13.1336	0.000141369	18.166	36.3104
74	944.782	5.15945e-10	7.54594e-06	5.24143e-08	13.1336	0.000141373	18.6027	36.6198
75	944.036	4.02942e-10	7.54211e-06	4.0902e-08	13.1336	0.000141377	19.0431	36.9256
