(dephosphorylation_of_MAPK-PP).V9	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.0005	47.3477	0.117239	0.19212	0.1	38.8853	0.151642	0.100493	0.100475	3.06526	21.6069	0.1	74.0432	1.31745	5.49024	1.10955	14.4255	100.0	1.53011	31.9983	2.0344	1.12036	4391.73
50.0005	96.9509	0.159816	0.176186	0.332554	31.1139	0.140078	0.105439	0.145238	4.21349	42.6702	14.5137	89.7531	0.85075	1.35057	3.93579	26.5978	0.1	1.88495	15.8273	2.1787	0.504222	7867.03
100.0	98.0388	0.244235	0.340215	0.60363	34.1123	0.143022	0.1	0.100001	9.80137	65.2635	16.7779	79.0881	0.745424	5.22129	7.23835	94.7541	0.1	1.41403	41.8562	1.96721	0.668743	7338.32
150.0	0.149822	0.100118	0.222173	0.605299	71.7399	0.103264	0.1	0.114944	10.6469	79.2442	0.1	93.5022	0.460072	9.07906	8.48677	75.6178	0.10768	1.3822	78.0031	2.66754	65.0592	10912.5
200.0	94.2678	0.306373	0.249068	1.20935	100.0	0.1	0.1	0.1	14.1604	95.042	63.8228	100.0	0.619231	6.35267	16.1385	63.1082	4.94864	0.992381	81.5457	2.92753	25.0538	11092.3
250.0	7.82052	0.130182	0.150311	0.932594	70.0005	0.1	0.100023	0.1	16.8378	100.0	0.1	44.7489	0.480551	14.228	15.4235	60.2081	0.55952	2.08278	88.4474	2.78532	55.9865	12657.0
300.0	44.048	0.135977	0.101037	1.17808	93.944	0.158673	0.1	0.199601	5.00835	100.0	3.3638	94.4339	0.890825	23.5608	12.0337	37.9769	0.30096	2.12619	67.7665	1.75114	5.13676	17038.3
350.0	18.0527	0.296924	0.1	0.822632	75.7425	0.15152	0.1	0.13674	17.7762	100.0	2.5474	82.2818	0.663755	5.6768	5.95849	60.0395	0.1	0.75045	100.0	0.80348	1.71264	31212.6
400.0	2.0518	0.415527	0.1	0.868513	40.182	0.103242	0.1	0.124946	11.5503	99.9998	0.1	97.342	0.385335	16.8536	16.391	97.5245	0.1	1.09535	100.0	1.8358	68.5601	30980.5
450.0	33.0399	0.13065	0.130564	1.12601	66.7302	0.137978	0.1	0.1391	10.281	100.0	9.0267	25.3523	1.08374	16.2821	6.06097	21.814	0.1	1.57121	97.8062	0.158038	20.2043	30392.8
500.0	18.1623	0.290949	0.109778	0.45132	41.9196	0.103085	0.1	0.24012	8.03728	60.4892	0.1	98.6514	0.486341	3.41411	4.06188	18.6999	0.1	2.3359	47.9286	1.96323	40.9728	48762.7
