(dephosphorylation_of_MAPKK-P).KK6	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	100.0	0.101202	0.651126	0.100013	0.1	6.86857	0.105689	0.1	0.1	27.6769	0.100064	99.7991	0.409111	100.0	0.511114	100.0	100.0	1.34978	30.68	1.21877	3.41375	3339.85
1500.01	63.6391	0.122299	1.74393	0.166676	0.101921	8.4045	0.120017	0.1	0.103119	99.9908	0.127787	100.0	0.235566	93.2314	0.436815	52.1131	91.8477	0.473919	47.4511	4.76357	2.76736	12148.3
3000.01	97.3594	0.211791	1.2675	0.201256	0.1	15.5137	0.156334	0.1	0.1	97.1715	0.104364	100.0	0.27783	99.8656	0.191882	76.9935	100.0	0.593223	76.9643	13.0702	6.81023	8925.19
4500.01	69.5181	0.26711	0.891471	0.179931	0.1	3.72698	0.110682	0.1	0.1	99.4278	0.104051	100.0	0.291551	100.0	0.114924	8.94544	99.9987	0.676643	33.7323	22.7159	10.1843	8662.49
6000.01	99.9296	0.164965	1.34854	0.125777	0.1	6.90463	0.1	0.1	0.161152	60.226	0.100065	99.9745	0.242363	100.0	0.732372	67.3479	100.0	1.4225	45.9832	2.66088	1.32295	13728.3
7500.01	98.1914	0.165045	1.49908	0.133784	0.1	7.08991	0.1	0.1	0.152532	65.9114	0.100114	100.0	0.237258	100.0	0.655816	62.8913	100.0	1.3015	45.1829	2.9035	1.3505	13723.7
9000.01	97.3901	0.145562	1.45044	0.14539	0.1	6.71926	0.1	0.1	0.150902	67.6045	0.100453	97.1356	0.241569	100.0	0.483385	45.1452	100.0	1.36041	43.0818	2.9556	1.34152	13770.1
10500.0	90.2003	0.121271	1.70621	0.156343	0.1	7.66855	0.100605	0.1	0.149332	81.0919	0.101817	93.0913	0.238795	100.0	0.345412	28.8672	100.0	1.47133	39.2304	3.44964	1.38224	13891.6
12000.0	97.8048	0.138089	1.18594	0.124524	0.1	6.88743	0.1	0.1	0.147676	58.8046	0.129236	99.313	0.251852	100.0	0.685865	55.5471	100.0	1.32286	42.4015	2.60131	1.39964	14010.7
13500.0	89.7703	0.187025	1.97009	0.185082	0.100133	11.3107	0.1	0.1	0.152704	99.975	0.10573	97.2633	0.245106	99.9987	0.206355	19.4739	91.7325	1.72413	44.7516	4.06509	1.63668	13905.4
15000.0	99.5162	0.139758	1.09596	0.121052	0.1	7.19509	0.106956	0.1	0.158048	54.4826	0.132609	96.5214	0.231182	99.689	0.722247	65.5996	100.0	1.26236	41.223	2.40866	1.13238	14092.6
