(MAPKKK_activation).K1	(phosphorylation of MAPKK).KK3	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.01	100.0	0.714882	0.1	0.1	9.48069	0.112853	0.1	0.1	16.4025	0.100032	100.0	94.1399	0.400474	100.0	0.431411	100.0	100.0	1.3414	29.3035	3.61848	2.98235	3519.9
1000.01	28.0546	0.580975	0.144839	0.1	43.2481	0.1	0.114881	0.104443	11.9419	0.106103	23.0054	11.7691	2.03743	100.0	0.272434	85.53	99.9987	1.67822	33.6242	1.9969	5.64602	6789.64
2000.01	6.09028	1.89241	0.254277	0.202737	33.8747	0.1	0.217592	0.180941	12.289	0.11289	8.92544	0.1	1.46041	99.8989	0.939385	8.80493	93.8611	1.36213	16.458	1.47219	2.02283	19647.9
3000.01	17.1409	2.27552	0.237688	0.237528	41.2616	0.1	0.212435	0.16057	17.9229	0.107772	27.9296	0.1	1.74126	99.5943	1.04967	0.1	94.7315	1.11653	12.4081	1.45357	3.09317	19957.7
4000.01	7.02978	1.02052	0.187548	0.1	29.9409	0.1	0.194324	0.179054	4.8214	0.137627	7.08352	6.15157	1.31196	100.0	0.1	16.4553	100.0	0.819848	35.9647	0.842543	4.30697	13092.6
5000.01	40.0294	1.94465	0.476881	0.171665	32.2528	0.1	0.244878	0.172157	12.2816	0.205732	61.4682	0.117919	0.818183	99.9936	1.27648	1.98155	94.4384	0.69505	32.2554	1.14631	3.80005	21496.4
6000.0	1.37485	1.18172	0.223112	0.158382	22.5263	0.1	0.219339	0.204681	16.9297	0.199325	68.4992	2.30662	1.14829	100.0	0.464136	50.4704	100.0	0.640261	34.0758	1.22077	2.61336	22565.2
7000.0	94.0404	2.22235	0.412207	0.186246	29.0452	0.1	0.299661	0.158463	12.8336	0.385203	44.2803	0.1	0.522896	84.1216	1.02453	0.1	77.8944	0.531932	25.6271	0.721351	5.48279	22281.3
8000.0	46.5022	1.84376	0.307642	0.143528	23.4928	0.1	0.270672	0.169783	7.3606	0.327583	11.1795	0.1	0.768026	50.4293	0.195765	45.4209	99.7158	0.459674	29.161	0.441181	6.63173	22533.7
9000.0	87.9004	1.38347	0.327591	0.108308	24.5562	0.1	0.256511	0.146186	0.170498	0.31779	40.9589	0.1	0.885888	100.0	0.743087	7.04254	87.5239	0.419203	53.7264	0.559194	4.66371	15513.5
10000.0	29.6155	0.822788	0.28304	0.1	40.4319	0.1	0.212276	0.179334	6.76332	0.100122	81.6987	2.44614	1.5783	100.0	0.10001	9.84042	100.0	0.877254	49.3881	1.74489	5.15021	13652.5
