(MAPKKK_activation).Ki	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.009	88.6005	0.105543	0.179947	0.211504	0.12327	6.82441	0.1	0.1	0.1	9.45844	0.103164	91.4842	100.0	1.09894	0.10496	0.38911	77.2698	1.1983	28.6867	3.05344	0.564068	3480.82
900.008	59.421	0.429485	0.784046	0.11604	0.1	23.4681	0.15028	0.135399	0.102258	26.8502	0.100755	11.3498	82.3905	0.968203	1.02423	82.0011	100.0	4.40753	27.4342	8.97098	0.171393	42497.6
1800.01	54.7529	0.316269	1.01877	0.109859	0.115977	19.4745	0.121747	0.118769	0.1	15.4548	0.100951	7.19488	97.1252	0.894004	0.677224	49.5719	99.7722	3.60596	17.9917	7.49672	0.289363	42699.6
2700.01	42.6469	0.285299	0.817171	0.141515	0.1	17.8698	0.124445	0.1111	0.100403	18.809	0.146881	10.9798	89.2792	0.934668	0.574122	78.0243	100.0	3.91967	26.5789	8.20254	0.447712	42688.3
3600.01	62.6951	0.30646	0.862397	0.138139	0.100915	15.8665	0.139961	0.114618	0.100302	16.7876	0.136547	11.4573	92.3178	0.956255	0.518782	80.5112	91.1499	3.76374	32.3293	7.33793	0.172893	42610.7
4500.0	64.4026	0.347114	0.873129	0.149076	0.100001	18.1164	0.154614	0.126961	0.1	18.9647	0.100012	12.0998	80.5781	0.994381	0.594788	100.0	95.5825	4.16164	42.8106	8.17263	0.139375	42553.4
5400.0	55.2291	0.335749	0.793371	0.132282	0.1	14.8653	0.159475	0.119504	0.1	20.012	0.102715	13.4566	84.857	0.985111	0.498521	90.1366	98.0478	4.04346	33.5326	8.35714	0.175679	42544.6
6300.0	69.3446	0.344748	0.732225	0.123941	0.1	20.1297	0.136484	0.127166	0.1	25.1185	0.103798	15.1155	80.6306	0.956406	0.474916	99.9962	100.0	4.29107	33.6542	8.32175	0.142735	42516.4
7200.0	63.5412	0.304337	0.867174	0.167459	0.1	17.6855	0.120442	0.128935	0.1	15.4708	0.137167	8.06272	85.1002	0.873275	0.614101	62.8733	85.7304	3.94858	37.5724	7.79528	0.226681	42680.3
8100.0	68.6931	0.315199	0.851621	0.127299	0.1	18.2954	0.122496	0.125305	0.100061	18.2068	0.118443	17.1187	83.3159	0.973319	0.6087	88.1027	92.4657	4.05307	30.6702	8.53962	0.130366	42602.6
9000.0	59.1547	0.306487	0.834012	0.125414	0.1	15.2338	0.132101	0.120085	0.100211	16.2487	0.117058	12.6285	88.1772	0.951118	0.535201	90.7241	91.58	3.87165	30.4333	8.05854	0.158539	42606.1
