(MAPKKK_activation).n	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	RSS
0.001	60.2133	0.126645	0.564079	0.142435	0.1	5.41811	0.1	0.295074	0.259882	51.7267	0.100903	48.7565	9.4959	0.100343	0.181917	0.1	1.79455	100	1.74571	17.7008	1.94092	17372.1
100.001	100.0	0.102385	0.726252	0.102298	0.1	12.7567	0.1	0.1	0.1	17.0113	0.100154	100.0	94.4002	0.384096	100.0	0.408969	100.0	100	1.34348	30.4862	3.61157	3533.58
200.001	100.0	0.100248	0.729586	0.102944	0.1	12.7097	0.100022	0.1	0.1	16.6875	0.101717	100.0	94.2723	0.384122	100.0	0.401367	100.0	100	1.3414	30.7115	3.60811	3533.53
300.001	100.0	0.100305	0.726892	0.10313	0.1	12.6331	0.100161	0.1	0.1	16.7069	0.100384	100.0	94.9826	0.385136	100.0	0.395579	100.0	100	1.33698	30.8954	3.60696	3533.46
400.001	100.0	0.105962	0.716846	0.102125	0.1	12.697	0.1	0.1	0.1	16.536	0.102471	100.0	94.3554	0.38407	100.0	0.410925	100.0	100	1.3379	30.4374	3.60235	3533.35
500.0	100.0	0.109838	0.722873	0.1	0.1	12.7012	0.1	0.1	0.1	15.9955	0.100263	100.0	94.0355	0.384486	100.0	0.373614	100.0	100	1.33973	29.3411	3.61963	3532.88
600.0	100.0	0.101792	0.726572	0.10329	0.1	12.662	0.1	0.1	0.1	16.6951	0.100096	100.0	94.6882	0.384486	100.0	0.411477	100.0	100	1.3393	30.8335	3.61157	3533.45
700.0	100.0	0.100052	0.726983	0.101952	0.1	12.7242	0.1	0.1	0.1	16.567	0.100058	100.0	94.1763	0.384226	100.0	0.394927	100.0	100	1.34223	30.2515	3.61618	3533.27
800.0	100.0	0.102105	0.727577	0.101728	0.1	12.6644	0.1	0.1	0.1	16.6716	0.100109	100.0	94.4642	0.384876	100.0	0.386427	100.0	100	1.34265	30.2234	3.61687	3533.29
900.0	100.0	0.101635	0.72059	0.103501	0.1	12.6626	0.1	0.1	0.1	16.4698	0.1	100.0	94.637	0.384278	100.0	0.401773	100.0	100	1.33732	30.918	3.60927	3533.28
1000.0	100.0	0.101668	0.727668	0.102432	0.1	12.7676	0.1	0.1	0.1	16.3213	0.1	99.936	93.6643	0.383836	100.0	0.385424	100.0	100	1.34432	30.4299	3.61503	3533.36
