(MAPKKK_inactivation).KK2	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.008	100.0	0.123647	0.669656	0.113816	0.1	0.100009	0.1	0.1	19.1711	0.100131	92.3533	84.7213	0.403562	100.0	0.405579	100.0	100.0	1.45108	34.1712	3.33794	2.31922	3581.66
800.007	12.4587	0.108561	0.775506	0.1	0.1	0.49664	0.124454	0.113989	8.17603	0.105554	28.3661	1.10515	0.381944	0.727017	1.0579	87.3142	98.4333	3.87374	25.5487	4.96279	4.78373	5231.0
1600.01	25.6783	0.100662	0.75777	0.142948	0.1	0.421649	0.183848	0.158276	28.2298	0.170404	6.55616	47.169	0.429189	0.1	0.506465	98.3757	100.0	3.526	38.0886	5.70782	8.24163	9516.72
2400.01	53.7289	0.11045	0.863028	0.114543	0.1	0.649919	0.171703	0.131592	14.2371	0.172778	20.4774	0.524057	0.348445	2.03385	0.866649	94.1621	100.0	5.1912	25.8352	5.32941	9.37984	7899.43
3200.0	41.1775	0.129223	0.81013	0.1	0.1	0.433235	0.19841	0.158627	29.1203	0.224172	4.23952	40.6196	0.415073	0.1	0.653588	98.4781	100.0	3.73349	23.091	5.09044	7.89893	10990.2
4000.0	42.1733	0.164586	0.792466	0.100051	0.1	0.391751	0.197722	0.163457	43.9098	0.236689	3.59808	66.0866	0.371696	0.1	0.371357	100.0	99.9936	2.97002	23.6857	4.45913	6.26082	11640.4
4800.0	44.1944	0.111688	0.793334	0.1113	0.1	0.373136	0.205407	0.19221	45.6622	0.154764	4.63744	79.8422	0.33554	0.1	0.711616	94.4974	100.0	3.16399	26.9675	4.60746	7.8043	11902.7
5600.0	58.0476	0.1001	0.851867	0.120751	0.1	0.409454	0.213848	0.194341	42.759	0.145869	5.51168	82.4443	0.334521	0.10384	0.73305	99.9757	100.0	3.15189	30.4265	4.65576	8.45659	11930.7
6400.0	75.4667	0.100254	0.712891	0.10853	0.1	0.331768	0.202519	0.192079	38.3266	0.179421	3.99232	92.689	0.352625	0.11408	0.540165	99.9514	100.0	2.85222	25.4166	3.83783	6.89926	12189.2
7200.0	64.9018	0.120699	0.913368	0.102718	0.1	0.51403	0.213843	0.134504	37.477	0.253774	0.6056	14.3462	0.399242	0.1	0.299147	99.9923	100.0	4.36814	26.7933	3.961	8.02953	11622.1
8000.0	65.4131	0.118248	0.751395	0.100003	0.1	0.367169	0.211521	0.183553	43.684	0.256605	1.5744	65.1638	0.369918	0.100163	0.14359	99.977	100.0	3.50381	24.3983	4.04026	5.23057	12162.3
