(MAPKKK_inactivation).V2	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.00025	69.4117	0.100124	0.567896	0.102201	0.1	0.171286	0.209853	0.220384	37.7643	0.162529	3.17184	90.8689	0.363481	0.1	0.322918	99.5943	100.0	3.27094	23.8528	3.90202	6.84024	12657.1
25.0002	60.7969	0.114941	0.86532	0.317903	0.1	49.8937	0.326388	0.424191	38.007	0.101146	0.1	59.9041	2.8914	100.0	0.1	1.22253	100.0	0.264852	57.4972	0.201608	1.78191	20496.2
50.0002	85.8563	0.1066	0.331143	0.346405	0.1	61.8097	0.502253	0.440104	72.1565	0.100023	28.6707	26.0368	3.13761	100.0	0.333225	0.601747	100.0	0.139688	63.5873	0.120137	4.58822	20994.8
75.0002	25.6534	0.106302	1.50514	0.207437	0.1	70.7115	0.491734	0.452014	51.6011	0.100001	18.139	9.6279	3.25443	100.0	0.1	2.07627	99.9808	0.129703	37.3551	0.117925	3.51136	21366.5
100.0	0.10128	0.100039	0.811454	0.118963	0.166459	34.5039	0.368688	0.13666	32.8489	0.207226	99.9027	68.1557	1.46183	54.9979	0.207671	0.112677	34.2261	0.158918	0.926976	0.403487	4.23413	88915.4
125.0	99.1015	0.131936	0.665668	0.218182	0.1	82.5864	0.768147	0.546395	94.3063	0.100267	83.8707	17.9578	4.00942	99.6775	0.1	0.281755	100.0	0.162374	34.2982	0.231376	2.77478	21520.4
150.0	45.6459	0.107356	0.600732	0.245904	0.1	88.6152	0.720145	0.589361	86.8658	0.100574	39.0822	10.1156	4.00104	100.0	0.100005	0.690065	100.0	0.148039	43.384	0.147371	3.66948	21285.8
175.0	72.7513	0.115816	0.811338	0.196351	0.1	85.5479	0.723517	0.60169	93.5826	0.501288	92.8806	23.6945	5.7896	100.0	1.13287	0.450711	100.0	0.295705	31.0386	0.505556	1.86222	21684.5
200.0	0.1	0.100771	1.85538	0.179457	0.218487	48.3109	0.491411	0.139727	65.6387	0.502706	100.0	68.9831	2.40209	100.0	0.67242	5.49878	0.1576	0.134332	2.10099	0.428186	9.31166	65608.4
225.0	32.7253	0.124726	0.830819	0.169692	0.1	99.4633	0.811088	0.681128	89.8141	0.100179	43.9885	7.84494	4.44191	100.0	0.158108	0.590227	100.0	0.121552	28.1657	0.128386	4.45519	21531.7
250.0	74.2041	0.10458	2.81401	0.3767	0.100028	96.8159	0.881851	0.731594	75.6154	0.102759	56.3136	19.1571	5.28384	100.0	0.1	0.1	37.8728	0.101517	63.6684	0.116543	22.3446	24075.8
