(phosphorylation_of_MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	0.134857	0.800138	0.116661	0.1	13.8102	0.121791	0.1	0.133786	7.33881	0.100545	100	62.856	0.384595	100.0	0.10008	99.959	100	2.14993	48.7468	7.40424	2.50288	5580.46
1500.01	0.193343	0.227219	0.243705	0.1	6.61055	0.106751	0.339029	0.1	53.5567	0.101371	100	100.0	1.27763	0.1	0.115797	4.90487	100	1.30056	41.04	1.62688	3.87083	3151.92
3000.01	0.341438	0.28135	0.252423	0.1	7.60446	0.114103	0.553341	0.1	58.42	0.106764	100	100.0	1.18444	0.1	0.108209	4.34681	100	1.33757	42.0717	1.52048	6.61867	3278.32
4500.01	0.1	0.280838	0.283713	0.1	15.0188	0.140256	0.751589	0.1	64.9651	0.180849	100	100.0	1.01325	0.802698	0.100953	6.07732	100	1.40511	48.3976	1.47301	14.9094	3475.86
6000.01	0.1	0.676615	0.162961	0.1	27.4787	0.180684	0.917281	0.1	73.483	0.119461	100	100.0	0.806428	1.67419	0.1	7.6184	100	1.42374	27.8063	1.38242	8.68235	3799.04
7500.01	0.462981	0.272637	0.354632	0.1	3.74138	0.102848	1.34212	0.1	67.4254	0.100856	100	100.0	1.15575	0.158251	0.102833	5.54614	100	1.40621	62.449	1.50716	1.20792	3327.86
9000.01	0.100567	0.802522	0.258459	0.1	19.8255	0.164395	1.54207	0.1	82.1706	0.108024	100	100.0	0.50121	100.0	0.122873	42.6511	100	1.49278	68.297	1.46767	7.54292	3591.29
10500.0	0.989707	0.865895	0.191816	0.1	56.8673	0.255145	1.82291	0.1	43.4331	0.100218	100	100.0	0.51556	100.0	0.1	89.6515	100	1.28948	73.8614	1.57435	10.7267	3681.47
12000.0	0.1	0.432774	0.388435	0.1	36.2767	0.208538	1.41006	0.1	85.0948	0.100051	100	100.0	1.09202	0.304793	0.104002	7.41745	100	1.50989	68.981	1.22161	9.44577	3963.31
13500.0	0.1	0.171672	0.523367	0.1	47.4041	0.209201	2.59444	0.1	25.4811	0.394655	100	100.0	2.43939	0.1	0.107532	7.87525	100	1.15931	96.5834	1.66095	27.3503	3289.71
15000.0	0.831972	0.220625	0.237908	0.1	70.6092	0.30219	1.45747	0.1	90.2741	0.300834	100	100.0	2.78365	0.130719	0.100045	9.395	100	1.49965	37.3129	1.06175	25.5416	4685.59
