(phosphorylation_of_MAPKK).k3	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
2.5e-05	0.1	0.177712	0.1	0.22872	0.182931	7.22282	0.179975	0.101651	8.72441	0.161263	100.0	79.7846	0.893037	97.65	0.172596	2.97852	0.1	2.45342	0.118772	0.1	9.17125	48690.4
2.50002	98.5715	0.121069	0.670551	0.10002	0.1	11.9943	0.288014	0.124754	37.8511	0.100014	0.1	100.0	1.06096	15.2744	0.1	34.0778	100.0	1.62893	85.7514	20.0831	0.677065	10529.6
5.00002	88.2498	0.101049	2.10231	0.111876	0.145208	39.6147	0.285211	0.1	94.0794	0.100545	0.1	100.0	0.949829	42.91	0.1	22.5607	71.337	1.25394	53.7702	22.6656	1.79978	13002.4
7.50002	63.1803	0.140596	2.17239	0.176352	0.106305	28.0952	0.296266	0.11492	63.9752	0.100012	0.1	100.0	0.945139	4.64689	0.827773	1.88411	97.6115	1.35074	40.1408	15.8001	0.527802	17942.3
10.0	93.1445	0.235391	1.17261	0.171423	0.10255	34.6841	0.301261	0.1	92.501	0.132271	0.1	100.0	0.980676	69.537	0.100095	16.957	98.089	1.26026	65.4537	38.1153	2.40725	12756.5
12.5	43.6158	0.408232	1.54145	0.246868	0.100086	27.7619	0.267033	0.1	99.9994	0.101416	0.1	100.0	1.20408	0.489584	0.129195	3.78742	99.872	0.927304	63.5697	46.5882	0.557998	15908.8
15.0	98.816	0.328749	2.71606	0.250666	0.122697	32.0381	0.41161	0.1	99.4905	0.113825	0.1	100.0	1.1363	5.25871	1.04045	4.4466	95.0451	1.31596	66.0191	24.8628	0.493445	17645.9
17.5	97.5245	0.387039	3.34576	0.259375	0.162711	35.247	0.389436	0.101015	99.9528	0.167	0.1	100.0	1.12224	2.68087	0.505427	1.5398	98.4064	1.39624	59.8843	26.5021	0.444658	17732.7
20.0	98.0634	0.348677	3.32882	0.277224	0.159314	32.3151	0.419929	0.100012	99.9859	0.137023	0.1	100.0	1.13141	4.40882	0.739966	1.90459	99.497	1.36487	65.5262	24.6634	0.456415	17884.3
22.5	96.6733	0.2968	2.75001	0.251142	0.132215	31.8926	0.391756	0.1	100.0	0.148738	0.1	100.0	1.21765	1.76698	1.15595	3.02712	99.9066	1.39051	62.404	24.826	0.407476	17944.6
25.0	98.1709	0.239504	3.34833	0.252632	0.151782	35.8755	0.37973	0.104616	99.9965	0.107615	0.1	100.0	1.07043	4.25266	1.03476	2.88377	95.2858	1.47518	62.2756	23.4564	0.488597	18042.3
