(phosphorylation_of_MAPKK-P).KK4	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	22.3165	0.119481	0.635444	0.21564	0.1	31.2409	0.100611	0.141429	0.1	29.2467	0.281792	98.5382	0.27383	81.7094	0.31813	99.8413	100.0	4.19267	69.45	9.4522	1.78375	5211.8
1500.01	74.1125	0.118896	0.990094	0.1	0.1	21.3849	0.230126	0.1	0.51903	47.374	0.103786	94.5779	0.523613	99.6487	0.999209	58.9195	100.0	0.866081	24.1528	3.72617	1.95442	5207.81
3000.01	94.6446	0.141843	0.88375	0.103497	0.1	35.6344	0.162487	0.1	0.744686	94.4251	0.102875	100.0	0.544239	42.359	0.13685	83.1544	100.0	0.905307	28.7914	4.37301	8.92965	6408.65
4500.01	62.6068	0.46909	3.28557	0.303622	0.201299	33.1347	0.474618	0.100105	1.02793	83.0438	0.410762	100.0	0.721055	99.9795	2.21663	19.942	85.4746	0.733771	53.2676	6.70192	1.07473	7597.35
6000.01	91.6809	0.104416	0.27296	0.271268	0.214982	18.2236	0.100727	0.1	0.193695	46.7237	0.263937	85.9328	0.584221	90.8701	0.135345	0.234274	24.7489	0.1	2.31275	8.83324	2.70028	27909.9
7500.01	99.8259	0.178764	0.20576	0.256899	0.246707	13.8653	0.100097	0.10471	0.108397	26.4868	0.253108	96.0051	0.367068	99.9782	0.133415	80.4843	9.97138	0.141799	1.93805	5.62903	1.3883	36661.4
9000.01	94.4052	0.189033	1.08756	0.120772	0.161372	31.5437	0.167315	0.157158	0.719757	99.1028	0.211188	99.6186	0.789358	2.41464	0.338393	66.3164	82.4192	0.204045	10.7086	12.8126	0.705886	16716.3
10500.0	0.1	0.140025	0.353576	0.239599	0.194514	29.1564	0.10428	0.100353	0.35899	59.6673	0.164247	87.5162	0.677033	40.0416	0.124458	0.1	49.1521	0.1	2.13403	13.4637	1.78913	25973.9
12000.0	0.1	1.55949	0.973667	0.104022	0.1	94.1773	0.171117	0.1	4.05747	76.3177	0.279178	90.1069	0.786805	0.353909	1.59162	80.0005	98.7955	1.03022	23.6442	11.888	33.3732	8440.65
13500.0	94.8737	0.153009	0.684573	0.123666	0.161423	42.5718	0.141673	0.112127	1.04354	98.3189	0.206198	100.0	0.837639	3.48981	0.389969	97.9188	90.1361	0.177775	12.4998	9.712	11.3551	16350.1
15000.0	99.8042	0.150654	0.478059	0.101566	0.135396	31.4729	0.139389	0.115355	0.869684	99.9859	0.248625	100.0	0.743085	22.8825	0.377302	53.0548	59.6172	0.1	4.15369	10.9194	7.21603	18757.8
