(dephosphorylation_of_MAPK-P).V10	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.0005	35.7042	0.102817	0.100009	0.1	0.122641	11.5956	0.100003	0.1	0.1	0.1	0.214727	81.8537	45.6446	0.434389	100.0	0.232775	9.79272	47.3971	1.91421	5.83473	2.46849	8564.3
50.0005	100.0	0.100107	0.71459	0.14638	0.1	13.3231	0.11238	0.1	0.1	17.905	0.10016	100.0	95.947	0.393319	100.0	0.652761	100.0	100.0	1.33323	3.59864	3.66889	3532.24
100.0	100.0	0.116505	0.680802	0.253362	0.1	13.7109	0.111258	0.1	0.1	19.284	0.101613	93.6822	96.4077	0.390556	100.0	0.100686	100.0	100.0	1.33264	3.40447	3.96583	3547.15
150.0	100.0	0.123172	0.676215	0.360011	0.1	13.9338	0.11156	0.1	0.1	20.2853	0.100096	73.2709	95.3614	0.3893	100.0	0.100064	100.0	100.0	1.34633	2.93658	3.95679	3556.56
200.0	100.0	0.100001	0.631209	0.449479	0.1	6.64449	0.129943	0.1	0.1	30.054	0.100293	0.1	100.0	0.429913	100.0	0.101861	100.0	100.0	1.35072	1.20522	2.40534	3373.51
250.0	99.9757	0.101879	0.667141	0.538038	0.1	7.99918	0.12193	0.1	0.1	30.073	0.146412	0.1	100.0	0.421369	100.0	0.101238	100.0	100.0	1.34276	1.19045	2.86559	3382.07
300.0	100.0	0.17705	0.532089	0.64969	0.1	10.2609	0.106625	0.1	0.1	30.0821	0.105799	0.1	99.7036	0.404044	100.0	0.100641	100.0	100.0	1.36693	1.21953	4.5609	3385.05
350.0	37.1329	0.104764	0.335065	0.50181	0.1	16.6837	0.129663	0.1	0.1	32.4922	0.24864	0.1	70.282	0.41301	99.392	0.100956	100.0	100.0	1.67701	1.67078	3.23838	4351.21
400.0	78.45	0.126035	0.688922	0.788929	0.100019	9.80891	0.125625	0.1	0.100223	33.211	0.238687	0.1	93.1013	0.406982	99.3549	0.129469	100.0	99.9667	1.39918	1.27673	2.692	3577.19
450.0	99.9987	0.221846	0.639992	0.888419	0.1	5.47052	0.142962	0.1	0.1	40.058	0.307541	0.1	91.4924	0.450951	99.9987	0.100008	100.0	100.0	1.48897	1.19938	2.04854	3432.82
500.0	83.7517	0.138682	0.717396	0.911026	0.1	9.11303	0.165847	0.1	0.100003	34.7646	0.270939	0.1	99.9938	0.468919	99.9974	0.122089	100.0	100.0	1.4078	1.30499	1.96174	3585.48
