(dephosphorylation_of_MAPK-PP).KK9	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	100.0	0.114636	0.693063	0.100586	0.1	9.18956	0.109316	0.1	0.1	16.4499	100.0	93.8425	0.398448	100	0.102692	100.0	100	1.34421	29.783	3.60662	3.1395	3515.33
1500.01	100.0	0.105615	2.43973	0.270377	0.1	13.8749	0.107072	0.1	0.1	13.2382	99.9872	96.4015	0.391913	100	0.107038	25.8566	100	1.30215	56.0955	3.69072	4.22798	3791.44
3000.01	99.9552	0.100448	2.45871	0.236533	0.1	12.9974	0.104284	0.1	0.1	17.4083	99.2646	95.2197	0.39032	100	0.101224	18.7437	100	1.3482	44.2613	3.63853	4.37712	3821.85
4500.01	100.0	0.106112	2.26178	0.264865	0.1	13.3636	0.115677	0.1	0.1	19.833	93.374	99.9813	0.401261	100	0.103619	12.7879	100	1.32379	47.0048	3.4258	3.55226	3841.42
6000.01	100.0	0.139343	2.28665	0.264545	0.1	13.5734	0.115886	0.1	0.1	19.0612	95.6888	98.3316	0.399699	100	0.102558	12.5511	100	1.32031	46.9811	3.44481	3.60323	3851.16
7500.01	100.0	0.278633	4.91402	0.488534	0.1	17.9384	0.116316	0.1	0.1	17.2554	99.9808	96.5616	0.393018	100	0.100827	16.9095	100	1.32453	99.9967	3.60867	4.77527	3814.72
9000.01	100.0	0.164541	4.40667	0.501728	0.1	11.5295	0.123158	0.1	0.1	21.2703	98.5881	97.7775	0.40977	100	0.10831	13.968	100	1.33499	100.0	3.48437	2.87635	3830.54
10500.0	100.0	0.142033	1.9324	0.24551	0.1	11.6675	0.10693	0.1	0.1	12.7509	98.6111	92.8488	0.395539	100	0.101226	16.4154	100	1.33663	44.0374	3.65804	3.81108	3884.63
12000.0	100.0	0.100331	2.21	0.274863	0.1	15.5577	0.125952	0.1	0.1	21.0287	85.8182	94.6083	0.403782	100	0.102046	9.79784	100	1.37013	47.724	3.24047	3.2578	3880.02
13500.0	100.0	0.167941	2.10017	0.269415	0.1	13.0698	0.118191	0.1	0.1	17.683	94.4905	94.9844	0.401703	100	0.104618	11.3236	100	1.33474	47.1234	3.43036	3.35725	3881.61
15000.0	100.0	0.139818	2.21435	0.281895	0.1	16.0255	0.117888	0.1	0.1	21.7323	88.4643	95.2372	0.394284	100	0.107061	10.1076	100	1.36403	49.1155	3.269	3.98891	3885.31
