(dephosphorylation_of_MAPKK-PP).V5	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.00075	38.4628	0.131464	1.23533	0.157449	0.1	20.0254	0.165086	0.11706	0.1	0.930644	0.199061	2.33656	100.0	0.91456	0.110078	0.180369	98.5664	100.0	52.4932	6.45213	2.16351	28115.7
75.0007	60.5838	0.217995	0.376046	0.191444	0.221621	20.2199	0.28413	0.160771	0.315144	58.2886	0.240657	95.7118	5.218	0.268316	100.0	0.158941	93.6052	6.87872	3.24008	5.51734	7.70235	62462.8
150.001	78.0762	0.18138	0.110018	0.177872	0.2623	12.844	0.247533	0.131409	0.187974	39.422	0.261921	84.4499	0.330372	0.157448	100.0	0.157413	99.0374	1.51696	0.458352	4.29526	6.85626	71050.0
225.001	0.1	0.221377	0.135196	0.1	0.239925	19.8156	0.337292	0.114074	0.100416	10.648	0.221829	100.0	0.1	0.185724	99.9949	0.204864	84.7297	0.1	0.101317	6.86213	8.02484	85435.7
300.0	0.1	0.287519	0.127185	0.107893	0.263262	23.0357	0.374309	0.152817	0.108941	6.75795	0.225985	100.0	0.1	0.188281	92.9307	0.185165	79.428	0.1	0.1	8.9565	8.77503	85314.0
375.0	14.0034	0.238894	0.349586	0.1	0.531679	44.5957	0.475203	0.166234	0.303236	58.3643	0.366507	100.0	0.134867	0.181434	100.0	0.258924	100.0	3.15664	0.1	10.4318	17.4451	68535.4
450.0	76.2842	0.5094	0.604195	0.136433	0.798462	32.8576	0.809793	0.246496	0.36851	53.3826	0.538433	93.6426	3.46468	0.350602	100.0	0.486169	99.9693	0.1	0.1	10.5368	26.6552	66754.6
525.0	0.1	0.822475	1.31962	0.1	1.16796	11.1622	1.18488	0.125561	0.481561	85.7725	0.1	100.0	26.5144	0.835514	100.0	0.797161	57.7424	0.16528	0.1	8.3535	46.0408	65035.8
600.0	15.9003	0.513482	0.993984	0.1	0.777898	32.0002	0.923435	0.1	0.422284	86.3044	0.127603	99.8427	1.91807	0.430662	100.0	0.432556	97.1162	0.1	0.273199	6.42109	32.8903	65756.8
675.0	5.26479	0.239514	0.180891	0.159754	0.529672	34.5039	0.593678	0.129116	0.299691	61.3293	0.362627	100.0	0.1	0.260666	100.0	0.203366	100.0	2.69584	0.1	8.54052	19.8529	68625.4
750.0	99.1475	0.691217	0.197468	0.204634	0.708	31.8305	0.979521	0.213728	0.398385	24.8443	0.6156	99.9795	1.40627	0.580028	100.0	0.338466	100.0	2.1352	0.1	16.6727	22.5529	68570.1
