(phosphorylation_of_MAPK).KK7	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	100.0	0.119424	0.722519	0.100953	0.1	8.67457	0.111977	0.1	0.1	16.5228	0.100762	100.0	92.6968	0.401457	100.0	100.0	100	1.35283	30.0991	3.60252	2.93178	3520.28
1500.01	99.0246	0.100004	0.719022	0.440717	0.1	10.9786	0.1	0.1	0.1	0.353176	0.102164	98.5318	82.7271	0.363034	100.0	52.1322	100	1.34303	0.351008	4.33761	2.9107	4254.25
3000.01	93.2608	0.10287	0.833529	0.526639	0.1	13.7292	0.106481	0.1	0.1	0.746923	0.113922	88.8032	70.4852	0.345041	99.9987	71.8953	100	1.44352	0.103293	4.0107	2.73245	4636.57
4500.01	91.616	0.104884	0.859142	0.523541	0.1	11.5117	0.11136	0.1	0.1	15.6711	0.10011	0.1	100.0	0.387507	100.0	89.2135	100	1.26913	0.856677	1.34036	3.35268	4995.57
6000.01	91.6096	0.102098	0.940733	0.856471	0.1	22.7484	0.115864	0.1	0.1	1.06211	0.100782	98.519	93.1586	0.355836	100.0	97.6589	100	1.23156	0.194173	4.2706	4.00766	4825.38
7500.01	99.4432	0.118539	0.95184	0.540142	0.1	10.8428	0.164343	0.1	0.100315	29.3049	0.150987	0.1	100.0	0.446741	93.1201	99.991	100	1.31891	0.665038	1.21853	1.91948	5608.39
9000.01	94.9043	0.106821	0.819612	1.14028	0.1	20.0775	0.145294	0.1	0.1	0.569631	0.357353	100.0	78.1495	0.378264	99.4803	94.1632	100	1.40084	0.1	4.68817	2.28114	5096.75
10500.0	95.9578	0.106556	0.762046	0.878762	0.1	18.938	0.119825	0.1	0.1	20.1113	0.319514	0.1	100.0	0.3871	100.0	54.9949	100	1.28045	0.391739	1.28334	4.99303	5397.1
12000.0	67.9245	0.1	0.821004	0.854808	0.1	12.8992	0.16303	0.1	0.1	16.0151	0.295722	92.7857	88.063	0.428863	100.0	99.9987	100	1.41738	0.666355	4.17953	1.95008	6075.49
13500.0	83.8439	0.177794	0.734018	0.869594	0.1	8.95879	0.181935	0.1	0.100012	35.7981	0.294799	0.1	99.8468	0.481914	100.0	99.9987	100	1.43388	0.424008	1.33772	1.75141	5811.2
15000.0	77.8612	0.120673	0.626566	0.571691	0.1	19.6197	0.198179	0.1	0.1	38.5841	0.153877	0.1	100.0	0.466683	85.7897	100.0	100	1.36842	0.1	1.26871	1.99857	6905.85
