(phosphorylation_of_MAPK-P).KK8	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	99.4803	0.100668	2.53171	0.142206	0.1	0.214366	0.100283	0.1	0.1	6.10718	0.103815	98.5817	66.2125	0.513219	100.0	0.125218	98.6765	1.55403	18.4757	4.07	2.1754	8016.32
1500.01	98.9811	0.172985	0.1	0.1	0.48915	12.2259	0.146911	0.1	0.1	56.0126	0.453392	0.1	100.0	0.439628	100.0	0.202984	100.0	1.48217	37.2457	1.11998	2.74506	3351.44
3000.01	73.1495	0.100019	0.1	0.39197	0.367101	26.7389	0.101011	0.1	0.153292	29.297	0.283226	79.2152	99.2516	0.992375	5.23767	0.155998	0.10128	2.28769	10.1555	4.04138	9.90068	3925.34
4500.01	48.9294	0.137391	0.1	0.431387	0.493019	24.1892	0.10145	0.1	0.194986	56.2129	0.348407	64.0142	100.0	1.20969	4.07161	0.323691	1.65647	2.72498	12.3064	3.30943	9.9959	4512.03
6000.01	98.6138	0.105221	0.161151	0.448604	0.679069	24.4294	0.111274	0.1	0.16062	8.86387	0.1002	99.9642	100.0	1.74113	0.10128	0.56926	0.10128	1.91205	7.25395	3.82778	10.2444	3633.84
7500.01	97.2544	0.134377	0.140101	0.6217	0.880552	19.4788	0.125484	0.1	0.1	66.5666	0.125582	99.8811	93.4114	2.66064	0.146079	0.479522	2.05454	1.6187	12.5935	3.08198	4.64284	2581.09
9000.01	83.8093	0.105532	0.143034	0.337647	0.891917	27.6025	0.11477	0.1	0.287497	19.9601	0.108157	99.9974	100.0	2.34212	0.1	0.623672	3.35357	3.41181	8.53286	4.00664	13.5514	4745.49
10500.0	99.8682	0.287311	0.1	0.164334	1.29762	69.239	0.217832	0.115017	0.310032	71.3794	1.06159	95.7233	100.0	1.45883	5.5719	0.36004	100.0	4.61587	98.7758	3.75626	8.46996	5180.59
12000.0	74.633	0.204209	0.1	0.164405	1.25599	80.8379	0.261062	0.119263	0.302212	91.1554	1.16899	90.6192	100.0	1.59649	5.38502	0.10161	100.0	4.58573	99.9407	3.87719	11.4365	5514.67
13500.0	10.5025	0.101075	0.1303	0.32766	1.30539	16.8709	0.604696	0.71568	0.1	4.18662	1.10107	0.1	85.2836	1.10335	27.2231	0.281132	0.756474	0.324858	92.192	0.269613	28.6165	15963.5
15000.0	16.9717	0.117248	0.1	0.165481	0.719362	29.3412	0.158298	0.131052	0.243175	61.64	0.718044	70.7591	100.0	0.69841	14.7919	0.555498	65.931	2.61768	85.147	3.41035	7.19175	17573.8
