(dephosphorylation_of_MAPK-P).KK10	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	100.0	0.107794	0.1	0.142157	0.115744	14.3066	0.113172	0.1	0.1	21.5131	0.122427	90.5092	94.2793	0.384882	100	0.100638	80.1818	1.35852	14.9049	3.20075	86.0224	4058.41
1500.01	96.6733	0.101894	0.695816	0.1	0.1	25.5484	0.100843	0.1	0.1	2.24764	0.100045	66.0302	85.1971	0.344696	100	0.218263	100.0	1.32311	66.2038	3.4096	5.62266	4269.51
3000.01	69.6768	0.139316	0.67856	0.1	0.1	21.4597	0.1	0.1	0.1	1.36574	0.139979	32.6361	73.7164	0.341831	100	0.220896	100.0	1.46213	68.4702	2.9221	3.33294	4515.04
4500.01	55.0643	0.106636	0.763521	0.1	0.1	20.9908	0.113588	0.1	0.100187	4.15483	0.190421	3.71969	63.9036	0.336882	100	0.232177	100.0	1.5675	71.9427	2.03359	2.50856	4651.73
6000.01	99.8042	0.128926	0.556789	0.1	0.1	19.7078	0.1	0.1	0.104408	1.66852	0.152703	0.1	100.0	0.355892	100	0.205869	100.0	1.24967	61.0679	1.52409	4.06422	4334.44
7500.01	64.9075	0.102795	0.632605	0.1	0.1	21.1854	0.1	0.1	0.1	0.536003	0.114548	90.2212	70.1463	0.344523	100	0.382368	100.0	1.50664	99.9943	5.04302	3.31716	4512.11
9000.01	42.5766	0.120685	0.595986	0.1	0.1	24.7466	0.109079	0.1	0.1	0.545692	0.158607	51.0468	56.4167	0.332282	100	0.278935	100.0	1.66845	83.6022	4.13706	2.83434	4544.3
10500.0	98.8442	0.108188	0.736079	0.1	0.1	27.6358	0.101225	0.1	0.1	0.301853	0.16596	99.6544	79.5512	0.345855	100	0.373826	100.0	1.3843	99.9905	4.5608	5.00411	4570.81
12000.0	74.4077	0.100001	0.635607	0.1	0.1	18.6642	0.1	0.1	0.1	0.27864	0.155458	100.0	75.152	0.352116	100	0.373587	100.0	1.45139	98.6337	5.18222	3.17014	4537.83
13500.0	97.065	0.106235	0.685151	0.1	0.1	20.2425	0.101339	0.1	0.1	0.163382	0.177232	100.0	84.8084	0.366059	100	0.329085	100.0	1.37846	99.8883	4.80228	3.56457	4569.03
15000.0	84.6707	0.107499	0.624619	0.1	0.1	16.4904	0.1	0.1	0.1	0.153491	0.152897	99.0218	76.2494	0.354507	100	0.369619	100.0	1.4246	99.9913	4.85021	3.01417	4551.36
