(dephosphorylation_of_MAPKK-P).V6	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(MAPKKK activation).n	RSS
0.00075	100.0	0.101745	1.56738	0.211438	0.1	83.7603	0.134651	0.1	0.142653	100.0	0.107852	0.10128	84.676	0.192929	100.0	0.103256	52.5379	100.0	1.67107	73.1842	5.25086	13690.4
75.0007	0.676	0.139771	1.38044	0.1538	0.122863	38.4755	0.1	0.486598	0.1	6.46597	0.412434	100.0	100.0	0.463233	8.40064	0.165173	53.6142	72.946	1.42136	29.1634	15.3788	9558.83
150.001	0.1	0.100342	0.56177	0.139533	0.1	38.051	0.104707	0.696417	0.1	0.489696	0.145417	100.0	100.0	0.854692	0.1	0.271028	85.1438	99.9987	1.20794	37.7584	77.6832	11894.0
225.001	0.1	0.101809	0.635609	0.191828	0.100856	42.7626	0.105131	0.955534	0.101505	2.81303	0.13422	100.0	99.1384	0.883628	0.1	0.124012	65.4042	99.1053	1.29071	51.5146	35.3534	12742.2
300.0	0.1	0.119216	0.920791	0.127188	0.1	67.1129	0.142404	1.14215	0.101545	4.61457	0.148568	100.0	97.745	0.834878	0.14736	0.161757	85.6416	99.9987	1.17614	36.3629	1.62259	13940.0
375.0	0.1	0.517405	1.16048	0.116288	0.100038	42.6305	0.21348	0.807098	0.1	24.8722	0.102026	100.0	100.0	0.873634	3.08992	0.13064	99.8516	87.7492	0.674465	34.1575	26.9016	19367.1
450.0	0.29328	0.118167	1.23179	0.105993	0.1	20.1294	0.208897	0.397423	0.1	22.504	0.100001	100.0	40.2598	0.965568	9.85216	0.150064	91.8226	100.0	0.542273	33.5856	64.3924	24145.6
525.0	0.1	0.12492	0.888169	0.126222	0.1	16.1142	0.159034	0.429001	0.108521	23.0725	0.216948	100.0	33.4889	0.92973	0.85248	0.102621	58.9365	100.0	0.527362	27.9428	61.971	24656.8
600.0	0.6952	1.04382	6.66524	0.974813	0.680475	49.0548	0.46957	4.28695	0.125837	0.1	1.22617	100.0	91.5108	0.962536	13.5987	0.476601	24.6517	99.9501	1.73166	1.35542	0.440015	15952.4
675.0	0.1	0.100029	1.24364	0.107771	0.1	22.119	0.209487	0.400147	0.11663	37.9309	0.117548	100.0	30.9884	1.12929	0.95232	0.100083	97.0093	100.0	0.56506	39.3699	64.2236	25306.3
750.0	46.249	0.113865	1.2117	0.178007	0.109984	8.85374	0.209108	0.1	0.109978	12.5559	0.120754	4.08083	0.164978	0.8919	31.8106	0.112429	14.4895	85.4836	0.426551	32.2523	44.1235	27692.3
