(dephosphorylation_of_MAPKK-PP).KK5	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	99.4867	0.11887	0.438509	0.1	0.100055	15.2514	0.109927	0.1	0.108474	0.100042	100.0	100.0	0.390256	93.7818	0.100336	100.0	99.5571	1.19982	25.5403	3.79809	96.4344	4211.29
1500.01	96.4058	0.376402	0.627234	0.417375	0.1	22.1351	0.13369	0.1	0.1	0.174041	0.1	68.4267	0.417121	100.0	0.268354	10.5295	100.0	13.9181	95.4941	1.16985	4.68583	4836.64
3000.01	96.535	0.108939	0.975418	0.184678	0.1	7.34981	0.123019	0.1	0.1	0.100948	0.1	100.0	0.310446	100.0	0.101011	9.66751	100.0	7.91074	35.4655	0.372844	4.68072	6700.99
4500.01	99.4189	0.101024	0.726901	0.292073	0.1	0.1	0.100105	0.1	0.1	0.13408	0.1	100.0	0.345258	100.0	0.123226	10.9927	100.0	15.8295	63.1226	0.487782	2.84096	5262.84
6000.01	40.3238	0.320306	1.14077	0.116294	0.1	2.59345	0.100086	0.1	0.1	0.104091	98.4001	100.0	0.252358	100.0	0.218521	33.54	100.0	9.17865	29.4712	0.698125	11.1229	11036.6
7500.01	87.5738	0.100386	1.35604	0.156691	0.1	0.1	0.100003	0.1	0.1	0.103854	45.7252	100.0	0.26107	100.0	0.120843	57.5416	100.0	10.6544	46.7113	0.38969	3.00205	9526.8
9000.01	71.4035	0.104856	1.37377	0.122158	0.1	0.120143	0.107537	0.1	0.10009	0.110526	30.5322	100.0	0.240876	99.9987	0.111558	57.1999	100.0	8.97126	31.6395	0.234007	3.09282	11918.2
10500.0	78.6701	0.134853	1.34526	0.142148	0.1	11.118	0.16179	0.1	0.11082	0.117201	70.3808	87.8648	0.267701	1.26976	0.102711	21.5241	100.0	5.82432	27.9031	0.19661	29.8241	15110.5
12000.0	98.0288	0.190965	0.818845	0.103272	0.1	25.5365	0.161272	0.1	0.123743	0.192194	99.9488	83.7206	0.156456	4.74752	0.107782	72.4554	100.0	5.05363	21.022	0.147745	35.7037	16968.0
13500.0	74.7827	0.18617	0.909703	0.104868	0.1	22.5254	0.187802	0.1	0.133394	0.117372	97.5015	77.8883	0.163457	7.22176	0.133028	66.2782	100.0	5.445	25.5543	0.17039	90.7478	16865.9
15000.0	89.4682	0.104412	1.35819	0.115491	0.1	7.66152	0.206409	0.1	0.110388	0.10159	95.3448	93.5082	0.245737	99.8502	0.12543	49.72	100.0	6.34864	26.7461	0.181854	65.2579	15298.3
