(phosphorylation_of_MAPK).k7	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
2.5e-05	83.9488	0.23699	0.122158	0.452932	0.1	0.217001	0.422584	0.416378	52.7146	0.333263	1.11116	20.8786	0.209643	100.0	0.135875	98.7792	0.10128	2.73331	0.1	1.48511	99.8796	58713.2
2.50002	99.7734	0.100001	1.27537	0.233902	24.8558	0.1	0.1	0.1	11.5478	0.125274	94.2415	69.1906	0.68708	100.0	0.277626	1.81482	65.8817	1.54976	79.0691	4.0062	4.49273	12225.0
5.00002	99.9309	0.129259	2.38239	0.343652	7.81869	0.100048	0.1	0.1	4.75123	0.103598	99.9962	67.926	0.680522	100.0	0.171026	0.1	77.8663	1.51237	99.9992	4.38721	2.72312	12062.4
7.50002	99.5059	0.100082	1.26925	0.20699	21.2575	0.1	0.1	0.1	5.54794	0.112213	100.0	70.9017	0.71457	100.0	0.177259	0.1	59.1448	1.45391	76.7294	4.29617	3.85967	12263.9
10.0	99.945	0.101709	2.30349	0.326693	7.85638	0.1	0.1	0.1	3.51407	0.106011	100.0	72.1858	0.715665	100.0	0.316378	44.9885	92.3056	1.44001	54.382	4.39013	2.78461	12122.6
12.5	99.9987	0.122324	2.13589	0.358684	4.9081	0.100001	0.1	0.101522	1.06316	0.104508	100.0	58.8834	0.70928	99.9987	0.160634	48.1767	85.856	1.64945	45.1558	4.62145	2.57121	12174.5
15.0	99.0042	0.140452	1.52817	0.218657	17.1653	0.100017	0.1	0.115638	6.14967	0.155043	100.0	85.9826	0.725042	100.0	0.162477	83.578	67.0798	1.53095	50.7035	4.42187	3.38792	12264.1
17.5	99.488	0.128392	1.6351	0.239374	17.7583	0.1	0.1	0.114505	6.16965	0.138074	99.9194	95.3575	0.743358	100.0	0.242841	70.8558	91.8093	1.39106	68.1193	4.22712	3.64489	12227.8
20.0	99.5763	0.101745	1.23048	0.203516	22.8689	0.1	0.1	0.1	5.8372	0.100125	100.0	70.0125	0.727251	100.0	0.175098	28.0846	68.6644	1.4658	50.1718	4.26295	4.02203	12277.7
22.5	99.8656	0.12617	2.14171	0.306461	9.52144	0.10001	0.1	0.1	3.51952	0.166266	100.0	69.6154	0.709576	100.0	0.172479	33.2048	81.7828	1.46944	39.7908	4.46999	2.84585	12153.3
25.0	98.2234	0.104588	0.950429	0.158697	22.1936	0.1	0.1	0.115498	7.06144	0.104748	89.4852	86.9176	0.736515	100.0	0.201482	1.65101	47.012	1.49557	69.6382	3.89061	4.12965	12419.0
