Time	Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P
0	1.03767e-06	1.06378e-06	1e-06	1.25834e-06	1.33306e-06	0.000133173	1.54591e-06	1.52803e-06
100	1.03766e-06	2.4219e-07	1.45331e-07	8.49802e-07	2.56319e-06	0.000134028	1.54592e-06	1.52803e-06
200	1.03765e-06	3.30682e-08	1.45328e-07	2.74524e-07	3.34759e-06	0.000134028	1.54593e-06	1.52803e-06
300	1.03765e-06	3.88544e-09	1.45328e-07	4.89978e-08	3.6023e-06	0.000134028	1.54594e-06	1.52802e-06
400	1.03764e-06	4.46844e-10	1.45328e-07	7.05287e-09	3.64768e-06	0.000134028	1.54595e-06	1.52802e-06
500	1.03763e-06	5.12611e-11	1.45328e-07	1.02245e-09	3.65411e-06	0.000134028	1.54596e-06	1.52802e-06
600	1.03762e-06	5.87931e-12	1.45328e-07	2.08677e-10	3.65497e-06	0.000134028	1.54597e-06	1.52802e-06
700	1.03762e-06	6.74565e-13	1.45328e-07	1.014e-10	3.65508e-06	0.000134028	1.54598e-06	1.52801e-06
800	1.03761e-06	7.76436e-14	1.45328e-07	8.74631e-11	3.65509e-06	0.000134028	1.54599e-06	1.52801e-06
900	1.0376e-06	9.18127e-15	1.45328e-07	8.56731e-11	3.65509e-06	0.000134028	1.546e-06	1.52801e-06
1000	1.03759e-06	1.32912e-15	1.45328e-07	8.54457e-11	3.6551e-06	0.000134028	1.54601e-06	1.52801e-06
