Time	Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P	Mek_tot	Erk_tot	Erk-P_tot	Mos-P_tot	Mek-P_tot	Mos_tot
0	10.0	280.0	90.0	10.0	10.0	10.0	280.0	10.0	300	300	20.0	10.0	20.0	100
20	8.71021	280.012	71.2642	11.8575	8.13013	28.7358	277.411	13.8792	300	300	19.9876	28.7358	22.5894	100
40	12.8015	279.667	51.974	13.1953	7.13743	48.026	267.121	20.0773	300	300	20.3327	48.026	32.8788	100
60	22.4801	276.391	34.1268	15.5743	8.03502	65.8732	249.3	28.2199	300	300	23.6093	65.8732	50.7	100
80	37.5598	267.755	21.0614	20.1063	12.1388	78.9386	225.277	37.1633	300	300	32.245	78.9386	74.7231	100
100	56.6475	251.69	14.2049	27.0276	21.2823	85.7951	197.611	45.7411	300	300	48.31	85.7951	102.389	100
120	77.8717	226.844	11.968	35.6935	37.4625	88.032	168.831	53.2969	300	300	73.1559	88.032	131.169	100
140	99.8292	192.682	12.2676	45.0883	62.2299	87.7324	140.571	59.5997	300	300	107.318	87.7324	159.429	100
160	121.664	149.453	13.9086	54.1386	96.408	86.0914	113.765	64.5708	300	300	150.547	86.0914	186.235	100
180	142.84	98.466	16.3233	61.4076	140.126	83.6767	89.0358	68.1242	300	300	201.534	83.6767	210.964	100
200	162.987	43.9398	19.2241	63.2815	192.779	80.7759	66.9154	70.0978	300	300	256.06	80.7759	233.085	100
220	181.821	5.25348	22.4438	43.3151	251.431	77.5562	47.957	70.222	300	300	294.747	77.5562	252.043	100
240	199.104	0.609174	25.85	5.43809	293.953	74.15	32.756	68.1397	300	300	299.391	74.15	267.244	100
260	214.634	0.138369	29.275	1.52071	298.341	70.725	21.7863	63.5801	300	300	299.862	70.725	278.214	100
280	228.227	0.11353	32.6494	1.38165	298.505	67.3506	14.9825	56.7904	300	300	299.886	67.3506	285.017	100
300	239.708	0.102085	35.9736	1.3055	298.592	64.0264	11.4337	48.8584	300	300	299.898	64.0264	288.566	100
320	248.958	0.094079	39.2497	1.24999	298.656	60.7503	9.82182	41.2201	300	300	299.906	60.7503	290.178	100
340	255.978	0.0885723	42.4788	1.21067	298.701	57.5212	9.14793	34.8739	300	300	299.911	57.5212	290.852	100
360	260.909	0.0849423	45.6611	1.18424	298.731	54.3389	8.90739	30.1833	300	300	299.915	54.3389	291.093	100
380	264.007	0.0827254	48.796	1.16793	298.749	51.204	8.91379	27.0793	300	300	299.917	51.204	291.086	100
400	265.576	0.0815737	51.8823	1.15947	298.759	48.1177	9.12577	25.2979	300	300	299.918	48.1177	290.874	100
420	265.905	0.0812363	54.9179	1.15712	298.762	45.0821	9.55216	24.5424	300	300	299.919	45.0821	290.448	100
440	265.224	0.0815462	57.9003	1.15967	298.759	42.0997	10.2134	24.5629	300	300	299.918	42.0997	289.787	100
460	263.692	0.082404	60.8262	1.16634	298.751	39.1738	11.1321	25.1759	300	300	299.918	39.1738	288.868	100
480	261.412	0.083763	63.6914	1.17676	298.739	36.3086	12.3343	26.2539	300	300	299.916	36.3086	287.666	100
500	258.44	0.085617	66.4912	1.19081	298.724	33.5088	13.852	27.7083	300	300	299.914	33.5088	286.148	100
520	254.802	0.0879912	69.2197	1.20857	298.703	30.7803	15.7242	29.4736	300	300	299.912	30.7803	284.276	100
540	250.507	0.0909385	71.8702	1.23032	298.679	28.1298	17.997	31.4964	300	300	299.909	28.1298	282.003	100
560	245.55	0.0945374	74.4348	1.25646	298.649	25.5652	20.7212	33.7285	300	300	299.905	25.5652	279.279	100
580	239.927	0.0988934	76.9046	1.28754	298.614	23.0954	23.9499	36.1228	300	300	299.901	23.0954	276.05	100
600	233.634	0.104142	79.2694	1.32422	298.572	20.7306	27.7341	38.6321	300	300	299.896	20.7306	272.266	100
620	226.672	0.110457	81.5178	1.36732	298.522	18.4822	32.119	41.2094	300	300	299.89	18.4822	267.881	100
640	219.051	0.118055	83.6374	1.41783	298.464	16.3626	37.1394	43.8098	300	300	299.882	16.3626	262.861	100
660	210.792	0.127212	85.6151	1.47695	298.396	14.3849	42.8165	46.3915	300	300	299.873	14.3849	257.184	100
680	201.926	0.138283	87.4376	1.54612	298.316	12.5624	49.1554	48.9182	300	300	299.862	12.5624	250.845	100
700	192.497	0.151721	89.0926	1.6271	298.221	10.9074	56.1442	51.3591	300	300	299.848	10.9074	243.856	100
720	182.556	0.168119	90.5697	1.72207	298.11	9.43031	63.7542	53.6894	300	300	299.832	9.43031	236.246	100
740	172.168	0.188255	91.8623	1.83374	297.978	8.13772	71.9421	55.8901	300	300	299.812	8.13772	228.058	100
760	161.401	0.213174	92.9689	1.96554	297.821	7.03113	80.6527	57.9467	300	300	299.787	7.03113	219.347	100
780	150.329	0.244283	93.8942	2.12188	297.634	6.10576	89.8228	59.8478	300	300	299.756	6.10576	210.177	100
800	139.03	0.283531	94.6496	2.30852	297.408	5.3504	99.3861	61.5839	300	300	299.716	5.3504	200.614	100
820	127.578	0.333653	95.2517	2.53311	297.133	4.74833	109.277	63.1452	300	300	299.666	4.74833	190.723	100
840	116.047	0.398563	95.7209	2.80595	296.795	4.27912	119.433	64.5203	300	300	299.601	4.27912	180.567	100
860	104.507	0.483982	96.0791	3.14114	296.375	3.92092	129.799	65.6941	300	300	299.516	3.92092	170.201	100
880	93.0275	0.59844	96.3474	3.55824	295.843	3.65261	140.326	66.646	300	300	299.402	3.65261	159.674	100
900	81.6782	0.754908	96.5448	4.08453	295.161	3.45521	150.975	67.3472	300	300	299.245	3.45521	149.025	100
920	70.5345	0.973467	96.6872	4.75804	294.268	3.3128	161.708	67.7575	300	300	299.027	3.3128	138.292	100
940	59.6831	1.28565	96.7873	5.63112	293.083	3.21266	172.496	67.8211	300	300	298.714	3.21266	127.504	100
960	49.2306	1.74127	96.8548	6.77283	291.486	3.1452	183.31	67.4597	300	300	298.259	3.1452	116.69	100
980	39.3147	2.4185	96.8963	8.26672	289.315	3.10365	194.122	66.5637	300	300	297.581	3.10365	105.878	100
1000	30.1187	3.4362	96.9163	10.196	286.368	3.08369	204.9	64.981	300	300	296.564	3.08369	95.0997	100
