Time	Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P
0	10.0	280.0	90.0	10.0	10.0	10.0	280.0	10.0
1	9.32463	279.821	88.8817	10.1531	10.0262	11.1183	279.883	10.7925
2	8.66197	279.654	87.7713	10.2949	10.0509	12.2287	279.75	11.5882
3	8.01289	279.5	86.6685	10.4257	10.0742	13.3315	279.601	12.3862
4	7.37822	279.358	85.5731	10.5457	10.0959	14.4269	279.437	13.1853
5	6.75875	279.229	84.4849	10.6553	10.116	15.5151	279.257	13.9846
6	6.15523	279.111	83.4036	10.7547	10.1346	16.5964	279.062	14.7832
7	5.56839	279.004	82.3292	10.8443	10.1516	17.6708	278.851	15.5802
8	4.99892	278.908	81.2613	10.9244	10.1671	18.7387	278.626	16.3748
9	4.44745	278.824	80.1997	10.9953	10.181	19.8003	278.386	17.1663
10	3.91462	278.749	79.1443	11.0574	10.1934	20.8557	278.132	17.9538
11	3.401	278.685	78.0948	11.111	10.2043	21.9052	277.862	18.7369
12	2.90714	278.63	77.0511	11.1564	10.2138	22.9489	277.578	19.5147
13	2.43357	278.584	76.013	11.194	10.2218	23.987	277.28	20.2868
14	1.98078	278.547	74.9802	11.2241	10.2284	25.0198	276.967	21.0525
15	1.54922	278.519	73.9527	11.247	10.2338	26.0473	276.639	21.8114
16	1.13933	278.499	72.9303	11.2632	10.2378	27.0697	276.298	22.563
17	0.751507	278.486	71.9127	11.2729	10.2407	28.0873	275.942	23.3069
18	0.386137	278.481	70.8999	11.2766	10.2424	29.1001	275.571	24.0427
19	0.0435777	278.482	69.8916	11.2746	10.243	30.1084	275.186	24.77
20	2.9813e-06	278.488	68.8879	11.2692	10.2431	31.1121	274.786	25.2141
21	3.32526e-06	278.493	67.8886	11.2637	10.2431	32.1114	274.368	25.6325
22	3.72927e-06	278.499	66.8936	11.2583	10.2431	33.1064	273.931	26.0685
23	4.21025e-06	278.504	65.903	11.2528	10.2431	34.097	273.478	26.5219
24	4.79209e-06	278.51	64.9167	11.2474	10.2431	35.0833	273.008	26.9923
25	5.5097e-06	278.515	63.9347	11.2419	10.2431	36.0653	272.521	27.4795
26	6.41617e-06	278.52	62.957	11.2365	10.2431	37.043	272.017	27.983
27	7.59638e-06	278.526	61.9834	11.231	10.2431	38.0166	271.497	28.5026
28	9.19502e-06	278.531	61.0141	11.2256	10.2431	38.9859	270.962	29.0381
29	1.14805e-05	278.537	60.0489	11.2201	10.2431	39.9511	270.411	29.5891
30	1.50131e-05	278.542	59.0879	11.2147	10.2431	40.9121	269.845	30.1554
31	2.11901e-05	278.548	58.131	11.2092	10.2431	41.869	269.263	30.7366
32	3.47345e-05	278.553	57.1781	11.2038	10.2431	42.8219	268.667	31.3325
33	8.77723e-05	278.559	56.2293	11.1983	10.2431	43.7707	268.057	31.9428
34	0.00241317	278.564	55.2845	11.1929	10.2431	44.7155	267.433	32.565
35	0.0241877	278.569	54.3437	11.1876	10.2431	45.6563	266.794	33.1817
36	0.0720165	278.574	53.4068	11.1829	10.2432	46.5932	266.142	33.7865
37	0.146087	278.577	52.474	11.1792	10.2436	47.526	265.475	34.379
38	0.246433	278.579	51.545	11.1768	10.2441	48.455	264.794	34.9594
39	0.373067	278.579	50.62	11.1763	10.2451	49.38	264.099	35.5278
40	0.525985	278.575	49.699	11.1781	10.2464	50.301	263.39	36.084
41	0.705172	278.569	48.782	11.1825	10.2483	51.218	262.667	36.6283
42	0.910601	278.559	47.869	11.1901	10.2507	52.131	261.929	37.1606
43	1.14224	278.545	46.96	11.2011	10.2538	53.04	261.177	37.6811
44	1.40003	278.526	46.0551	11.2161	10.2576	53.9449	260.41	38.1898
45	1.68392	278.502	45.1544	11.2355	10.2622	54.8456	259.629	38.6869
46	1.99386	278.473	44.2578	11.2596	10.2678	55.7422	258.834	39.1724
47	2.32975	278.437	43.3655	11.2889	10.2743	56.6345	258.024	39.6464
48	2.69151	278.394	42.4776	11.3238	10.282	57.5224	257.199	40.1091
49	3.07906	278.345	41.594	11.3647	10.2908	58.406	256.36	40.5606
50	3.49229	278.287	40.715	11.412	10.3008	59.285	255.507	41.001
51	3.93109	278.222	39.8406	11.4661	10.3122	60.1594	254.639	41.4304
52	4.39534	278.148	38.9709	11.5274	10.3251	61.0291	253.756	41.849
53	4.88492	278.064	38.1061	11.5962	10.3395	61.8939	252.858	42.2568
54	5.39968	277.971	37.2462	11.673	10.3556	62.7538	251.946	42.6542
55	5.9395	277.868	36.3915	11.7581	10.3734	63.6085	251.019	43.0411
56	6.50421	277.755	35.5419	11.8518	10.3932	64.4581	250.078	43.4177
57	7.09366	277.63	34.6978	11.9546	10.4149	65.3022	249.122	43.7842
58	7.70769	277.494	33.8592	12.0668	10.4388	66.1408	248.152	44.1407
59	8.34612	277.346	33.0264	12.1887	10.465	66.9736	247.166	44.4874
60	9.00876	277.186	32.1995	12.3206	10.4936	67.8005	246.167	44.8244
61	9.69544	277.012	31.3786	12.4628	10.5247	68.6214	245.153	45.1519
62	10.4059	276.826	30.5641	12.6157	10.5586	69.4359	244.124	45.4701
63	11.1401	276.625	29.7562	12.7795	10.5954	70.2438	243.081	45.779
64	11.8976	276.41	28.955	12.9545	10.6352	71.045	242.023	46.0789
65	12.6784	276.181	28.1607	13.1409	10.6783	71.8393	240.952	46.3699
66	13.4821	275.936	27.3738	13.3391	10.7248	72.6262	239.866	46.6522
67	14.3085	275.676	26.5943	13.5492	10.775	73.4057	238.766	46.9259
68	15.1574	275.4	25.8226	13.7714	10.829	74.1774	237.651	47.1913
69	16.0285	275.107	25.0589	14.006	10.8872	74.9411	236.523	47.4483
70	16.9216	274.797	24.3036	14.2531	10.9497	75.6964	235.381	47.6973
71	17.8364	274.47	23.5569	14.5129	11.0168	76.4431	234.225	47.9383
72	18.7726	274.126	22.8192	14.7855	11.0888	77.1808	233.056	48.1716
73	19.73	273.763	22.0908	15.0711	11.166	77.9092	231.873	48.3972
74	20.7081	273.382	21.372	15.3697	11.2486	78.628	230.676	48.6154
75	21.7068	272.982	20.6632	15.6814	11.337	79.3368	229.467	48.8263
76	22.7257	272.562	19.9647	16.0064	11.4314	80.0353	228.244	49.03
77	23.7644	272.123	19.2768	16.3446	11.5323	80.7232	227.009	49.2268
78	24.8227	271.664	18.6	16.6961	11.64	81.4	225.761	49.4167
79	25.9002	271.184	17.9346	17.0609	11.7548	82.0654	224.5	49.5999
80	26.9966	270.684	17.281	17.4389	11.8772	82.719	223.227	49.7766
81	28.1114	270.162	16.6395	17.8301	12.0074	83.3605	221.942	49.9469
82	29.2444	269.619	16.0105	18.2345	12.1461	83.9895	220.645	50.1109
83	30.395	269.055	15.3945	18.6519	12.2935	84.6055	219.336	50.2689
84	31.5631	268.468	14.7917	19.0823	12.4501	85.2083	218.016	50.4209
85	32.748	267.858	14.2026	19.5255	12.6165	85.7974	216.685	50.5672
86	33.9495	267.226	13.6275	19.9814	12.7929	86.3725	215.343	50.7078
87	35.1672	266.57	13.0667	20.4498	12.98	86.9333	213.99	50.8429
88	36.4005	265.891	12.5207	20.9305	13.1783	87.4793	212.627	50.9726
89	37.6491	265.189	11.9896	21.4232	13.3882	88.0104	211.254	51.097
90	38.9125	264.462	11.474	21.9278	13.6103	88.526	209.871	51.2164
91	40.1903	263.711	10.9739	22.444	13.8451	89.0261	208.479	51.3308
92	41.482	262.935	10.4898	22.9715	14.0932	89.5102	207.078	51.4404
93	42.7872	262.135	10.0219	23.5099	14.3551	89.9781	205.667	51.5453
94	44.1054	261.309	9.57042	24.0591	14.6314	90.4296	204.249	51.6456
95	45.4362	260.459	9.13557	24.6186	14.9227	90.8644	202.822	51.7415
96	46.779	259.582	8.71754	25.1881	15.2296	91.2825	201.388	51.8331
97	48.1335	258.68	8.31651	25.7672	15.5526	91.6835	199.946	51.9204
98	49.499	257.752	7.9326	26.3556	15.8925	92.0674	198.497	52.0037
99	50.8752	256.798	7.56591	26.9527	16.2497	92.4341	197.042	52.0831
100	52.2615	255.817	7.21652	27.5583	16.625	92.7835	195.58	52.1586
101	53.6576	254.809	6.88447	28.1719	17.0188	93.1155	194.112	52.2304
102	55.0628	253.775	6.56977	28.7929	17.432	93.4302	192.639	52.2986
103	56.4768	252.714	6.27241	29.4211	17.865	93.7276	191.16	52.3633
104	57.899	251.626	5.99233	30.0559	18.3185	94.0077	189.676	52.4246
105	59.3289	250.51	5.72944	30.6968	18.7932	94.2706	188.188	52.4826
106	60.7662	249.367	5.48364	31.3433	19.2896	94.5164	186.696	52.5374
107	62.2103	248.197	5.25479	31.995	19.8085	94.7452	185.201	52.5892
108	63.6607	246.998	5.0427	32.6514	20.3503	94.9573	183.701	52.6379
109	65.1171	245.772	4.84717	33.3119	20.9158	95.1528	182.199	52.6838
110	66.579	244.518	4.66799	33.9761	21.5055	95.332	180.694	52.7268
111	68.0458	243.236	4.50489	34.6434	22.1201	95.4951	179.187	52.7672
112	69.5173	241.926	4.35759	35.3134	22.7602	95.6424	177.678	52.8049
113	70.9929	240.588	4.2258	35.9855	23.4263	95.7742	176.167	52.8401
114	72.4723	239.222	4.1092	36.6592	24.1191	95.8908	174.655	52.8729
115	73.955	237.827	4.00744	37.334	24.839	95.9926	173.142	52.9032
116	75.4407	236.404	3.92019	38.0095	25.5867	96.0798	171.628	52.9313
117	76.9289	234.952	3.84706	38.6851	26.3628	96.1529	170.114	52.9572
118	78.4192	233.472	3.78769	39.3603	27.1677	96.2123	168.6	52.9809
119	79.9114	231.963	3.7417	40.0346	28.002	96.2583	167.086	53.0025
120	81.405	230.426	3.70869	40.7076	28.8661	96.2913	165.573	53.0222
121	82.8997	228.861	3.68829	41.3787	29.7607	96.3117	164.06	53.0398
122	84.3952	227.266	3.6801	42.0476	30.6861	96.3199	162.549	53.0556
123	85.8911	225.643	3.68374	42.7138	31.6429	96.3163	161.039	53.0696
124	87.3871	223.992	3.69883	43.3768	32.6314	96.3012	159.531	53.0818
125	88.8829	222.312	3.72498	44.0362	33.6522	96.275	158.025	53.0923
126	90.3782	220.603	3.76182	44.6916	34.7055	96.2382	156.521	53.1011
