Time	[Smad3c]	[Smad3n]
0	492.61	236.45
20	331.218	190.086
40	277.648	179.937
60	276.037	180.35
80	285.947	183.149
100	300.676	187.07
120	317.297	191.416
140	333.785	195.679
160	348.754	199.517
180	361.453	202.751
200	371.659	205.334
220	379.515	207.313
240	385.359	208.78
260	389.594	209.84
280	392.603	210.591
300	394.709	211.116
320	396.169	211.48
340	397.173	211.729
360	397.861	211.9
380	398.331	212.017
400	398.651	212.097
420	398.869	212.151
440	399.018	212.188
460	399.12	212.213
480	399.19	212.231
500	399.238	212.243
520	399.271	212.251
540	399.294	212.256
560	399.31	212.26
580	399.321	212.263
600	399.329	212.265
620	399.334	212.267
640	399.338	212.267
660	399.341	212.268
680	399.343	212.269
700	399.344	212.269
720	399.345	212.269
740	399.345	212.269
760	399.345	212.269
780	399.345	212.269
800	399.345	212.269
820	399.345	212.269
840	399.345	212.269
860	399.344	212.269
880	399.344	212.269
900	399.344	212.269
920	399.343	212.269
940	399.343	212.269
960	399.342	212.268
980	399.341	212.268
1000	399.341	212.268
