Time	Smad3n	Smad3c	Smad4n	Smad4c	T1R_Surf	T2R_Cave	T2R_Surf	Smads_Complex_n	T1R_EE	T1R_Cave	TGF_beta	LRC_Cave	LRC_Surf	Smads_Complex_c	T2R_EE	LRC_EE	Kexp_Smad2n	Kdeg_T1R_EE	Klid	Total_Smad2c	Total_Smad2n	kr_EE	ki_EE	v_T2R	v_T1R	k_LRC	Kcd	kr_Cave	ki_Cave	Kexp_Smad4n	Kdiss_Smads_Complex_n	Kimp_Smad2c	Kimp_Smads_Complex_c	Kimp_Smad4c	Kdeg_T2R_EE	k_Smads_Complex_c
0	236.45	492.61	551.72	1149.4	0.237	1.778	0.202	0.0	2.06	2.092	0.08	0.0	0.0	0.0	1.148	0.0	1	0.005	0.02609	492.61	236.45	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
10	213.879	419.285	537.499	1073.29	0.0466978	1.26188	0.0130325	79.8621	1.54313	1.57371	0.079008	2.72431e-05	0.163805	54.228	0.677927	0.481904	1	0.005	0.02609	473.513	293.741	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
20	190.086	331.218	529.637	979.915	0.0412917	0.903526	0.0129594	252.781	1.17598	1.20349	0.0783751	7.48223e-06	0.142411	92.5861	0.411912	0.746631	1	0.005	0.02609	423.804	442.867	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
30	181.994	291.099	532.446	936.161	0.0348093	0.658106	0.0137341	356.732	0.908233	0.932124	0.077863	4.69451e-06	0.126097	100.753	0.263977	0.876836	1	0.005	0.02609	391.851	538.726	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
40	179.937	277.648	534.984	921.179	0.0281821	0.492606	0.0153199	396.765	0.706949	0.727238	0.0774398	3.78525e-06	0.113084	101.544	0.184193	0.926235	1	0.005	0.02609	379.193	576.701	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
50	179.712	274.549	536.189	917.603	0.0220428	0.384409	0.0177928	408.485	0.551699	0.56866	0.0770846	3.32201e-06	0.102176	100.812	0.14469	0.927583	1	0.005	0.02609	375.361	588.197	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
60	180.35	276.037	536.916	919.062	0.0168034	0.318202	0.0212372	408.415	0.429919	0.44393	0.0767848	3.01089e-06	0.092591	99.1341	0.130086	0.900627	1	0.005	0.02609	375.171	588.766	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
70	181.553	280.139	537.544	923.355	0.0126509	0.283565	0.0256383	402.291	0.333825	0.345286	0.0765328	2.76956e-06	0.0838925	96.6731	0.131867	0.857235	1	0.005	0.02609	376.812	583.845	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
80	183.149	285.947	538.168	929.488	0.00954758	0.273063	0.030828	392.415	0.258271	0.267568	0.0763236	2.56979e-06	0.0759305	93.6247	0.145016	0.804764	1	0.005	0.02609	379.572	575.565	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
90	185.019	292.922	538.8	936.875	0.00730854	0.280948	0.0365346	380.015	0.199395	0.206882	0.0761532	2.40166e-06	0.0687202	90.16	0.166144	0.748107	1	0.005	0.02609	383.082	565.034	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
